iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:02:00 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.28 -13.1 -5.8 -11.3 -0.46 0.98 -0.99 37.428033 -122.174212 35.4 -5.7065 -0.5975 -5.4291 -0.362 1.189 2.983
1.31 -13.1 -5.8 -11.3 -0.15 1.18 -1.59 37.428033 -122.174212 35.4 -6.7436 -2.0590 -5.8958 -0.012 1.041 2.548
1.34 -11.9 -4.4 -14.7 0.49 1.42 -1.61 37.428033 -122.174212 35.4 -5.0761 -0.7002 -6.3795 0.204 0.795 2.209
1.37 -11.9 -4.4 -14.7 1.01 1.41 -1.96 37.428033 -122.174212 35.4 -4.6759 -0.0005 -6.6208 0.318 0.620 2.022
1.40 -13.0 2.8 -19.1 1.49 1.34 -1.96 37.428033 -122.174212 35.4 -3.5644 0.1075 -6.5443 0.398 0.447 1.870
1.43 -13.0 2.8 -19.1 2.02 0.83 -1.94 37.428033 -122.174212 35.4 -2.0571 -0.4466 -6.3814 0.446 0.305 1.726
1.47 -16.6 5.2 -19.5 2.00 0.20 -1.72 37.428033 -122.174212 35.4 -0.7019 -0.2839 -4.2390 0.468 0.141 1.525
1.50 -16.6 5.2 -19.5 1.92 -0.01 -1.49 37.428033 -122.174212 35.4 -0.0225 -0.1647 -2.7491 0.472 0.092 1.445
1.53 -22.3 3.4 -15.6 1.80 -0.15 -1.31 37.428033 -122.174212 35.4 0.1615 -0.5410 -1.8054 0.466 0.067 1.390
1.56 -22.3 3.4 -15.6 1.66 -0.17 -1.15 37.428033 -122.174212 35.4 0.1478 -0.7136 -0.9989 0.450 0.054 1.355
1.59 -25.1 1.2 -12.4 1.61 -0.13 -1.05 37.428033 -122.174212 35.4 0.2800 -0.5701 -0.2734 0.425 0.052 1.333
1.62 -25.1 1.2 -12.4 1.57 -0.04 -0.87 37.428033 -122.174212 35.4 0.4304 -0.4886 0.3205 0.411 0.062 1.331
1.65 -26.5 0.9 -9.8 1.63 0.02 -0.70 37.428033 -122.174212 35.4 0.5014 -0.7145 0.7793 0.394 0.081 1.340
1.68 -26.5 0.9 -9.8 1.56 0.18 -0.61 37.428033 -122.174212 35.4 0.4498 -0.6200 1.4905 0.372 0.105 1.366
1.72 -26.6 2.5 -10.2 1.37 0.33 -0.61 37.428033 -122.174212 35.4 0.1524 -0.7069 2.8866 0.329 0.154 1.460
