iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:46:17 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.25 7.0 -16.8 -5.3 0.52 -0.79 0.56 37.427957 -122.174328 34.8 0.1845 -0.5712 0.6436 2.402 0.869 0.359
1.28 7.0 -16.8 -5.3 0.44 -0.84 0.46 37.427957 -122.174328 34.8 -0.0044 -0.3265 0.7366 2.410 0.881 0.333
1.32 6.3 -17.6 -4.4 0.41 -0.84 0.45 37.427957 -122.174328 34.8 0.0783 -0.2711 0.7220 2.421 0.894 0.308
1.35 6.3 -17.6 -4.4 0.41 -0.78 0.53 37.427957 -122.174328 34.8 0.0236 -0.1890 0.8391 2.447 0.910 0.267
1.38 5.8 -18.5 -3.5 0.29 -0.74 0.50 37.427957 -122.174328 34.8 -0.0795 -0.1719 0.6900 2.464 0.925 0.240
1.41 5.8 -18.5 -3.5 0.31 -0.72 0.52 37.427957 -122.174328 34.8 -0.0211 -0.4627 0.7578 2.477 0.937 0.213
1.44 5.5 -18.3 -2.6 0.22 -0.73 0.59 37.427957 -122.174328 34.8 0.0296 -0.6424 0.9559 2.489 0.951 0.178
1.47 5.5 -18.3 -2.6 0.18 -0.78 0.50 37.427957 -122.174328 34.8 -0.1927 -0.3790 0.9755 2.509 0.977 0.130
1.50 3.8 -18.7 -3.0 0.24 -0.75 0.59 37.427957 -122.174328 34.8 0.0663 -0.5324 0.9348 2.546 0.994 0.073
1.53 3.8 -18.7 -3.0 0.23 -0.72 0.68 37.427957 -122.174328 34.8 -0.1272 -0.6112 1.1235 2.571 1.008 0.024
1.56 2.5 -19.3 -2.9 0.19 -0.73 0.58 37.427957 -122.174328 34.8 -0.4777 -0.4512 1.1256 2.595 1.031 -0.021
1.60 2.5 -19.3 -2.9 0.24 -0.70 0.52 37.427957 -122.174328 34.8 -0.4918 -0.5756 1.0351 2.614 1.058 -0.058
1.63 2.3 -19.2 -2.0 0.13 -0.71 0.56 37.427957 -122.174328 34.8 -0.4601 -1.0335 1.3549 2.636 1.094 -0.122
1.66 2.3 -19.2 -2.0 0.04 -0.76 0.46 37.427957 -122.174328 34.8 -0.5983 -0.7490 1.5330 2.669 1.126 -0.187
1.69 1.8 -19.5 -2.5 0.03 -0.78 0.38 37.427957 -122.174328 34.8 -0.5237 -0.9048 1.5197 2.716 1.159 -0.263
1.72 1.8 -19.5 -2.5 -0.09 -0.79 0.51 37.427957 -122.174328 34.8 -0.3584 -1.0934 1.7071 2.803 1.193 -0.399
1.75 0.5 -20.7 -3.1 -0.14 -0.82 0.33 37.427957 -122.174328 34.8 -0.7314 -0.8500 1.7063 2.915 1.232 -0.556
1.78 0.5 -20.7 -3.1 -0.21 -0.81 0.30 37.427957 -122.174328 34.8 -0.5822 -0.9874 1.7613 3.020 1.258 -0.696
1.81 -3.5 -23.1 -2.2 -0.25 -0.82 0.36 37.427957 -122.174328 34.8 -0.5693 -0.8739 1.7619 -3.137 1.276 -0.855
1.85 -3.5 -23.1 -2.2 -0.35 -0.80 0.31 37.427957 -122.174328 34.8 -0.8019 -0.8231 1.6784 -2.936 1.295 -1.098
1.88 -4.8 -23.5 -1.8 -0.31 -0.73 0.33 37.427957 -122.174328 34.8 -0.9170 -0.5757 1.5327 -2.781 1.305 -1.280
1.91 -4.8 -23.5 -1.8 -0.25 -0.59 0.26 37.427957 -122.174328 34.8 -1.1613 -0.2361 1.4270 -2.602 1.314 -1.475
1.94 -7.4 -22.8 -3.1 -0.22 -0.50 0.34 37.427957 -122.174328 34.8 -1.1417 -0.4162 1.3777 -2.420 1.317 -1.672
1.97 -7.4 -22.8 -3.1 -0.18 -0.35 0.43 37.427957 -122.174328 34.8 -1.4133 -0.5339 1.3120 -2.181 1.310 -1.942
2.00 -10.1 -22.1 -4.4 -0.25 -0.24 0.29 37.427957 -122.174328 34.8 -1.9063 -0.5850 1.4881 -1.905 1.292 -2.246
2.03 -10.1 -22.1 -4.4 -0.45 -0.07 0.26 37.427957 -122.174328 34.8 -2.1599 -0.5675 1.6701 -1.706 1.262 -2.472
2.07 -14.0 -20.9 -6.6 -0.46 0.19 0.19 37.427957 -122.174328 34.8 -2.4788 -0.1818 1.5820 -1.519 1.219 -2.680
2.10 -14.0 -20.9 -6.6 -0.44 0.39 0.11 37.427957 -122.174328 34.8 -2.7518 -0.0523 1.6096 -1.355 1.165 -2.859
2.13 -17.3 -18.7 -9.5 -0.55 0.56 0.25 37.427957 -122.174328 34.8 -2.9979 -0.8346 1.8037 -1.201 1.071 -3.053
2.16 -17.3 -18.7 -9.5 -0.47 0.94 0.95 37.427957 -122.174328 34.8 -3.0351 -0.7905 1.9451 -1.129 0.990 3.122
2.19 -20.7 -14.5 -12.8 -1.28 1.26 0.33 37.427957 -122.174328 34.8 -4.3818 -1.9319 2.8840 -1.083 0.885 3.018
2.22 -20.7 -14.5 -12.8 -1.97 1.43 -0.78 37.427957 -122.174328 34.8 -6.1660 -4.7950 4.0969 -1.102 0.672 2.852
2.25 -27.3 -2.7 -9.9 -1.96 1.09 -1.86 37.427957 -122.174328 34.8 -6.0385 -3.4002 5.2049 -1.178 0.411 2.689
2.28 -27.3 -2.7 -9.9 -1.97 0.19 -2.00 37.427957 -122.174328 34.8 -4.9199 -1.7979 3.4346 -1.213 0.245 2.592
2.31 -30.7 6.5 -2.5 -1.98 -0.25 -2.00 37.427957 -122.174328 34.8 -4.8003 -1.6670 1.9214 -1.246 0.139 2.484
2.35 -30.7 6.5 -2.5 -1.82 -0.32 -2.00 37.427957 -122.174328 34.8 -3.0640 -0.5429 1.4165 -1.267 0.065 2.397
2.38 -31.3 16.0 7.6 -1.50 -0.28 -1.26 37.427957 -122.174328 34.8 -0.5114 0.9772 0.9092 -1.250 0.005 2.349
2.41 -31.3 16.0 7.6 -1.34 -0.18 -0.70 37.427957 -122.174328 34.8 0.6668 0.9172 0.7612 -1.223 -0.014 2.366
2.44 -30.9 18.2 10.1 -1.26 -0.09 -0.68 37.427957 -122.174328 34.8 0.4261 0.5394 0.5963 -1.203 -0.026 2.388
2.47 -30.9 18.2 10.1 -1.03 -0.03 -0.62 37.427957 -122.174328 34.8 0.2281 0.5437 0.2119 -1.184 -0.036 2.402
2.50 -30.6 19.0 9.2 -0.90 0.02 -0.59 37.427957 -122.174328 34.8 0.3329 0.5670 0.1375 -1.158 -0.035 2.414
2.53 -30.6 19.0 9.2 -0.92 0.09 -0.64 37.427957 -122.174328 34.8 0.4011 0.3623 0.2588 -1.141 -0.037 2.426
2.57 -30.3 20.4 7.4 -0.85 0.10 -0.58 37.427957 -122.174328 34.8 0.6093 0.3470 0.3049 -1.127 -0.040 2.443
2.60 -30.3 20.4 7.4 -0.89 0.11 -0.58 37.427957 -122.174328 34.8 0.8038 0.7233 0.3905 -1.108 -0.040 2.467
2.63 -29.6 21.1 4.3 -0.91 0.10 -0.60 37.427957 -122.174328 34.8 0.7670 0.7755 0.4021 -1.078 -0.040 2.500
2.66 -29.6 21.1 4.3 -0.68 0.16 -0.66 37.427957 -122.174328 34.8 0.8348 0.8737 0.1699 -1.054 -0.036 2.524
2.69 -29.5 21.8 1.4 -0.53 0.20 -0.73 37.427957 -122.174328 34.8 0.7809 0.9831 0.1392 -1.025 -0.028 2.545
2.72 -29.5 21.8 1.4 -0.51 0.23 -0.83 37.427957 -122.174328 34.8 0.8695 1.0376 0.3058 -0.995 -0.022 2.568
2.75 -29.3 22.4 -1.8 -0.50 0.31 -0.89 37.427957 -122.174328 34.8 1.0973 0.7137 0.7847 -0.938 -0.028 2.623
2.78 -29.3 22.4 -1.8 -0.25 0.43 -1.00 37.427957 -122.174328 34.8 1.2111 0.8482 0.8260 -0.915 -0.028 2.663
2.81 -29.0 22.6 -3.7 -0.28 0.47 -1.07 37.427957 -122.174328 34.8 1.2678 1.0780 1.0840 -0.886 -0.026 2.706
2.85 -29.0 22.6 -3.7 -0.34 0.56 -1.16 37.427957 -122.174328 34.8 1.4867 1.2517 1.4806 -0.853 -0.029 2.760
2.88 -27.5 24.1 -6.4 -0.20 0.66 -1.33 37.427957 -122.174328 34.8 1.4599 1.8079 1.7040 -0.792 -0.037 2.842
2.91 -27.5 24.1 -6.4 -0.19 0.83 -1.37 37.427957 -122.174328 34.8 1.6630 1.9313 1.9604 -0.737 -0.040 2.908
2.94 -23.5 26.0 -14.2 -0.18 0.98 -1.50 37.427957 -122.174328 34.8 1.7737 2.1532 2.4189 -0.677 -0.043 2.988
2.97 -23.5 26.0 -14.2 -0.18 0.98 -1.50 37.427957 -122.174328 34.8 1.8817 2.2152 2.8293 -0.612 -0.047 3.077
3.00 -18.8 25.5 -19.1 -0.18 1.19 -1.36 37.427957 -122.174328 34.8 2.0575 2.2742 3.4677 -0.503 -0.043 -3.027
3.03 -18.8 25.5 -19.1 0.43 1.56 -1.62 37.427957 -122.174328 34.8 1.7724 2.1618 4.1858 -0.435 -0.045 -2.909
3.06 -7.4 23.8 -25.2 -0.63 1.97 -1.68 37.427957 -122.174328 34.8 2.3946 1.2757 5.8631 -0.381 -0.046 -2.756
3.10 -7.4 23.8 -25.2 -0.63 1.97 -1.68 37.427957 -122.174328 34.8 3.3326 1.4983 7.4188 -0.338 -0.037 -2.547
3.13 0.9 20.0 -28.6 -1.42 1.95 -1.34 37.427957 -122.174328 34.8 3.1198 3.4460 7.2433 -0.237 0.001 -2.246
3.16 0.9 20.0 -28.6 -1.95 1.84 -1.26 37.427957 -122.174328 34.8 2.9049 2.9618 6.7286 -0.147 0.044 -2.041
3.19 12.3 6.4 -28.3 -1.98 1.04 -0.50 37.427957 -122.174328 34.8 2.7223 2.0786 5.3797 -0.095 0.103 -1.863
3.22 12.3 6.4 -28.3 -1.69 0.61 -0.39 37.427957 -122.174328 34.8 1.4664 2.8728 3.3456 -0.043 0.152 -1.743
