iPhone Sensor Log from Crossbow started at Dec 4, 2011 11:07:59 PM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -4.9 7.6 -54.6 -0.03 -0.05 -0.91 0 0 0 0.0712 -0.0353 -0.0321 -0.023 0.063 -0.016
0.06 -4.9 7.6 -54.6 0.00 -0.05 -1.09 0 0 0 -0.3719 -0.0969 -0.0684 -0.028 0.052 -0.018
0.10 -5.8 7.6 -53.7 -0.01 -0.01 -1.07 0 0 0 0.0231 0.1171 -0.0607 -0.022 0.046 -0.020
0.13 -5.8 7.6 -53.7 0.03 -0.02 -1.08 0 0 0 -0.0503 -0.0255 -0.1212 -0.020 0.046 -0.023
0.16 -6.7 8.1 -54.3 0.07 -0.06 -1.23 0 0 0 -0.2585 0.1139 -0.1811 -0.019 0.041 -0.027
0.19 -6.7 8.1 -54.3 0.04 -0.06 -1.25 0 0 0 -0.2491 0.2894 -0.1858 -0.013 0.034 -0.032
0.22 -4.8 8.6 -54.2 0.06 -0.06 -1.21 0 0 0 -0.0571 0.3551 -0.2627 -0.000 0.031 -0.040
0.25 -4.8 8.6 -54.2 0.06 -0.10 -1.21 0 0 0 -0.2134 0.0031 -0.2860 0.004 0.028 -0.048
0.28 -2.7 8.3 -54.3 0.10 -0.08 -1.49 0 0 0 -0.4862 -0.2424 -0.3437 -0.000 0.018 -0.057
0.31 -2.7 8.3 -54.3 0.01 -0.01 -1.45 0 0 0 -0.2906 -0.1180 -0.2410 -0.010 0.000 -0.067
0.35 -2.5 6.9 -54.4 0.10 -0.07 -1.28 0 0 0 0.2508 0.1076 -0.4276 -0.007 0.004 -0.079
0.38 -2.5 6.9 -54.4 0.11 -0.06 -1.35 0 0 0 0.0796 -0.1024 -0.4038 -0.007 0.009 -0.092
0.41 -1.0 3.9 -52.8 0.11 -0.08 -1.24 0 0 0 0.1124 -0.1355 -0.2043 -0.012 0.012 -0.098
0.44 -1.0 3.9 -52.8 0.11 -0.05 -1.27 0 0 0 -0.0529 -0.2966 -0.2719 -0.017 0.013 -0.106
0.47 -0.8 2.3 -50.8 0.04 0.04 -1.14 0 0 0 0.2158 -0.2326 -0.1651 -0.028 0.016 -0.113
0.50 -0.8 2.3 -50.8 0.10 -0.03 -1.03 0 0 0 0.2485 -0.1201 -0.0493 -0.031 0.019 -0.115
0.53 -1.0 1.4 -49.4 0.12 -0.08 -1.03 0 0 0 0.1255 -0.0732 -0.1206 -0.025 0.027 -0.118
0.56 -1.0 1.4 -49.4 -0.01 -0.03 -0.97 0 0 0 0.0870 -0.2965 0.1340 -0.027 0.031 -0.118
0.60 -1.7 0.6 -48.2 -0.12 -0.01 -0.90 0 0 0 0.3807 0.3932 0.2850 -0.025 0.040 -0.108
0.63 -1.7 0.6 -48.2 -0.01 0.00 -0.91 0 0 0 0.2233 -0.0008 0.0711 -0.019 0.048 -0.103
0.66 -1.8 1.0 -47.5 0.07 -0.01 -0.90 0 0 0 0.3102 0.1668 -0.0954 -0.018 0.055 -0.105
0.69 -1.8 1.0 -47.5 -0.10 0.05 -0.87 0 0 0 0.3082 0.1860 0.0605 -0.013 0.065 -0.105
0.72 -0.3 0.6 -46.1 -0.22 0.07 -0.89 0 0 0 0.3945 0.4528 0.1250 0.001 0.079 -0.099
0.75 -0.3 0.6 -46.1 -0.19 0.02 -0.96 0 0 0 0.2833 0.1642 -0.1122 -0.001 0.084 -0.099
0.78 0.2 -0.6 -46.7 -0.15 0.01 -0.83 0 0 0 0.3648 0.0082 -0.3884 -0.008 0.088 -0.105
0.81 0.2 -0.6 -46.7 -0.11 -0.04 -0.77 0 0 0 0.6142 -0.1633 -0.5071 -0.011 0.102 -0.118
0.85 0.8 -1.9 -45.9 -0.11 -0.04 -0.77 0 0 0 0.5367 -0.1256 -0.5374 -0.014 0.132 -0.143
0.88 0.8 -1.9 -45.9 -0.08 -0.09 -0.74 0 0 0 0.5889 0.2914 -0.4943 -0.008 0.148 -0.158
0.91 2.1 -3.3 -45.2 -0.08 -0.11 -0.72 0 0 0 0.4676 0.3538 -0.4228 0.002 0.162 -0.170
0.94 2.1 -3.3 -45.2 -0.06 -0.16 -0.67 0 0 0 0.4538 0.4338 -0.3597 0.020 0.180 -0.185
0.97 3.2 -4.7 -45.2 -0.00 -0.21 -0.68 0 0 0 0.3051 0.2919 -0.3483 0.032 0.191 -0.195
1.00 3.2 -4.7 -45.2 0.03 -0.16 -0.70 0 0 0 0.2674 0.1663 -0.3487 0.039 0.198 -0.205
1.03 3.6 -5.1 -43.6 0.13 -0.23 -0.71 0 0 0 0.3338 0.1465 -0.2813 0.045 0.206 -0.214
1.06 3.6 -5.1 -43.6 0.12 -0.23 -0.64 0 0 0 0.3354 0.2290 -0.1330 0.050 0.216 -0.220
1.10 3.8 -7.0 -43.2 0.03 -0.18 -0.64 0 0 0 0.0523 0.1448 -0.0404 0.059 0.225 -0.223
1.13 3.8 -7.0 -43.2 0.13 -0.21 -0.66 0 0 0 0.0305 0.0396 0.0130 0.061 0.226 -0.224
1.16 4.6 -6.5 -44.3 0.20 -0.23 -0.62 0 0 0 0.1922 0.3142 0.1736 0.066 0.230 -0.221
