iPhone Sensor Log from Crossbow started at Dec 4, 2011 11:10:55 PM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -10.2 2.5 -43.1 -0.02 0.03 -1.08 0 0 0 -0.2505 0.0006 -0.0652 -0.033 0.013 -0.338
0.06 -10.1 2.5 -41.8 0.02 0.02 -0.96 0 0 0 0.1430 0.2349 -0.0348 -0.029 0.011 -0.339
0.10 -10.1 2.5 -41.8 0.05 0.02 -1.17 0 0 0 -0.0833 -0.0078 -0.1321 -0.023 0.013 -0.341
0.13 -9.4 2.5 -41.0 0.05 0.02 -1.17 0 0 0 -0.3685 -0.0098 -0.1541 -0.024 0.001 -0.347
0.16 -9.4 2.5 -41.0 0.06 0.02 -1.26 0 0 0 -0.0651 0.0926 -0.0847 -0.023 -0.006 -0.350
0.19 -9.4 3.2 -41.6 0.09 0.01 -1.19 0 0 0 -0.1241 -0.0236 -0.0757 -0.022 -0.008 -0.353
0.22 -9.4 3.2 -41.6 0.03 0.02 -1.27 0 0 0 -0.3113 -0.1264 -0.1017 -0.026 -0.015 -0.355
0.25 -9.7 4.6 -42.8 0.06 0.01 -1.32 0 0 0 -0.1714 -0.1063 -0.0620 -0.031 -0.024 -0.359
0.28 -9.7 4.6 -42.8 0.04 0.04 -1.26 0 0 0 -0.0784 0.0459 -0.1468 -0.031 -0.026 -0.362
0.32 -9.3 5.2 -43.3 -0.02 0.08 -1.24 0 0 0 -0.0905 -0.0223 -0.2125 -0.032 -0.028 -0.367
0.35 -9.3 5.2 -43.3 0.10 0.00 -1.32 0 0 0 -0.1060 -0.1873 -0.4672 -0.035 -0.031 -0.377
0.38 -8.7 5.1 -45.1 0.11 0.06 -1.19 0 0 0 0.0333 -0.1015 -0.3823 -0.042 -0.029 -0.393
0.41 -8.7 5.1 -45.1 0.14 0.08 -1.22 0 0 0 -0.1439 -0.0441 -0.1884 -0.045 -0.031 -0.403
0.44 -7.5 5.1 -45.6 0.09 0.10 -1.20 0 0 0 0.0985 0.1868 -0.1474 -0.044 -0.031 -0.407
0.47 -7.5 5.1 -45.6 0.12 0.04 -1.06 0 0 0 0.0514 0.3047 -0.0726 -0.031 -0.029 -0.411
0.50 -5.3 4.9 -44.4 0.04 0.00 -1.19 0 0 0 0.0950 0.1427 0.0329 -0.018 -0.028 -0.412
0.53 -5.3 4.9 -44.4 -0.04 0.05 -1.07 0 0 0 0.1040 -0.1056 -0.1036 -0.021 -0.023 -0.412
0.56 -4.7 4.1 -43.0 -0.02 0.02 -1.00 0 0 0 0.2085 0.1387 -0.0774 -0.019 -0.019 -0.416
0.60 -4.7 4.1 -43.0 -0.02 -0.01 -1.04 0 0 0 0.1273 0.4795 -0.0220 -0.011 -0.013 -0.417
0.63 -3.2 3.6 -41.8 -0.08 -0.01 -1.06 0 0 0 0.3714 0.2162 0.0088 -0.001 0.000 -0.416
0.66 -3.2 3.6 -41.8 -0.13 -0.04 -0.86 0 0 0 0.5992 -0.0795 -0.0791 0.004 0.022 -0.419
0.69 -2.0 3.3 -42.0 -0.12 -0.09 -0.76 0 0 0 0.2404 -0.0606 -0.2538 0.002 0.033 -0.424
0.72 -2.0 3.3 -42.0 -0.05 -0.08 -0.90 0 0 0 -0.1484 -0.0036 -0.2043 -0.001 0.034 -0.431
0.75 -1.4 2.4 -40.9 -0.16 -0.03 -0.99 0 0 0 0.0474 0.5326 -0.1376 0.001 0.033 -0.435
0.78 -1.4 2.4 -40.9 -0.09 0.04 -0.96 0 0 0 0.1723 -0.2093 -0.4498 0.002 0.033 -0.445
0.81 -1.4 2.3 -41.1 0.07 0.01 -0.99 0 0 0 0.3076 -0.3886 -0.5025 -0.006 0.038 -0.461
0.85 -1.4 2.3 -41.1 -0.08 0.07 -0.83 0 0 0 0.6494 0.1213 -0.2291 -0.010 0.053 -0.469
0.88 -1.1 1.6 -40.7 -0.05 0.02 -0.83 0 0 0 0.5539 0.2697 -0.4330 0.000 0.077 -0.481
