iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:03:52 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 13.4 17.5 -11.8 -0.20 0.03 -1.04 37.428034 -122.174214 35.7 -0.6938 -0.4656 -0.0582 -0.151 -0.002 -2.505
0.06 13.4 17.5 -11.8 -0.20 0.00 -1.15 37.428034 -122.174214 35.7 -0.3380 -0.2495 -0.1274 -0.162 -0.015 -2.510
0.10 12.6 18.0 -11.1 0.01 -0.03 -0.84 37.428034 -122.174214 35.7 0.4501 0.0017 -0.2286 -0.161 -0.007 -2.518
0.13 12.6 18.0 -11.1 -0.09 -0.02 -0.89 37.428034 -122.174214 35.7 -0.4456 -0.9602 0.3089 -0.184 -0.009 -2.515
0.16 12.9 19.5 -10.2 -0.22 -0.04 -1.12 37.428034 -122.174214 35.7 -0.4993 -0.9414 0.3483 -0.213 -0.027 -2.507
0.19 12.9 19.5 -10.2 -0.21 0.00 -0.95 37.428034 -122.174214 35.7 0.0420 -0.6692 0.1662 -0.236 -0.032 -2.501
0.22 13.1 19.1 -10.4 -0.23 0.01 -0.90 37.428034 -122.174214 35.7 -0.0840 -0.4660 0.1372 -0.250 -0.033 -2.498
0.25 13.1 19.1 -10.4 -0.22 0.03 -0.97 37.428034 -122.174214 35.7 -0.4527 -0.2274 0.1676 -0.259 -0.045 -2.496
0.28 13.3 17.6 -10.7 -0.30 0.05 -1.09 37.428034 -122.174214 35.7 -0.4567 0.0865 0.1921 -0.261 -0.059 -2.494
0.31 13.3 17.6 -10.7 -0.29 0.04 -1.02 37.428034 -122.174214 35.7 -0.1331 0.4993 0.0484 -0.253 -0.065 -2.493
0.35 13.2 18.2 -10.9 -0.32 0.04 -1.05 37.428034 -122.174214 35.7 -0.1806 0.5193 0.0686 -0.233 -0.069 -2.492
0.38 13.2 18.2 -10.9 -0.38 0.02 -1.08 37.428034 -122.174214 35.7 -0.1315 0.1710 0.0348 -0.223 -0.076 -2.492
0.41 13.1 18.4 -10.4 -0.39 -0.00 -1.23 37.428034 -122.174214 35.7 -0.1399 0.2723 -0.0523 -0.217 -0.079 -2.493
0.44 13.1 18.4 -10.4 -0.42 0.02 -1.41 37.428034 -122.174214 35.7 -0.0442 0.5058 -0.0812 -0.206 -0.081 -2.496
0.47 13.6 17.9 -9.7 -0.56 -0.03 -1.71 37.428034 -122.174214 35.7 0.0884 0.2381 -0.1010 -0.195 -0.079 -2.498
0.50 13.6 17.9 -9.7 -0.63 0.03 -1.92 37.428034 -122.174214 35.7 0.4309 -0.7767 -0.2539 -0.206 -0.069 -2.502
0.53 13.4 17.9 -10.7 -0.69 0.00 -1.97 37.428034 -122.174214 35.7 0.9653 -1.7472 -0.3756 -0.244 -0.046 -2.506
0.56 13.4 17.9 -10.7 -0.89 0.05 -1.98 37.428034 -122.174214 35.7 1.0728 -2.4292 -0.4373 -0.306 -0.016 -2.508
0.60 11.2 17.8 -14.0 -0.73 0.22 -1.98 37.428034 -122.174214 35.7 1.6073 -2.0333 -1.0175 -0.369 0.028 -2.515
0.63 11.2 17.8 -14.0 -0.71 0.23 -1.98 37.428034 -122.174214 35.7 2.6288 -2.7367 -1.3251 -0.475 0.146 -2.522
0.66 7.8 16.2 -17.8 -0.71 0.24 -1.98 37.428034 -122.174214 35.7 2.8024 -3.4269 -1.5727 -0.563 0.233 -2.519
0.69 7.8 16.2 -17.8 -0.59 0.34 -1.73 37.428034 -122.174214 35.7 3.2757 -3.8214 -1.9357 -0.670 0.329 -2.509
0.72 -0.0 10.8 -21.5 -0.15 0.38 -1.23 37.428034 -122.174214 35.7 3.8990 -3.3222 -2.5476 -0.776 0.448 -2.489
0.75 -0.0 10.8 -21.5 -0.04 0.41 -1.20 37.428034 -122.174214 35.7 3.7793 -3.2241 -2.7921 -0.921 0.621 -2.439
0.78 -6.2 5.5 -20.8 0.05 0.40 -0.96 37.428034 -122.174214 35.7 3.8511 -3.0111 -2.6936 -1.046 0.742 -2.381
0.82 -6.2 5.5 -20.8 0.09 0.41 -0.58 37.428034 -122.174214 35.7 4.0917 -2.6285 -2.5252 -1.194 0.855 -2.282
0.85 -12.8 -2.5 -16.0 0.31 0.33 -0.04 37.428034 -122.174214 35.7 4.1754 -2.3892 -2.5337 -1.382 0.955 -2.133
0.88 -12.8 -2.5 -16.0 0.40 0.33 0.32 37.428034 -122.174214 35.7 3.6757 -1.8837 -1.9650 -1.775 1.059 -1.788
0.91 -14.8 -6.9 -11.3 0.43 0.23 0.60 37.428034 -122.174214 35.7 2.9700 -1.4537 -1.5161 -2.006 1.076 -1.576
0.94 -14.8 -6.9 -11.3 0.35 0.08 0.72 37.428034 -122.174214 35.7 2.1053 -1.3184 -0.9744 -2.183 1.070 -1.417
0.97 -15.9 -11.0 -5.0 0.33 -0.00 1.20 37.428034 -122.174214 35.7 1.6916 -1.6169 -0.5326 -2.316 1.053 -1.312
1.00 -15.9 -11.0 -5.0 0.38 -0.16 1.43 37.428034 -122.174214 35.7 1.4659 -2.1948 -0.2809 -2.477 1.017 -1.211
1.03 -16.0 -11.4 -2.2 0.26 -0.25 1.53 37.428034 -122.174214 35.7 0.8039 -2.0464 -0.0067 -2.569 0.995 -1.172
1.06 -16.0 -11.4 -2.2 0.03 -0.29 1.53 37.428034 -122.174214 35.7 0.2668 -1.7967 0.4627 -2.624 0.979 -1.171
1.10 -15.8 -10.5 1.7 -0.26 -0.30 1.52 37.428034 -122.174214 35.7 -0.3049 -1.4315 0.7682 -2.643 0.972 -1.201
1.13 -15.8 -10.5 1.7 -0.43 -0.26 1.48 37.428034 -122.174214 35.7 -0.9844 -0.6449 0.7179 -2.620 0.981 -1.286
1.16 -16.0 -9.5 3.1 -0.52 -0.22 1.36 37.428034 -122.174214 35.7 -1.5840 -0.5130 0.5458 -2.583 1.004 -1.348
1.19 -16.0 -9.5 3.1 -0.71 -0.15 1.18 37.428034 -122.174214 35.7 -2.2033 -0.4303 0.3488 -2.531 1.042 -1.424
