iPhone Sensor Log from Crossbow started at Nov 18, 2011 15:09:58 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.04 0.4 -26.0 -38.0 0.11 -0.11 -1.01 37.425932 -122.151754 0.0 0.0005 -0.2478 0.0977 0.094 0.097 0.084
0.07 0.3 -26.2 -37.7 0.11 -0.11 -1.01 37.425932 -122.151754 0.0 0.0767 0.0888 -0.0825 0.094 0.100 0.083
0.10 0.3 -26.2 -37.7 0.18 -0.14 -1.01 37.425932 -122.151754 0.0 0.1714 -0.0016 0.0018 0.101 0.104 0.080
0.13 0.4 -26.6 -38.6 0.14 -0.12 -0.93 37.425932 -122.151754 0.0 -0.5279 -1.0146 0.1499 0.070 0.103 0.089
0.16 0.4 -26.6 -38.6 -0.04 -0.06 -1.06 37.425932 -122.151754 0.0 -1.2059 -0.2013 -0.4464 0.056 0.077 0.085
0.19 0.0 -26.2 -39.1 0.06 -0.06 -1.08 37.425932 -122.151754 0.0 -0.9692 -0.0374 -0.4389 0.056 0.046 0.073
0.22 0.0 -26.2 -39.1 0.03 -0.05 -1.04 37.425932 -122.151754 0.0 -0.4415 -0.9744 -0.6035 0.034 0.024 0.056
0.26 -0.8 -24.0 -39.8 0.06 0.04 -1.09 37.425932 -122.151754 0.0 -0.5092 -0.6890 -0.7257 0.011 0.012 0.038
0.29 -0.8 -24.0 -39.8 0.04 0.04 -1.10 37.425932 -122.151754 0.0 -0.6321 0.0891 -0.3075 0.004 -0.005 0.024
0.32 -2.2 -21.1 -41.5 -0.04 0.02 -1.13 37.425932 -122.151754 0.0 -0.6882 0.3059 0.0700 0.020 -0.030 0.024
0.35 -2.2 -21.1 -41.5 0.03 0.02 -1.32 37.425932 -122.151754 0.0 -0.9446 0.8357 0.2019 0.032 -0.053 0.028
0.38 -1.6 -20.5 -41.7 -0.07 -0.22 -1.65 37.425932 -122.151754 0.0 -0.9873 1.6197 0.6460 0.071 -0.079 0.039
0.41 -1.6 -20.5 -41.7 -0.51 -0.28 -2.00 37.425932 -122.151754 0.0 -0.5798 -0.1094 1.0585 0.088 -0.104 0.077
0.44 -0.9 -18.8 -42.5 -0.63 -0.30 -2.00 37.425932 -122.151754 0.0 0.3216 -0.3745 0.6155 0.083 -0.103 0.096
0.48 -0.9 -18.8 -42.5 -0.65 -0.25 -2.00 37.425932 -122.151754 0.0 0.1102 0.6740 0.3621 0.084 -0.088 0.115
0.51 -0.6 -18.3 -43.0 -0.50 -0.03 -2.00 37.425932 -122.151754 0.0 0.2654 0.7447 -0.2197 0.118 -0.088 0.115
0.54 -0.6 -18.3 -43.0 0.01 0.27 -1.63 37.425932 -122.151754 0.0 0.8187 0.6519 -0.6736 0.132 -0.071 0.099
0.57 -0.1 -18.3 -43.4 0.44 0.57 -1.39 37.425932 -122.151754 0.0 0.4113 0.5832 -0.3005 0.156 -0.058 0.080
0.60 -0.1 -18.3 -43.4 0.31 0.56 -1.15 37.425932 -122.151754 0.0 1.3305 0.6666 0.0058 0.171 -0.034 0.074
0.63 2.0 -20.3 -42.3 0.57 0.53 -0.23 37.425932 -122.151754 0.0 3.0661 -0.6407 -0.7228 0.171 0.027 0.050
0.66 2.0 -20.3 -42.3 0.63 0.37 0.17 37.425932 -122.151754 0.0 2.3397 -0.4950 -0.8731 0.134 0.145 -0.013
0.69 2.1 -24.3 -40.0 0.38 0.21 -0.03 37.425932 -122.151754 0.0 1.1926 0.2828 -0.2728 0.136 0.187 -0.033
0.72 2.1 -24.3 -40.0 0.35 0.16 0.12 37.425932 -122.151754 0.0 1.7046 -0.9095 -0.1407 0.138 0.218 -0.044
0.75 2.3 -28.9 -36.8 0.12 0.00 0.35 37.425932 -122.151754 0.0 1.6978 -1.4089 0.2655 0.095 0.280 -0.051
0.79 2.3 -28.9 -36.8 0.05 -0.16 0.14 37.425932 -122.151754 0.0 0.5118 -0.4046 0.0693 0.071 0.307 -0.047
0.82 2.7 -34.2 -32.6 0.01 -0.15 0.22 37.425932 -122.151754 0.0 0.5006 -0.5386 0.0004 0.059 0.321 -0.052
0.85 2.7 -34.2 -32.6 -0.03 -0.19 0.15 37.425932 -122.151754 0.0 0.2350 -0.6679 0.3312 0.034 0.334 -0.044
0.88 1.6 -35.8 -31.8 -0.05 -0.08 0.14 37.425932 -122.151754 0.0 -0.1704 0.5847 -0.2038 0.034 0.333 -0.045
