iPhone Sensor Log from Crossbow started at Dec 4, 2011 11:08:19 PM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -6.8 4.9 -51.8 -0.07 0.00 -1.00 (null) (null) (null) -0.3500 -0.1111 -0.0286 -0.053 0.012 -0.085
0.06 -6.8 4.4 -50.8 -0.03 -0.01 -1.14 (null) (null) (null) -0.1004 0.1401 -0.0886 -0.052 0.006 -0.087
0.10 -6.8 4.4 -50.8 -0.00 0.04 -1.06 (null) (null) (null) 0.0930 0.1725 -0.0849 -0.044 0.006 -0.090
0.13 -5.8 3.7 -50.0 0.05 -0.01 -1.09 (null) (null) (null) -0.2623 -0.1141 -0.1449 -0.043 0.003 -0.093
0.16 -5.8 3.7 -50.0 0.02 -0.02 -1.26 (null) (null) (null) -0.2696 0.0733 -0.0489 -0.046 -0.012 -0.097
0.19 -5.1 4.7 -50.6 -0.00 -0.00 -1.19 (null) (null) (null) -0.1743 0.0644 -0.0247 -0.044 -0.017 -0.098
0.22 -5.1 4.7 -50.6 -0.04 0.06 -1.12 (null) (null) (null) -0.4853 -0.1216 -0.1476 -0.046 -0.026 -0.101
0.25 -3.9 5.9 -50.5 0.11 -0.00 -1.29 (null) (null) (null) -0.7895 -0.0725 -0.2564 -0.050 -0.045 -0.108
0.28 -3.9 5.9 -50.5 0.02 0.07 -1.31 (null) (null) (null) -0.4174 0.3575 -0.1300 -0.046 -0.067 -0.114
0.31 -3.2 6.4 -50.4 0.00 0.10 -1.33 (null) (null) (null) -0.3143 0.1481 -0.1550 -0.039 -0.076 -0.118
0.35 -3.2 6.4 -50.4 0.03 0.09 -1.28 (null) (null) (null) -0.0921 -0.1119 -0.2671 -0.040 -0.081 -0.125
0.38 -2.7 6.7 -50.1 0.07 0.10 -1.21 (null) (null) (null) 0.0711 -0.1836 -0.2869 -0.046 -0.080 -0.133
0.41 -2.7 6.7 -50.1 -0.02 0.14 -1.10 (null) (null) (null) 0.1091 0.2309 -0.3314 -0.049 -0.074 -0.144
0.44 -1.2 6.3 -49.3 0.09 0.05 -1.21 (null) (null) (null) 0.1512 0.1764 -0.2073 -0.043 -0.070 -0.152
0.47 -1.2 6.3 -49.3 -0.02 0.06 -1.14 (null) (null) (null) 0.4364 0.2941 -0.1908 -0.037 -0.063 -0.157
0.50 -0.7 6.0 -47.9 -0.09 0.11 -1.02 (null) (null) (null) 0.4201 0.0707 -0.2867 -0.035 -0.052 -0.163
0.53 -0.7 6.0 -47.9 0.05 0.07 -1.02 (null) (null) (null) -0.0089 -0.4146 -0.4812 -0.038 -0.045 -0.179
0.56 -1.0 4.9 -47.3 0.17 0.02 -1.11 (null) (null) (null) 0.1570 0.0869 -0.1948 -0.037 -0.043 -0.188
0.60 -1.0 4.9 -47.3 0.03 0.03 -0.97 (null) (null) (null) 0.3315 0.6876 0.1439 -0.024 -0.035 -0.187
0.63 -0.1 4.6 -47.9 -0.06 0.05 -1.07 (null) (null) (null) 0.0108 0.2735 0.0620 -0.011 -0.030 -0.183
0.66 -0.1 4.6 -47.9 -0.06 0.07 -1.10 (null) (null) (null) 0.3110 -0.0421 -0.1421 -0.016 -0.031 -0.187
0.69 1.5 4.4 -47.1 -0.12 0.09 -0.91 (null) (null) (null) 0.4631 -0.1260 -0.3203 -0.022 -0.020 -0.193
0.72 1.5 4.4 -47.1 -0.04 0.03 -0.87 (null) (null) (null) 0.1883 -0.4575 -0.4903 -0.031 -0.010 -0.205
0.75 1.8 3.9 -45.9 0.01 0.01 -0.83 (null) (null) (null) 0.1871 -0.3236 -0.3146 -0.043 -0.005 -0.216
0.78 1.8 3.9 -45.9 -0.07 0.06 -0.82 (null) (null) (null) 0.2470 0.3371 -0.0521 -0.039 0.005 -0.222
0.81 1.7 2.9 -45.3 -0.17 0.08 -0.85 (null) (null) (null) 0.2251 0.3416 -0.1854 -0.030 0.011 -0.224
0.85 1.7 2.9 -45.3 -0.08 0.03 -0.82 (null) (null) (null) 0.2462 0.1267 -0.4374 -0.023 0.019 -0.234
0.88 1.0 2.2 -44.7 0.03 -0.07 -0.91 (null) (null) (null) 0.1901 -0.1207 -0.3747 -0.024 0.026 -0.246
0.91 1.0 2.2 -44.7 -0.14 -0.01 -0.78 (null) (null) (null) 0.6676 0.3723 -0.0085 -0.014 0.050 -0.251
0.94 1.3 1.6 -43.9 -0.19 -0.02 -0.69 (null) (null) (null) 0.6247 0.2202 -0.1541 -0.005 0.069 -0.253
0.97 1.3 1.6 -43.9 -0.15 -0.11 -0.59 (null) (null) (null) 0.5280 0.1108 -0.3336 -0.000 0.085 -0.260
1.00 3.5 -0.1 -44.6 -0.06 -0.17 -0.54 (null) (null) (null) 0.2765 0.1186 -0.4097 0.004 0.096 -0.271
1.03 3.5 -0.1 -44.6 -0.02 -0.21 -0.61 (null) (null) (null) 0.0447 0.1338 -0.2756 0.009 0.100 -0.284
1.06 4.6 -0.1 -44.2 -0.02 -0.24 -0.59 (null) (null) (null) 0.1223 0.1093 -0.1637 0.012 0.103 -0.290
1.10 4.6 -0.1 -44.2 -0.03 -0.21 -0.51 (null) (null) (null) 0.1920 0.0944 -0.0747 0.015 0.108 -0.294
