iPhone Sensor Log from Crossbow started at Dec 4, 2011 11:08:58 PM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.31 5.6 -3.0 -46.6 0.07 -0.02 -0.89 (null) (null) (null) -0.8809 0.3646 0.7755 0.080 0.110 -0.217
1.35 5.6 -3.0 -46.6 0.08 0.01 -0.85 (null) (null) (null) -0.7370 0.2927 0.6886 0.088 0.076 -0.187
1.38 6.9 -1.6 -47.5 0.15 0.01 -0.79 (null) (null) (null) -0.5144 -0.1774 0.5645 0.085 0.063 -0.168
1.41 6.9 -1.6 -47.5 0.08 0.01 -0.88 (null) (null) (null) -0.6442 0.0772 0.6432 0.080 0.049 -0.150
1.44 7.4 0.8 -48.0 0.05 0.12 -1.14 (null) (null) (null) -0.9446 0.0644 0.6056 0.089 0.019 -0.122
1.47 7.4 0.8 -48.0 0.09 0.10 -1.25 (null) (null) (null) -0.9014 0.0026 0.5545 0.085 -0.015 -0.100
1.50 7.7 1.8 -48.3 -0.07 0.14 -1.24 (null) (null) (null) -0.4855 -0.0303 0.5985 0.088 -0.031 -0.082
1.53 7.7 1.8 -48.3 0.07 0.12 -1.23 (null) (null) (null) -0.3967 -0.3546 0.3233 0.081 -0.042 -0.069
1.56 7.7 3.0 -49.6 -0.00 0.07 -1.11 (null) (null) (null) -0.1987 -0.1849 0.3297 0.073 -0.049 -0.060
1.60 7.7 3.0 -49.6 -0.05 0.03 -1.24 (null) (null) (null) -0.2599 0.6611 0.5441 0.084 -0.054 -0.041
1.63 7.4 3.8 -50.1 0.06 0.04 -1.16 (null) (null) (null) -0.2395 0.2708 0.3509 0.099 -0.061 -0.028
1.66 7.4 3.8 -50.1 0.07 0.07 -1.28 (null) (null) (null) -0.2868 -0.4052 0.3058 0.094 -0.065 -0.019
1.69 8.2 4.4 -50.9 -0.08 0.10 -1.17 (null) (null) (null) -0.0917 0.0679 0.6188 0.089 -0.073 -0.000
1.72 8.2 4.4 -50.9 -0.09 0.07 -1.17 (null) (null) (null) 0.0677 -0.0481 0.5238 0.089 -0.069 0.022
1.75 8.2 4.3 -51.5 0.02 0.08 -1.33 (null) (null) (null) -0.1978 -0.0452 0.4309 0.088 -0.070 0.035
1.78 8.2 4.3 -51.5 -0.13 0.12 -1.21 (null) (null) (null) -0.1377 -0.1497 0.5325 0.086 -0.074 0.048
1.81 8.5 3.6 -52.1 -0.07 0.14 -1.17 (null) (null) (null) -0.1447 -0.2586 0.3483 0.082 -0.076 0.061
1.85 8.5 3.6 -52.1 -0.15 0.16 -1.16 (null) (null) (null) -0.0271 -0.1205 0.3740 0.072 -0.078 0.073
1.88 9.3 4.0 -53.0 -0.09 0.14 -1.08 (null) (null) (null) 0.0050 0.1041 0.2454 0.076 -0.078 0.081
1.91 9.3 4.0 -53.0 -0.10 0.11 -1.03 (null) (null) (null) 0.1418 -0.1362 0.1739 0.051 -0.082 0.085
1.94 9.3 3.9 -52.8 -0.22 0.17 -1.05 (null) (null) (null) 0.0427 0.0338 0.1679 0.030 -0.083 0.088
1.97 9.3 3.9 -52.8 -0.17 0.13 -1.05 (null) (null) (null) 0.0696 0.1307 0.0869 0.003 -0.089 0.094
2.00 9.2 3.5 -52.9 -0.18 0.10 -1.06 (null) (null) (null) 0.0973 0.0783 0.0405 -0.013 -0.088 0.093
2.03 9.2 3.5 -52.9 -0.17 0.13 -1.06 (null) (null) (null) 0.2456 0.2691 -0.0301 -0.020 -0.083 0.092
2.07 8.7 3.1 -52.6 -0.22 0.10 -1.07 (null) (null) (null) 0.3233 0.1049 -0.0098 -0.027 -0.077 0.091
2.10 8.7 3.1 -52.6 -0.22 0.10 -1.07 (null) (null) (null) 0.3819 0.0753 -0.1620 -0.031 -0.064 0.089
2.13 8.2 1.8 -53.0 -0.14 0.09 -1.09 (null) (null) (null) 0.4821 -0.1570 -0.4197 -0.035 -0.053 0.080
2.16 8.2 1.8 -53.0 -0.12 0.11 -1.01 (null) (null) (null) 0.6008 -0.2491 -0.2857 -0.048 -0.039 0.070
2.19 7.2 1.1 -53.1 -0.20 0.04 -0.95 (null) (null) (null) 0.5364 -0.1471 -0.5109 -0.051 -0.015 0.057
2.22 7.2 1.1 -53.1 -0.10 -0.02 -0.96 (null) (null) (null) 0.2456 -0.6590 -0.7182 -0.072 0.000 0.034
2.25 5.3 -0.1 -52.3 -0.13 -0.02 -0.96 (null) (null) (null) 0.3089 -0.4866 -0.5980 -0.088 0.010 0.016
2.28 5.3 -0.1 -52.3 -0.21 0.01 -0.97 (null) (null) (null) 0.2921 -0.2827 -0.7745 -0.100 0.020 -0.002
2.31 4.5 -0.6 -51.7 -0.04 -0.05 -0.92 (null) (null) (null) 0.2582 -0.2831 -0.9882 -0.107 0.031 -0.026
2.35 4.5 -0.6 -51.7 0.06 -0.09 -0.92 (null) (null) (null) 0.1324 -0.3566 -0.7347 -0.119 0.041 -0.058
