iPhone Sensor Log from Crossbow started at Nov 18, 2011 1:58:27 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.26 -23.7 -3.8 -41.6 -0.31 -0.07 -1.23 37.425048 -122.170808 46.5 -1.6358 -0.3056 -0.4641 -0.064 0.175 -2.256
1.29 -25.4 -3.0 -40.1 -0.56 0.05 -1.21 37.425048 -122.170808 46.5 -0.8894 -0.8871 -0.1223 -0.088 0.140 -2.266
1.32 -25.4 -3.0 -40.1 -0.20 0.10 -1.62 37.425048 -122.170808 46.5 -2.1420 -0.3178 -1.7221 -0.102 0.081 -2.309
1.35 -27.3 -1.1 -38.6 0.33 0.18 -1.94 37.425048 -122.170808 46.5 -2.0730 -0.5477 -2.0203 -0.111 0.031 -2.366
1.38 -27.3 -1.1 -38.6 0.65 0.09 -1.99 37.425048 -122.170808 46.5 -1.3526 -0.3319 -1.5605 -0.122 -0.010 -2.421
1.41 -27.6 0.4 -38.2 0.42 -0.06 -1.56 37.425048 -122.170808 46.5 -0.5115 -0.1695 -0.6173 -0.137 -0.030 -2.455
1.44 -27.6 0.4 -38.2 0.43 -0.07 -1.53 37.425048 -122.170808 46.5 -0.7753 -0.0217 -0.7298 -0.137 -0.047 -2.476
1.47 -27.8 1.3 -36.8 0.46 -0.05 -1.33 37.425048 -122.170808 46.5 0.1563 -0.1128 -0.3646 -0.154 -0.051 -2.502
1.51 -27.8 1.3 -36.8 0.45 -0.01 -1.17 37.425048 -122.170808 46.5 0.0150 0.2217 -0.3942 -0.151 -0.049 -2.512
1.54 -29.3 1.0 -36.9 0.57 0.08 -1.16 37.425048 -122.170808 46.5 -0.0419 -0.4282 -0.2648 -0.156 -0.048 -2.522
1.57 -29.3 1.0 -36.9 0.38 0.09 -1.05 37.425048 -122.170808 46.5 0.3868 0.1358 0.3071 -0.138 -0.042 -2.517
1.60 -30.2 0.4 -37.8 0.36 -0.01 -1.11 37.425048 -122.170808 46.5 0.1205 -0.2213 0.3985 -0.137 -0.037 -2.507
1.63 -30.2 0.4 -37.8 0.43 0.09 -1.09 37.425048 -122.170808 46.5 0.5548 0.1072 -0.0690 -0.142 -0.026 -2.500
1.66 -30.0 -1.3 -37.0 0.24 0.05 -0.97 37.425048 -122.170808 46.5 0.6513 0.1214 0.4322 -0.119 -0.004 -2.489
1.69 -30.0 -1.3 -37.0 0.22 0.08 -1.06 37.425048 -122.170808 46.5 0.1827 0.3275 0.1946 -0.110 0.005 -2.479
1.72 -29.4 -2.1 -36.5 0.16 0.06 -1.19 37.425048 -122.170808 50.9 0.2501 0.6303 0.1602 -0.089 0.006 -2.477
1.75 -29.4 -2.1 -36.5 -0.02 0.05 -0.98 37.425048 -122.170808 50.9 0.7289 0.4178 0.5584 -0.072 0.019 -2.466
