iPhone Sensor Log from Crossbow started at Nov 18, 2011 15:10:12 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.04 -2.0 -23.6 -39.7 0.02 -0.07 -0.99 37.425993 -122.151791 12.7 0.0575 -0.1705 0.1748 0.067 0.060 0.061
0.07 -2.1 -25.8 -39.0 0.06 -0.07 -1.03 37.425993 -122.151791 12.7 -0.0820 0.0053 -0.1963 0.060 0.059 0.061
0.10 -2.1 -25.8 -39.0 0.12 -0.05 -1.05 37.425993 -122.151791 12.7 -0.0759 -0.0527 -0.1675 0.063 0.056 0.055
0.13 -2.2 -25.7 -39.6 0.07 -0.06 -0.99 37.425993 -122.151791 12.7 0.0089 -0.2417 0.1095 0.058 0.054 0.055
0.16 -2.2 -25.7 -39.6 -0.01 -0.09 -0.99 37.425993 -122.151791 12.7 -0.3293 -0.0577 -0.0287 0.051 0.052 0.058
0.19 -2.3 -24.3 -40.3 0.09 -0.03 -1.09 37.425993 -122.151791 12.7 -0.5605 -0.1009 -0.3587 0.048 0.039 0.052
0.22 -2.3 -24.3 -40.3 0.06 0.00 -1.00 37.425993 -122.151791 12.7 -0.2714 -0.2060 -0.3323 0.043 0.027 0.042
0.25 -2.6 -24.0 -40.4 0.02 -0.06 -1.02 37.425993 -122.151791 12.7 -0.1510 -0.0886 0.0696 0.038 0.025 0.040
0.29 -2.6 -24.0 -40.4 0.05 -0.05 -1.07 37.425993 -122.151791 12.7 -0.4565 -0.4781 -0.2418 0.030 0.017 0.038
0.32 -2.5 -22.4 -40.8 -0.03 0.05 -1.19 37.425993 -122.151791 12.7 -0.7097 -0.5391 -0.4468 0.008 -0.003 0.024
0.35 -2.5 -22.4 -40.8 -0.17 0.00 -1.31 37.425993 -122.151791 12.7 -1.0543 -0.1692 -0.3243 -0.002 -0.028 0.012
0.38 -2.1 -20.5 -41.5 -0.27 -0.03 -1.53 37.425993 -122.151791 12.7 -0.8984 0.6516 0.5483 0.007 -0.054 0.016
0.41 -2.1 -20.5 -41.5 -0.18 -0.17 -1.83 37.425993 -122.151791 12.7 -1.1836 2.1623 0.3521 0.074 -0.102 0.043
0.44 -1.7 -18.8 -43.1 -0.54 -0.12 -2.00 37.425993 -122.151791 12.7 -0.3713 -0.1252 0.3957 0.100 -0.120 0.054
0.47 -1.7 -18.8 -43.1 -0.40 -0.11 -2.00 37.425993 -122.151791 12.7 -0.1085 -0.0896 0.2790 0.095 -0.127 0.066
0.51 -0.3 -17.5 -43.9 -0.35 0.03 -2.00 37.425993 -122.151791 12.7 0.8912 -0.3153 -0.1891 0.090 -0.108 0.058
0.54 -0.3 -17.5 -43.9 -0.12 0.25 -1.73 37.425993 -122.151791 10.8 1.1010 -0.5026 -0.3499 0.078 -0.083 0.050
0.57 -0.1 -19.7 -43.3 -0.12 0.25 -1.73 37.425993 -122.151791 10.8 1.7835 -0.2965 -0.7173 0.060 -0.030 0.026
0.60 -0.1 -19.7 -43.3 0.17 0.36 -1.41 37.425993 -122.151791 10.8 1.6056 -0.1389 -0.3980 0.053 0.030 0.001
0.63 -0.7 -21.9 -41.5 0.17 0.37 -1.15 37.425993 -122.151791 10.8 1.9346 0.3638 -0.3658 0.058 0.077 -0.012
0.66 -0.7 -21.9 -41.5 0.24 0.35 -0.75 37.425993 -122.151791 10.8 2.1536 0.3443 -0.9327 0.076 0.146 -0.040
0.69 0.1 -25.1 -39.5 0.46 0.32 -0.30 37.425993 -122.151791 10.8 2.3393 -0.9906 -0.9161 0.068 0.207 -0.071
0.72 0.1 -25.1 -39.5 0.49 0.21 -0.03 37.425993 -122.151791 10.8 1.7143 -0.4855 -0.6159 0.051 0.257 -0.095
0.75 1.3 -30.6 -34.7 0.36 0.03 -0.15 37.425993 -122.151791 10.8 0.9012 0.0175 -0.3138 0.064 0.307 -0.117
0.79 1.3 -30.6 -34.7 0.21 0.07 0.10 37.425993 -122.151791 10.8 1.3387 -0.7890 -0.1756 0.051 0.341 -0.125
0.82 1.4 -33.3 -31.5 0.32 -0.06 0.02 37.425993 -122.151791 10.8 0.7534 -0.5840 -0.2714 0.037 0.365 -0.135
0.85 1.4 -33.3 -31.5 0.09 -0.05 0.19 37.425993 -122.151791 10.8 0.3675 -0.0559 0.1856 0.023 0.389 -0.134
0.88 0.4 -35.3 -29.6 -0.03 -0.15 0.14 37.425993 -122.151791 10.8 0.1131 -0.1560 0.3935 0.019 0.392 -0.126
0.91 0.4 -35.3 -29.6 -0.13 -0.17 0.18 37.425993 -122.151791 10.8 -0.0548 -0.6743 0.2497 0.001 0.394 -0.116
0.94 -0.8 -35.7 -30.0 -0.06 -0.18 -0.04 37.425993 -122.151791 10.8 -0.5903 -0.5955 0.0930 -0.029 0.371 -0.114
0.97 -0.8 -35.7 -30.0 -0.14 0.01 -0.13 37.425993 -122.151791 10.8 -0.4765 0.1594 0.3683 -0.035 0.356 -0.109
1.00 -1.7 -35.1 -30.3 -0.46 -0.00 -0.14 37.425993 -122.151791 10.8 -0.5654 0.1426 0.7738 -0.035 0.344 -0.091
1.04 -1.7 -35.1 -30.3 -0.33 -0.03 -0.56 37.425993 -122.151791 10.8 -1.1166 -2.0469 0.2309 -0.070 0.302 -0.082
1.07 -3.4 -34.5 -30.7 -0.51 0.12 -0.62 37.425993 -122.151791 10.8 -0.3278 -1.8526 0.6825 -0.132 0.287 -0.068
1.10 -3.4 -34.5 -30.7 -0.61 0.09 -1.00 37.425993 -122.151791 10.8 -1.5824 0.1253 -0.0546 -0.152 0.251 -0.062
1.13 -6.2 -31.7 -33.5 -0.47 0.21 -1.47 37.425993 -122.151791 10.8 -1.9338 -0.4741 -1.1122 -0.153 0.186 -0.097
1.16 -6.2 -31.7 -33.5 -0.18 0.33 -1.88 37.425993 -122.151791 10.8 -2.1147 -0.2393 -1.7203 -0.156 0.143 -0.144
1.19 -4.7 -28.6 -36.4 0.32 0.21 -1.99 37.425993 -122.151791 10.8 -2.4450 -0.2039 -2.2613 -0.149 0.062 -0.234
1.22 -4.7 -28.6 -36.4 0.69 0.06 -1.99 37.425993 -122.151791 10.8 -1.7019 0.3176 -2.0921 -0.150 0.019 -0.300
1.25 -0.7 -23.9 -39.5 0.47 -0.10 -1.99 37.425993 -122.151791 10.8 -0.8298 0.2222 -1.1553 -0.137 -0.007 -0.347
1.29 -0.7 -23.9 -39.5 0.22 -0.16 -1.84 37.425993 -122.151791 10.8 -0.0137 -0.2021 -0.3441 -0.151 -0.021 -0.372
1.32 0.4 -21.5 -40.3 0.19 -0.10 -1.40 37.425993 -122.151791 10.8 0.2821 0.3487 -0.4842 -0.147 -0.013 -0.381
1.35 0.4 -21.5 -40.3 0.40 0.00 -1.35 37.425993 -122.151791 10.8 0.0841 0.0687 -0.4749 -0.141 -0.006 -0.395
1.38 0.9 -21.1 -41.1 0.54 0.12 -1.37 37.425993 -122.151791 10.8 0.3091 0.0823 -0.0544 -0.141 -0.005 -0.404
1.41 0.9 -21.1 -41.1 0.76 0.21 -1.15 37.425993 -122.151791 10.8 0.6382 0.3581 0.1815 -0.134 0.009 -0.401
1.44 2.0 -22.4 -40.4 1.02 0.30 -1.01 37.425993 -122.151791 10.8 0.3826 -0.4970 0.7964 -0.140 0.037 -0.378
1.47 2.0 -22.4 -40.4 1.03 0.27 -1.11 37.425993 -122.151791 10.8 0.7177 1.1065 1.0200 -0.131 0.046 -0.350
1.51 1.6 -23.5 -39.8 0.61 0.31 -0.94 37.425993 -122.151791 10.8 0.8479 1.1414 1.4428 -0.097 0.063 -0.317
1.54 1.6 -23.5 -39.8 0.61 0.43 -1.26 37.425993 -122.151791 6.3 0.0215 -0.2577 0.9626 -0.090 0.080 -0.265
1.57 -0.0 -25.9 -38.7 0.25 0.31 -1.06 37.425993 -122.151791 6.3 0.4214 2.4803 0.6880 -0.051 0.077 -0.248
1.60 -0.0 -25.9 -38.7 -0.25 0.13 -0.83 37.425993 -122.151791 6.3 0.7485 0.6026 1.2801 -0.013 0.094 -0.223
1.63 -0.5 -26.6 -38.4 -0.75 -0.06 -1.24 37.425993 -122.151791 6.3 -0.0229 -0.8361 1.9216 -0.032 0.102 -0.175
1.66 -0.5 -26.6 -38.4 -1.03 -0.26 -1.26 37.425993 -122.151791 6.3 -0.2143 1.5949 1.3971 -0.024 0.077 -0.106
1.69 -2.8 -26.2 -38.4 -1.10 -0.29 -1.13 37.425993 -122.151791 6.3 0.4513 0.0431 1.4874 -0.005 0.082 -0.067
1.72 -2.8 -26.2 -38.4 -0.78 -0.26 -1.01 37.425993 -122.151791 6.3 0.3089 -0.1010 0.5377 -0.022 0.102 -0.029
1.75 -3.3 -26.6 -37.9 -0.45 -0.16 -1.22 37.425993 -122.151791 6.3 -0.6625 1.2260 0.0270 -0.000 0.093 -0.025
1.79 -3.3 -26.6 -37.9 -0.41 -0.18 -1.05 37.425993 -122.151791 6.3 -0.2196 0.4743 0.2647 0.020 0.080 -0.022
1.82 -3.1 -26.1 -37.7 -0.45 -0.20 -0.78 37.425993 -122.151791 6.3 0.7176 -0.2408 0.6998 0.014 0.101 0.006
1.85 -3.1 -26.1 -37.7 -0.30 -0.22 -0.94 37.425993 -122.151791 6.3 0.3295 -0.3105 0.7063 -0.001 0.117 0.024
1.88 -4.0 -26.0 -38.2 -0.09 -0.16 -1.10 37.425993 -122.151791 6.3 -0.2989 0.1609 0.3126 -0.015 0.116 0.038
