iPhone Sensor Log from Crossbow started at Dec 4, 2011 11:07:21 PM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -6.8 -1.7 -48.9 -0.08 -0.07 -1.03 (null) (null) (null) -0.2733 -0.1774 -0.0245 -0.062 0.066 -0.160
0.06 -6.8 -1.7 -48.9 -0.05 -0.06 -1.01 (null) (null) (null) 0.0142 -0.0118 0.0001 -0.065 0.062 -0.161
0.10 -7.7 -1.5 -49.1 -0.09 -0.04 -0.93 (null) (null) (null) 0.0325 -0.0379 0.0459 -0.065 0.065 -0.159
0.13 -7.7 -1.5 -49.1 -0.09 -0.06 -0.97 (null) (null) (null) -0.2039 -0.1793 -0.0064 -0.070 0.062 -0.159
0.16 -7.7 0.0 -49.7 -0.11 -0.06 -1.04 (null) (null) (null) -0.2393 -0.1127 -0.0105 -0.076 0.055 -0.160
0.19 -7.7 0.0 -49.7 -0.10 -0.06 -1.04 (null) (null) (null) -0.0452 0.1262 -0.0717 -0.076 0.052 -0.161
0.22 -7.4 -0.1 -50.5 -0.05 -0.06 -1.03 (null) (null) (null) -0.0834 -0.0114 -0.1225 -0.072 0.052 -0.166
0.25 -7.4 -0.1 -50.5 -0.02 -0.05 -1.12 (null) (null) (null) -0.1986 0.0522 -0.1567 -0.070 0.049 -0.170
0.28 -7.2 -0.5 -49.7 -0.03 -0.04 -1.25 (null) (null) (null) -0.2350 -0.1140 -0.1617 -0.071 0.043 -0.175
0.31 -7.2 -0.5 -49.7 -0.02 -0.05 -1.31 (null) (null) (null) -0.0151 -0.0552 -0.1989 -0.074 0.040 -0.180
0.35 -7.2 0.3 -49.1 0.01 -0.08 -1.25 (null) (null) (null) 0.2289 0.0468 -0.1908 -0.075 0.046 -0.186
0.38 -7.2 0.3 -49.1 0.06 -0.09 -1.25 (null) (null) (null) 0.1967 0.1588 -0.1651 -0.072 0.053 -0.191
0.41 -6.8 -0.1 -49.1 0.00 -0.08 -1.24 (null) (null) (null) 0.0762 0.1366 -0.0643 -0.068 0.056 -0.193
0.44 -6.8 -0.1 -49.1 0.00 -0.10 -1.22 (null) (null) (null) -0.0233 -0.0683 -0.1125 -0.066 0.058 -0.195
0.47 -6.3 -1.0 -49.3 0.08 -0.14 -1.29 (null) (null) (null) 0.0052 -0.0024 -0.0348 -0.071 0.057 -0.201
0.50 -6.3 -1.0 -49.3 0.02 -0.06 -1.22 (null) (null) (null) 0.3460 0.3259 0.0477 -0.067 0.063 -0.199
0.53 -4.5 -1.1 -50.1 0.08 -0.10 -1.18 (null) (null) (null) 0.2336 0.2212 -0.1054 -0.058 0.072 -0.200
0.56 -4.5 -1.1 -50.1 0.08 -0.06 -1.29 (null) (null) (null) -0.0876 -0.2991 -0.0511 -0.060 0.074 -0.203
0.60 -4.2 -1.0 -49.3 0.12 -0.07 -1.27 (null) (null) (null) 0.4035 0.2631 0.0770 -0.062 0.079 -0.203
0.63 -4.2 -1.0 -49.3 -0.00 -0.04 -1.17 (null) (null) (null) 0.6384 0.4952 0.2404 -0.050 0.095 -0.196
0.66 -4.3 -2.9 -48.1 0.00 -0.04 -1.00 (null) (null) (null) 0.6044 0.0353 0.1591 -0.043 0.110 -0.190
0.69 -4.3 -2.9 -48.1 0.08 -0.11 -0.92 (null) (null) (null) 0.4170 -0.0390 -0.1288 -0.038 0.126 -0.191
0.72 -3.1 -3.8 -48.3 0.07 -0.16 -0.81 (null) (null) (null) 0.2417 0.7049 0.2469 -0.032 0.138 -0.186
0.75 -3.1 -3.8 -48.3 -0.23 -0.11 -0.87 (null) (null) (null) -0.0664 0.7770 0.4405 -0.012 0.140 -0.175
0.78 -1.3 -3.8 -47.8 -0.24 -0.14 -0.92 (null) (null) (null) -0.2107 0.4164 0.1196 0.003 0.136 -0.166
0.81 -1.3 -3.8 -47.8 -0.12 -0.15 -0.93 (null) (null) (null) -0.2985 -0.3532 -0.2588 -0.007 0.129 -0.169
0.85 -0.7 -2.5 -46.7 -0.10 -0.11 -0.89 (null) (null) (null) -0.0562 -0.1916 -0.3026 -0.023 0.122 -0.181
0.88 -0.7 -2.5 -46.7 -0.21 -0.03 -0.77 (null) (null) (null) 0.2161 0.0216 -0.2003 -0.022 0.127 -0.188
0.91 -0.1 -2.5 -46.3 -0.01 -0.09 -0.86 (null) (null) (null) 0.1537 -0.0709 -0.3931 -0.022 0.132 -0.196
0.94 -0.1 -2.5 -46.3 0.02 -0.09 -0.73 (null) (null) (null) 0.2309 -0.2709 -0.4181 -0.027 0.137 -0.208
0.97 -0.1 -2.9 -45.7 -0.11 -0.05 -0.62 (null) (null) (null) 0.6797 0.2852 -0.0260 -0.026 0.158 -0.214
1.00 -0.1 -2.9 -45.7 -0.20 -0.07 -0.63 (null) (null) (null) 0.5919 0.3621 -0.0890 -0.013 0.182 -0.213
1.03 -0.7 -3.2 -45.1 -0.03 -0.19 -0.65 (null) (null) (null) 0.3724 -0.1971 -0.4196 -0.010 0.195 -0.221
1.07 -0.7 -3.2 -45.1 0.04 -0.24 -0.57 (null) (null) (null) 0.3640 -0.3584 -0.4918 -0.017 0.206 -0.234
1.10 -0.3 -4.9 -44.4 -0.00 -0.23 -0.52 (null) (null) (null) 0.3934 -0.1729 -0.2156 -0.025 0.222 -0.247
1.13 -0.3 -4.9 -44.4 -0.00 -0.21 -0.51 (null) (null) (null) 0.2339 -0.1393 -0.1104 -0.029 0.231 -0.250
1.16 -0.3 -5.6 -43.8 0.12 -0.22 -0.59 (null) (null) (null) 0.0171 -0.2375 -0.0345 -0.034 0.234 -0.252
1.19 -0.3 -5.6 -43.8 0.12 -0.16 -0.77 (null) (null) (null) -0.2243 -0.3989 0.1246 -0.044 0.231 -0.251
1.22 -1.0 -5.3 -42.9 -0.11 -0.07 -0.65 (null) (null) (null) -0.1399 -0.5364 0.6357 -0.067 0.222 -0.236
1.25 -1.0 -5.3 -42.9 -0.07 -0.17 -0.58 (null) (null) (null) 0.4288 0.2003 0.4976 -0.079 0.231 -0.210
1.28 -1.0 -5.4 -43.4 0.04 -0.19 -0.63 (null) (null) (null) 0.0349 0.1737 0.4875 -0.079 0.236 -0.196
1.31 -1.0 -5.4 -43.4 -0.02 -0.16 -0.79 (null) (null) (null) -0.1865 0.8921 0.6893 -0.066 0.232 -0.179
1.35 0.2 -5.8 -44.9 -0.11 -0.16 -0.84 (null) (null) (null) -0.1290 1.0502 0.8024 -0.033 0.225 -0.149
1.38 0.2 -5.8 -44.9 0.08 -0.17 -0.78 (null) (null) (null) -0.2206 0.3832 0.4331 -0.017 0.220 -0.132
1.41 1.2 -6.0 -45.2 0.12 -0.15 -0.79 (null) (null) (null) -0.2635 0.3088 0.3782 -0.013 0.213 -0.122
1.44 1.2 -6.0 -45.2 0.13 -0.14 -0.82 (null) (null) (null) -0.3683 0.5267 0.5388 -0.003 0.205 -0.108
1.47 2.8 -5.5 -44.8 0.05 -0.04 -0.93 (null) (null) (null) -0.6040 0.4930 0.7067 0.011 0.187 -0.084
1.50 2.8 -5.5 -44.8 0.11 -0.01 -0.90 (null) (null) (null) -0.7220 0.4789 0.6142 0.028 0.162 -0.059
1.53 4.7 -2.5 -46.1 0.14 -0.13 -1.03 (null) (null) (null) -0.6167 0.7506 0.5779 0.041 0.144 -0.042
1.56 4.7 -2.5 -46.1 0.14 -0.06 -0.99 (null) (null) (null) -0.5384 0.3501 0.5637 0.058 0.129 -0.025
1.60 5.4 -2.1 -47.8 0.12 0.05 -0.83 (null) (null) (null) -0.4364 -0.3452 0.5621 0.053 0.110 -0.003
1.63 5.4 -2.1 -47.8 0.09 -0.13 -1.08 (null) (null) (null) -0.6079 0.5060 0.6382 0.052 0.098 0.015
1.66 6.4 -1.5 -49.1 0.18 -0.05 -0.81 (null) (null) (null) -0.4779 0.3982 0.5358 0.070 0.084 0.031
1.69 6.4 -1.5 -49.1 -0.02 0.03 -0.86 (null) (null) (null) -0.4446 -0.0969 0.5437 0.068 0.074 0.046
1.72 7.4 -0.1 -48.7 -0.07 0.02 -1.23 (null) (null) (null) -0.9540 0.7723 0.7513 0.081 0.049 0.075
1.75 7.4 -0.1 -48.7 0.28 -0.00 -1.22 (null) (null) (null) -0.9383 -0.0074 0.3060 0.095 0.012 0.097
1.78 7.7 2.6 -48.9 0.06 0.08 -0.82 (null) (null) (null) -0.2063 -0.0285 0.4476 0.093 -0.001 0.108
1.81 7.7 2.6 -48.9 0.01 0.01 -1.10 (null) (null) (null) -0.4399 0.5061 0.7885 0.097 -0.006 0.128
1.85 9.0 3.3 -49.2 0.01 0.10 -1.34 (null) (null) (null) -1.0336 0.5293 0.6231 0.115 -0.026 0.149
1.88 9.0 3.3 -49.2 0.04 0.14 -1.20 (null) (null) (null) -0.8610 0.0960 0.6200 0.125 -0.059 0.176
1.91 10.2 4.2 -49.0 0.04 0.14 -1.20 (null) (null) (null) -0.4241 -0.3534 0.6149 0.122 -0.074 0.195
1.94 10.2 4.2 -49.0 -0.01 0.03 -1.12 (null) (null) (null) -0.5368 -0.0186 0.7364 0.114 -0.084 0.215
1.97 9.3 6.1 -49.2 -0.19 0.05 -1.30 (null) (null) (null) -0.4316 0.2876 0.6122 0.131 -0.098 0.245
2.00 9.3 6.1 -49.2 -0.04 0.11 -1.22 (null) (null) (null) -0.1148 -0.2118 0.3180 0.128 -0.103 0.261
