iPhone Sensor Log from Crossbow started at Dec 4, 2011 11:10:44 PM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -6.3 1.4 -42.3 -0.01 -0.03 -1.00 0 0 0 -0.3054 -0.1407 -0.0980 -0.022 0.016 -0.371
0.06 -6.1 1.5 -42.2 0.01 0.00 -1.08 0 0 0 -0.1877 0.0106 0.0069 -0.023 0.009 -0.372
0.10 -6.1 1.5 -42.2 -0.00 0.03 -1.14 0 0 0 -0.0648 0.0760 0.0823 -0.021 0.006 -0.371
0.13 -7.1 2.1 -42.3 0.01 0.06 -1.08 0 0 0 0.0202 -0.1096 0.0847 -0.022 0.003 -0.368
0.16 -7.1 2.1 -42.3 0.02 0.05 -1.25 0 0 0 -0.3519 -0.2639 -0.0553 -0.032 -0.004 -0.369
0.19 -8.0 3.1 -43.0 0.10 0.01 -1.29 0 0 0 -0.1509 0.0180 -0.1060 -0.036 -0.011 -0.371
0.22 -8.0 3.1 -43.0 0.08 0.02 -1.19 0 0 0 0.0465 0.1889 -0.0491 -0.032 -0.011 -0.373
0.25 -7.5 3.4 -42.7 0.03 0.00 -1.22 0 0 0 -0.0797 0.0412 -0.0460 -0.029 -0.011 -0.374
0.28 -7.5 3.4 -42.7 0.01 -0.02 -1.27 0 0 0 -0.1888 -0.0861 -0.0874 -0.036 -0.022 -0.375
0.31 -7.1 3.3 -43.6 0.04 -0.01 -1.25 0 0 0 -0.1114 -0.0952 -0.1424 -0.039 -0.025 -0.378
0.35 -7.1 3.3 -43.6 0.08 0.01 -1.25 0 0 0 -0.0381 -0.0434 -0.1534 -0.041 -0.027 -0.383
0.38 -6.9 3.0 -44.2 0.07 -0.01 -1.24 0 0 0 0.0816 -0.1284 -0.0999 -0.044 -0.025 -0.386
0.41 -6.9 3.0 -44.2 0.06 0.01 -1.33 0 0 0 -0.0849 -0.2859 -0.0752 -0.052 -0.026 -0.389
0.44 -7.2 3.7 -43.4 0.05 0.03 -1.25 0 0 0 0.1151 -0.0661 -0.0498 -0.057 -0.026 -0.391
0.47 -7.2 3.7 -43.4 0.05 0.05 -1.15 0 0 0 0.3716 0.3105 -0.0146 -0.053 -0.017 -0.390
0.50 -6.6 3.5 -43.4 0.05 0.04 -1.09 0 0 0 0.1646 0.3282 -0.0666 -0.044 -0.010 -0.391
0.53 -6.6 3.5 -43.4 0.09 -0.01 -1.03 0 0 0 0.2364 0.4993 -0.0651 -0.019 -0.001 -0.394
0.56 -4.3 2.9 -43.1 0.08 -0.01 -1.00 0 0 0 0.2515 0.7968 0.1239 0.007 0.007 -0.393
0.60 -4.3 2.9 -43.1 -0.11 0.03 -0.90 0 0 0 0.3007 0.8487 0.3301 0.027 0.015 -0.385
0.63 -2.8 3.0 -42.9 -0.03 0.00 -1.04 0 0 0 0.0714 0.7347 0.0892 0.051 0.021 -0.380
0.66 -2.8 3.0 -42.9 0.01 -0.01 -0.93 0 0 0 0.0729 0.0601 -0.0759 0.055 0.020 -0.381
0.69 -1.8 3.3 -42.9 0.06 -0.00 -0.97 0 0 0 0.2050 -0.0977 -0.0603 0.054 0.025 -0.383
0.72 -1.8 3.3 -42.9 -0.00 0.06 -0.93 0 0 0 0.2614 -0.1999 0.0532 0.048 0.028 -0.384
0.75 -0.8 2.1 -41.8 -0.02 0.03 -0.95 0 0 0 0.3246 -0.0789 0.0826 0.042 0.033 -0.382
0.78 -0.8 2.1 -41.8 0.00 -0.00 -0.81 0 0 0 0.5806 -0.0820 -0.0995 0.035 0.050 -0.383
0.81 -0.8 0.9 -40.8 -0.03 -0.07 -0.57 0 0 0 0.5860 -0.2635 -0.1440 0.029 0.067 -0.387
0.85 -0.8 0.9 -40.8 -0.08 -0.10 -0.63 0 0 0 0.2700 0.2489 -0.0900 0.030 0.079 -0.391
0.88 -0.1 1.1 -38.9 -0.08 -0.09 -0.73 0 0 0 -0.1300 0.3070 -0.0969 0.039 0.080 -0.393
0.91 -0.1 1.1 -38.9 -0.05 -0.09 -0.70 0 0 0 0.0170 -0.1982 -0.2124 0.039 0.076 -0.399
0.94 0.1 0.9 -39.0 -0.06 -0.10 -0.60 0 0 0 0.2795 -0.3134 -0.2486 0.032 0.081 -0.406
0.97 0.1 0.9 -39.0 -0.06 -0.12 -0.55 0 0 0 0.3314 -0.1865 -0.2577 0.024 0.090 -0.413
1.00 0.5 0.7 -38.2 -0.04 -0.14 -0.61 0 0 0 0.3414 -0.0813 -0.1178 0.020 0.100 -0.417
1.03 0.5 0.7 -38.2 -0.06 -0.11 -0.72 0 0 0 -0.0020 -0.0990 0.0690 0.017 0.108 -0.419
1.06 1.1 0.0 -37.7 -0.09 -0.09 -0.77 0 0 0 0.0254 0.0767 0.1328 0.017 0.108 -0.415
1.10 1.1 0.0 -37.7 -0.08 -0.06 -0.69 0 0 0 0.1525 -0.0932 0.0704 0.017 0.112 -0.413
1.13 0.7 -0.8 -37.9 0.12 -0.11 -0.74 0 0 0 0.0525 -0.3625 -0.0277 0.008 0.115 -0.412
1.16 0.7 -0.8 -37.9 0.06 -0.12 -0.72 0 0 0 -0.1143 -0.0031 0.0827 0.001 0.113 -0.413
1.19 0.6 -0.8 -37.7 -0.07 -0.07 -0.78 0 0 0 -0.1344 0.2453 0.4376 0.003 0.110 -0.404
1.22 0.6 -0.8 -37.7 -0.02 -0.08 -0.82 0 0 0 -0.2399 0.1253 0.4814 0.007 0.105 -0.390
1.25 0.4 -0.4 -38.3 -0.02 -0.08 -0.82 0 0 0 -0.2290 0.0250 0.3752 0.006 0.098 -0.379
1.28 0.4 -0.4 -38.3 0.01 -0.13 -0.77 0 0 0 -0.0058 0.2581 0.4389 0.018 0.095 -0.359
1.31 0.8 -0.7 -38.3 0.01 -0.07 -0.67 0 0 0 0.0062 0.0111 0.4381 0.018 0.096 -0.347
1.35 0.8 -0.7 -38.3 0.07 -0.13 -0.65 0 0 0 -0.3478 0.4504 0.5105 0.022 0.091 -0.334
1.38 2.5 -0.7 -39.6 0.03 -0.07 -0.77 0 0 0 -0.4902 0.7385 0.7402 0.039 0.080 -0.315
1.41 2.5 -0.7 -39.6 -0.05 -0.07 -0.79 0 0 0 -0.0735 0.4238 0.6479 0.063 0.070 -0.288
1.44 2.8 0.0 -40.9 -0.06 -0.03 -0.73 0 0 0 -0.3179 -0.1249 0.3244 0.064 0.067 -0.275
1.47 2.8 0.0 -40.9 0.14 -0.05 -0.93 0 0 0 -0.6548 -0.0341 0.2789 0.067 0.050 -0.268
1.50 3.9 1.1 -40.7 0.07 0.05 -1.11 0 0 0 -0.6504 0.2370 0.4706 0.068 0.031 -0.255
1.53 3.9 1.1 -40.7 0.01 0.02 -1.23 0 0 0 -0.1920 0.1338 0.2438 0.083 0.013 -0.234
1.56 4.9 2.3 -41.6 0.09 0.00 -1.04 0 0 0 -0.0097 -0.6040 0.1489 0.074 0.009 -0.228
1.60 4.9 2.3 -41.6 0.16 0.05 -0.90 0 0 0 -0.1772 0.1077 0.3772 0.069 0.004 -0.221
