iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:06:08 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.25 -10.3 -18.6 -7.1 -1.04 0.09 0.82 37.427163 -122.173288 34.1 -2.2386 -1.6472 0.0489 -2.778 1.157 -0.212
1.28 -10.3 -18.6 -7.1 -0.92 0.18 0.51 37.427163 -122.173288 34.1 -2.8094 -1.9724 -0.1372 -2.766 1.223 -0.279
1.31 -10.6 -18.6 -8.0 -0.73 0.10 0.07 37.427163 -122.173288 34.1 -4.1125 -2.9000 -1.0529 -2.777 1.355 -0.372
1.35 -10.6 -18.6 -8.0 -0.63 0.10 -0.35 37.427163 -122.173288 34.1 -4.7500 -3.0742 -1.3817 -2.786 1.485 -0.446
1.38 -11.0 -17.8 -10.9 -0.71 0.24 -0.93 37.427163 -122.173288 34.1 -4.9681 -3.3634 -1.3742 0.172 1.516 2.789
1.41 -11.0 -17.8 -10.9 -0.76 0.50 -1.24 37.427163 -122.173288 34.1 -5.5754 -3.9451 -1.0847 0.142 1.364 2.716
1.44 -11.3 -16.2 -14.2 -0.76 0.50 -1.24 37.427163 -122.173288 34.1 -5.6302 -3.1223 -1.7428 0.063 1.092 2.611
1.47 -11.3 -16.2 -14.2 -0.59 0.64 -1.40 37.427163 -122.173288 34.1 -5.1900 -2.2937 -2.2610 0.068 0.940 2.521
1.50 -14.0 -10.1 -18.7 -0.38 0.87 -1.36 37.427163 -122.173288 34.1 -4.8495 -2.0586 -2.3316 0.073 0.798 2.436
1.53 -14.0 -10.1 -18.7 -0.37 1.12 -1.45 37.427163 -122.173288 34.1 -5.2513 -2.6474 -2.2445 0.056 0.654 2.364
1.57 -17.8 -4.6 -18.7 -0.36 1.31 -1.70 37.427163 -122.173288 34.1 -6.0064 -2.7983 -2.3275 0.013 0.494 2.295
1.60 -17.8 -4.6 -18.7 -0.32 1.45 -1.98 37.427163 -122.173288 34.1 -6.5011 -1.7816 -2.9130 -0.033 0.260 2.188
1.63 -22.7 1.0 -14.5 0.00 1.35 -1.98 37.427163 -122.173288 34.1 -5.8126 -0.5946 -3.7776 -0.046 0.092 2.086
1.66 -22.7 1.0 -14.5 0.40 1.25 -1.97 37.427163 -122.173288 34.1 -4.3294 -0.2721 -4.4556 -0.058 -0.081 1.918
1.69 -28.8 -0.8 -1.6 0.63 1.07 -1.97 37.427163 -122.173288 34.1 -3.9668 -0.5285 -4.2891 -0.101 -0.219 1.743
1.72 -28.8 -0.8 -1.6 0.89 0.85 -1.96 37.427163 -122.173288 34.1 -3.6203 -0.5603 -3.7002 -0.149 -0.310 1.616
1.75 -28.6 -12.1 6.7 1.08 0.45 -1.96 37.427163 -122.173288 34.1 -2.5754 -0.7741 -2.4574 -0.204 -0.380 1.512
1.78 -28.6 -12.1 6.7 0.79 0.47 -1.96 37.427163 -122.173288 34.1 -1.1285 -0.5350 -1.0283 -0.246 -0.416 1.453
1.81 -23.2 -30.1 12.8 0.59 0.49 -1.94 37.427163 -122.173288 34.1 -0.5103 -0.1863 -0.2193 -0.267 -0.436 1.428
1.85 -23.2 -30.1 12.8 0.46 0.48 -1.89 37.427163 -122.173288 34.1 -0.1745 -0.0490 -0.0072 -0.273 -0.444 1.423
1.88 -19.1 -36.9 15.2 0.56 0.48 -1.77 37.427163 -122.173288 34.1 0.2458 0.0697 -0.0361 -0.272 -0.442 1.423
1.91 -19.1 -36.9 15.2 0.63 0.50 -1.53 37.427163 -122.173288 34.1 0.8143 0.2504 0.1509 -0.266 -0.427 1.429
1.94 -17.6 -38.2 16.6 0.62 0.54 -1.30 37.427163 -122.173288 34.1 1.4282 0.6420 0.8336 -0.227 -0.378 1.469
1.97 -17.6 -38.2 16.6 0.51 0.64 -1.02 37.427163 -122.173288 34.1 1.4980 0.5806 1.1042 -0.197 -0.343 1.508
2.00 -20.4 -34.3 15.7 0.55 0.67 -0.86 37.427163 -122.173288 34.1 1.4506 0.7117 1.2966 -0.165 -0.308 1.552
2.03 -20.4 -34.3 15.7 0.65 0.71 -0.80 37.427163 -122.173288 34.1 1.3275 0.8280 1.5057 -0.129 -0.276 1.598
2.06 -27.0 -23.8 14.7 0.65 0.82 -0.72 37.427163 -122.173288 34.1 1.0574 0.4578 2.0694 -0.088 -0.239 1.673
2.10 -27.0 -23.8 14.7 0.68 0.91 -0.67 37.427163 -122.173288 34.1 0.8430 0.5747 2.4081 -0.059 -0.218 1.739
2.13 -31.6 -15.7 10.6 0.67 1.05 -0.61 37.427163 -122.173288 34.1 0.6005 0.5293 2.9265 -0.027 -0.201 1.817
2.16 -31.6 -15.7 10.6 0.69 1.17 -0.69 37.427163 -122.173288 34.1 0.1225 0.0573 3.4281 -0.002 -0.193 1.909
2.19 -35.9 -1.0 0.9 0.69 1.35 -0.71 37.427163 -122.173288 34.1 -0.0080 -0.6041 4.4499 0.016 -0.192 2.097
2.22 -35.9 -1.0 0.9 0.61 1.55 -0.77 37.427163 -122.173288 34.1 0.0930 -0.6268 5.1284 0.025 -0.186 2.234
2.25 -35.1 11.3 -4.7 0.43 1.79 -0.79 37.427163 -122.173288 34.1 0.2818 -0.7265 5.6862 0.033 -0.177 2.389
2.28 -35.1 11.3 -4.7 0.41 1.89 -0.80 37.427163 -122.173288 34.1 0.4422 -0.7992 5.9726 0.039 -0.160 2.554
2.31 -29.6 22.7 -8.7 0.28 2.00 -0.95 37.427163 -122.173288 34.1 0.4595 -0.7092 6.3658 0.045 -0.131 2.784
2.35 -29.6 22.7 -8.7 0.02 1.94 -1.08 37.427163 -122.173288 34.1 0.3062 -0.3747 6.5292 0.052 -0.113 2.966
2.38 -13.6 32.8 -14.0 0.10 1.76 -0.89 37.427163 -122.173288 34.1 0.6361 0.1477 6.1651 0.067 -0.090 -3.141
2.41 -13.6 32.8 -14.0 0.03 1.65 -0.55 37.427163 -122.173288 34.1 1.0387 0.6050 5.8340 0.091 -0.051 -2.978
2.44 -2.6 32.3 -16.9 -0.01 1.64 -0.26 37.427163 -122.173288 34.1 0.5852 1.2536 5.8306 0.134 0.021 -2.713
2.47 -2.6 32.3 -16.9 -0.31 1.53 -0.42 37.427163 -122.173288 34.1 -0.6036 1.5703 6.0514 0.172 0.046 -2.550
2.50 8.7 25.3 -16.2 -1.05 1.38 -1.07 37.427163 -122.173288 34.1 -1.9696 0.3997 6.3831 0.188 0.038 -2.371
2.53 8.7 25.3 -16.2 -1.56 1.12 -1.37 37.427163 -122.173288 34.1 -2.0739 -0.2126 5.9041 0.182 0.011 -2.191
2.56 12.4 20.8 -12.7 -1.68 0.85 -1.36 37.427163 -122.173288 34.1 -1.2428 0.6080 3.8765 0.187 -0.017 -2.003
2.60 12.4 20.8 -12.7 -1.49 0.68 -1.09 37.427163 -122.173288 34.1 -0.6853 0.9057 2.6127 0.214 -0.023 -1.912
2.63 14.8 16.7 -8.4 -0.89 0.41 -1.25 37.427163 -122.173288 34.1 -1.0430 0.7767 1.0681 0.239 -0.037 -1.862
2.66 14.8 16.7 -8.4 -0.09 0.31 -1.10 37.427163 -122.173288 34.1 -0.7091 0.6983 0.1423 0.257 -0.060 -1.839
2.69 15.4 15.8 -6.9 0.17 0.26 -1.06 37.427163 -122.173288 34.1 -0.9520 -0.0020 -0.1934 0.275 -0.099 -1.834
