iPhone Sensor Log from Crossbow started at Dec 4, 2011 11:07:33 PM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -11.1 8.4 -53.6 -0.07 -0.02 -0.93 0 0 0 0.1900 0.0252 -0.0023 -0.050 0.026 -0.059
0.06 -11.1 8.4 -53.6 -0.06 -0.01 -1.08 0 0 0 -0.1763 0.0286 -0.0580 -0.051 0.019 -0.061
0.10 -10.8 8.7 -52.5 0.01 -0.01 -1.13 0 0 0 0.0121 0.0621 -0.1216 -0.049 0.018 -0.064
0.13 -10.8 8.7 -52.5 0.05 -0.01 -1.11 0 0 0 0.1249 0.0426 -0.0853 -0.044 0.021 -0.066
0.16 -10.3 8.8 -52.2 0.10 -0.04 -1.28 0 0 0 -0.0463 -0.0231 -0.0683 -0.044 0.022 -0.068
0.19 -10.3 8.8 -52.2 0.05 -0.04 -1.30 0 0 0 -0.0183 -0.0813 0.0521 -0.047 0.019 -0.068
0.22 -9.2 8.3 -53.3 0.09 -0.07 -1.29 0 0 0 -0.0578 -0.2427 0.0134 -0.052 0.019 -0.067
0.25 -9.2 8.3 -53.3 0.02 -0.01 -1.37 0 0 0 -0.2601 -0.4744 0.0745 -0.063 0.015 -0.066
0.28 -8.2 7.4 -53.7 0.04 -0.03 -1.50 0 0 0 -0.2612 -0.3886 -0.0328 -0.076 0.006 -0.066
0.31 -8.2 7.4 -53.7 -0.02 -0.02 -1.31 0 0 0 0.2730 -0.2023 -0.0272 -0.087 0.007 -0.068
0.35 -6.8 5.1 -53.3 -0.06 0.02 -1.16 0 0 0 0.2570 -0.3600 -0.0586 -0.095 0.016 -0.068
0.38 -6.8 5.1 -53.3 -0.01 0.00 -1.20 0 0 0 0.0259 -0.5049 -0.1505 -0.108 0.020 -0.070
0.41 -6.1 3.6 -52.7 -0.06 -0.02 -1.23 0 0 0 -0.0115 -0.3142 -0.1926 -0.120 0.020 -0.076
0.44 -6.1 3.6 -52.7 -0.11 0.01 -1.12 0 0 0 0.3985 0.1208 -0.1670 -0.121 0.031 -0.081
0.47 -5.6 2.4 -50.8 -0.07 -0.02 -0.99 0 0 0 0.4613 0.2310 -0.1952 -0.114 0.045 -0.087
0.50 -5.6 2.4 -50.8 0.03 -0.12 -0.96 0 0 0 0.7635 0.7989 -0.2487 -0.098 0.062 -0.093
0.53 -4.6 0.9 -49.3 -0.02 -0.12 -0.90 0 0 0 0.5834 0.8610 -0.0981 -0.073 0.081 -0.097
0.57 -4.6 0.9 -49.3 0.00 -0.16 -0.99 0 0 0 0.4916 1.0276 0.0592 -0.038 0.102 -0.095
0.60 -2.7 -0.3 -48.6 -0.08 -0.08 -0.99 0 0 0 0.4012 0.5627 0.1484 -0.018 0.114 -0.091
0.63 -2.7 -0.3 -48.6 -0.04 -0.09 -0.91 0 0 0 0.3826 0.1305 0.1498 -0.014 0.123 -0.086
0.66 -1.0 -1.7 -47.4 0.04 -0.11 -0.82 0 0 0 0.3237 -0.4799 0.0862 -0.021 0.134 -0.082
0.69 -1.0 -1.7 -47.4 -0.06 -0.07 -0.84 0 0 0 -0.1342 -0.7599 0.2073 -0.058 0.135 -0.077
0.72 -1.3 -2.2 -47.0 -0.21 -0.03 -0.94 0 0 0 -0.0159 -0.2196 0.2438 -0.074 0.131 -0.070
0.75 -1.3 -2.2 -47.0 -0.22 -0.03 -0.95 0 0 0 -0.0153 -0.5217 0.0320 -0.094 0.124 -0.066
0.78 -1.5 -2.4 -46.8 -0.15 -0.08 -0.77 0 0 0 0.3879 -0.5561 -0.2229 -0.115 0.128 -0.068
0.81 -1.5 -2.4 -46.8 -0.08 -0.14 -0.66 0 0 0 0.4590 -0.3934 -0.3498 -0.131 0.148 -0.077
0.85 -1.6 -3.3 -45.8 -0.08 -0.14 -0.77 0 0 0 0.2561 0.0171 -0.2878 -0.134 0.160 -0.085
0.88 -1.6 -3.3 -45.8 -0.15 -0.10 -0.73 0 0 0 0.2034 0.2652 -0.0541 -0.129 0.166 -0.089
0.91 -2.0 -4.3 -45.3 -0.19 -0.10 -0.64 0 0 0 0.4674 0.5344 -0.0470 -0.117 0.176 -0.088
0.94 -2.0 -4.3 -45.3 -0.08 -0.20 -0.66 0 0 0 0.2492 0.1567 -0.2107 -0.103 0.192 -0.091
