iPhone Sensor Log from Crossbow started at Nov 18, 2011 15:10:27 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.04 -2.1 -25.8 -38.3 0.10 -0.10 -0.99 37.425956 -122.151788 13.3 0.1011 -0.2347 0.1210 0.103 0.094 0.019
0.07 -2.1 -25.8 -38.3 0.05 -0.10 -1.01 37.425956 -122.151788 13.3 0.0401 0.0335 0.1512 0.098 0.095 0.023
0.10 -2.4 -26.1 -37.8 0.05 -0.10 -1.01 37.425956 -122.151788 13.3 -0.0936 0.3032 0.0584 0.102 0.095 0.026
0.13 -2.4 -26.1 -37.8 0.09 -0.09 -1.00 37.425956 -122.151788 13.3 -0.4944 -0.3853 -0.1407 0.096 0.081 0.024
0.16 -1.9 -26.0 -38.4 0.04 -0.06 -1.03 37.425956 -122.151788 13.3 -0.6789 -0.2547 -0.2998 0.086 0.064 0.019
0.19 -1.9 -26.0 -38.4 0.06 -0.06 -1.03 37.425956 -122.151788 13.3 -0.6295 -0.5531 -0.0695 0.070 0.041 0.013
0.22 -1.9 -24.1 -40.0 -0.01 -0.04 -1.09 37.425956 -122.151788 13.3 -0.8364 -0.1069 -0.2953 0.062 0.020 0.010
0.25 -1.9 -24.1 -40.0 0.03 -0.03 -1.14 37.425953 -122.151788 13.4 -0.7509 0.1080 -0.6273 0.063 -0.002 -0.004
0.29 -2.1 -22.4 -40.7 -0.07 -0.07 -1.21 37.425953 -122.151788 13.4 -0.6167 -0.1228 -0.3796 0.062 -0.021 -0.016
0.32 -2.1 -22.4 -40.7 -0.02 -0.01 -1.49 37.425953 -122.151788 13.4 -0.9670 0.5884 -0.3424 0.067 -0.060 -0.030
0.35 -2.0 -19.4 -42.6 -0.05 -0.16 -1.57 37.425953 -122.151788 13.4 -0.6003 0.6816 0.2843 0.087 -0.078 -0.030
0.38 -2.0 -19.4 -42.6 -0.34 -0.15 -1.87 37.425953 -122.151788 13.4 -0.5927 -0.0398 0.5480 0.098 -0.098 -0.008
0.41 -1.7 -17.5 -43.9 -0.30 -0.15 -1.91 37.425953 -122.151788 13.4 0.0412 -0.2759 0.1616 0.091 -0.102 0.000
0.44 -1.7 -17.5 -43.9 -0.42 -0.02 -2.00 37.425953 -122.151788 13.4 -0.7225 0.3019 0.2930 0.094 -0.110 0.007
0.47 -1.6 -16.7 -43.5 -0.18 0.22 -1.86 37.425953 -122.151788 13.4 1.0822 -0.4336 -0.2040 0.085 -0.093 0.004
0.51 -1.6 -16.7 -43.5 0.15 0.33 -1.61 37.425953 -122.151788 13.4 1.2547 -0.5398 -0.3903 0.069 -0.064 -0.007
0.54 -2.2 -18.4 -42.7 0.10 0.31 -1.40 37.425953 -122.151788 13.4 1.4775 -0.1661 -0.0567 0.060 -0.028 -0.016
0.57 -2.2 -18.4 -42.7 0.23 0.31 -1.07 37.425953 -122.151788 13.4 2.1523 0.0150 -0.5710 0.061 0.038 -0.031
0.60 -2.4 -21.9 -41.2 0.41 0.39 -0.53 37.425953 -122.151788 13.4 2.6057 -1.0257 -0.6396 0.046 0.101 -0.053
0.63 -2.4 -21.9 -41.2 0.46 0.28 -0.33 37.425953 -122.151788 13.4 1.5096 0.0153 -0.1686 0.027 0.194 -0.080
0.66 -2.1 -28.9 -36.4 0.20 0.18 -0.16 37.425953 -122.151788 13.4 1.5130 0.1371 0.0970 0.030 0.233 -0.080
0.69 -2.1 -28.9 -36.4 0.31 0.04 0.01 37.425953 -122.151788 13.4 1.6283 -0.8906 -0.2726 0.021 0.274 -0.084
0.73 -3.4 -32.2 -33.6 0.21 -0.04 0.11 37.425953 -122.151788 13.4 1.3076 -0.6970 -0.2900 -0.009 0.328 -0.101
0.76 -3.4 -32.2 -33.6 0.03 -0.21 -0.09 37.425953 -122.151788 13.4 0.5030 -0.0106 0.1254 -0.015 0.351 -0.101
0.79 -4.1 -34.4 -31.2 -0.01 -0.24 -0.11 37.425953 -122.151788 13.4 0.3254 -0.2453 0.0940 -0.019 0.359 -0.098
0.82 -4.1 -34.4 -31.2 -0.01 -0.21 -0.02 37.425953 -122.151788 13.4 0.4784 -0.3627 -0.0189 -0.036 0.379 -0.100
