iPhone Sensor Log from Crossbow started at Dec 4, 2011 10:58:56 PM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -0.5 -3.4 -46.1 0.05 -0.10 -0.99 0 0 0 -0.1575 -0.1085 0.0521 0.038 0.110 0.110
0.06 -0.5 -3.4 -46.1 0.06 -0.07 -1.02 0 0 0 -0.1081 0.2750 0.0402 0.042 0.102 0.112
0.10 -0.4 -3.4 -45.9 0.12 -0.08 -0.97 0 0 0 -0.0902 0.0233 0.0441 0.048 0.098 0.113
0.13 -0.4 -3.4 -45.9 0.09 -0.09 -1.02 0 0 0 -0.2940 -0.2252 0.1198 0.047 0.091 0.115
0.16 -0.9 -3.5 -46.6 0.16 -0.10 -0.99 0 0 0 -0.4203 0.0187 0.1097 0.047 0.081 0.119
0.19 -0.9 -3.5 -46.6 0.21 -0.10 -1.03 0 0 0 -0.3845 0.0381 0.1757 0.061 0.070 0.125
0.22 -1.0 -2.9 -47.0 0.32 -0.07 -1.09 0 0 0 -0.5277 -0.1957 0.2201 0.061 0.057 0.131
0.25 -1.0 -2.9 -47.0 0.38 -0.07 -1.17 0 0 0 -0.6083 -0.1232 0.4308 0.055 0.041 0.142
0.28 -0.5 -1.7 -46.6 0.36 -0.06 -1.14 0 0 0 -0.6824 0.0208 0.5871 0.054 0.024 0.157
0.31 -0.5 -1.7 -46.6 0.29 0.02 -1.28 0 0 0 -0.7480 0.1960 0.8212 0.057 0.001 0.185
0.35 -0.4 0.9 -44.9 0.16 0.07 -1.54 0 0 0 -0.9192 0.2117 1.0153 0.064 -0.021 0.213
0.38 -0.4 0.9 -44.9 -0.01 0.09 -1.38 0 0 0 -0.6602 0.0979 1.2504 0.067 -0.043 0.247
0.41 -0.7 2.1 -44.2 -0.01 0.09 -1.38 0 0 0 -0.1132 0.1124 1.1911 0.072 -0.049 0.283
0.44 -0.7 2.1 -44.2 0.02 0.07 -1.38 0 0 0 -0.2731 -0.4690 1.0840 0.065 -0.054 0.333
0.47 -1.7 4.0 -45.0 -0.01 0.12 -1.37 0 0 0 0.0327 -0.0633 1.1408 0.059 -0.054 0.364
0.50 -1.7 4.0 -45.0 -0.10 0.18 -1.38 0 0 0 0.1824 0.1753 1.2236 0.064 -0.049 0.397
0.53 -2.9 5.1 -46.6 -0.17 0.20 -1.30 0 0 0 0.6122 -0.0941 0.9366 0.066 -0.035 0.426
0.57 -2.9 5.1 -46.6 -0.10 0.17 -1.07 0 0 0 0.8407 -0.1476 0.6971 0.059 -0.003 0.452
0.60 -1.2 4.8 -47.0 0.12 0.08 -0.99 0 0 0 0.5534 0.5717 1.0644 0.067 0.016 0.475
