iPhone Sensor Log from Crossbow started at Dec 4, 2011 10:59:29 PM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -11.3 2.0 -48.0 -0.03 -0.00 -1.05 0 0 0 -0.3727 -0.3499 0.1000 -0.104 0.018 0.092
0.06 -11.3 2.0 -48.0 0.07 0.03 -1.08 0 0 0 -0.1278 -0.2825 0.1420 -0.105 0.010 0.095
0.10 -12.0 2.4 -47.0 0.11 0.02 -1.00 0 0 0 -0.0810 -0.1591 0.2541 -0.093 0.005 0.101
0.13 -12.0 2.4 -47.0 0.09 0.03 -1.05 0 0 0 -0.3355 -0.0318 0.4054 -0.089 -0.008 0.116
0.16 -13.0 3.1 -47.7 0.14 0.03 -1.13 0 0 0 -0.1709 0.2045 0.4330 -0.086 -0.016 0.127
0.19 -13.0 3.1 -47.7 0.21 0.03 -1.13 0 0 0 -0.0611 0.0979 0.5311 -0.081 -0.020 0.140
0.22 -12.1 4.5 -47.7 0.25 0.04 -1.13 0 0 0 -0.1419 0.0974 0.5766 -0.079 -0.024 0.155
0.25 -12.1 4.5 -47.7 0.14 0.07 -1.11 0 0 0 -0.1676 0.3219 0.9053 -0.073 -0.031 0.184
0.28 -10.1 4.6 -47.2 0.20 0.04 -1.24 0 0 0 -0.1061 0.5252 0.8825 -0.058 -0.037 0.207
0.31 -10.1 4.6 -47.2 0.16 0.06 -1.14 0 0 0 0.0133 0.6848 0.9453 -0.039 -0.038 0.233
0.35 -7.0 5.2 -47.4 0.21 0.02 -1.22 0 0 0 -0.3076 0.4725 0.9594 -0.023 -0.043 0.260
0.38 -7.0 5.2 -47.4 0.03 0.15 -1.30 0 0 0 -0.3839 0.5011 1.5761 -0.008 -0.061 0.307
0.41 -5.9 5.8 -46.8 -0.14 0.18 -1.28 0 0 0 -0.0730 0.5727 1.8042 0.025 -0.066 0.371
0.44 -5.9 5.8 -46.8 -0.24 0.21 -1.32 0 0 0 -0.1735 -0.1025 1.6713 0.032 -0.069 0.419
0.47 -4.4 6.5 -45.3 -0.31 0.20 -1.26 0 0 0 0.0448 -0.0462 1.5776 0.032 -0.069 0.465
0.50 -4.4 6.5 -45.3 -0.39 0.21 -1.25 0 0 0 0.1466 -0.1255 1.5519 0.033 -0.064 0.508
0.53 -3.0 6.4 -46.0 -0.47 0.23 -1.21 0 0 0 0.4865 -0.1496 1.2704 0.031 -0.051 0.560
0.57 -3.0 6.4 -46.0 -0.41 0.20 -1.12 0 0 0 0.6954 -0.3108 0.9008 0.026 -0.032 0.589
0.60 -2.7 5.0 -46.9 -0.36 0.23 -0.99 0 0 0 0.7765 -0.4882 0.7567 0.013 -0.011 0.611
0.63 -2.7 5.0 -46.9 -0.42 0.21 -1.04 0 0 0 0.6100 -0.1589 0.5588 0.002 0.016 0.634
0.66 -3.3 4.4 -46.6 -0.42 0.19 -1.12 0 0 0 0.6883 -0.0846 0.2488 0.002 0.038 0.649
0.69 -3.3 4.4 -46.6 -0.45 0.19 -1.08 0 0 0 1.0109 -0.5804 -0.1306 -0.008 0.063 0.650
0.72 -3.2 2.3 -45.8 -0.35 0.10 -0.87 0 0 0 1.2293 -0.9004 -0.5881 -0.030 0.095 0.639
0.75 -3.2 2.3 -45.8 -0.42 -0.02 -0.77 0 0 0 1.0352 -0.4805 -0.7494 -0.049 0.129 0.621
