iPhone Sensor Log from Crossbow started at Dec 4, 2011 10:58:31 PM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.41 -13.2 -15.2 -38.5 0.06 -0.14 -0.83 0 0 0 -1.2054 -0.3207 -1.0273 -0.147 0.337 -0.047
1.44 -13.5 -13.8 -39.7 0.09 -0.18 -0.88 0 0 0 -1.1222 0.1061 -1.0070 -0.136 0.307 -0.082
1.47 -13.5 -13.8 -39.7 0.17 -0.16 -0.76 0 0 0 -0.7560 0.0012 -0.9470 -0.126 0.287 -0.112
1.50 -13.9 -13.0 -40.8 0.26 -0.18 -0.98 0 0 0 -1.0588 0.4039 -0.8167 -0.109 0.258 -0.150
1.53 -13.9 -13.0 -40.8 0.26 -0.16 -0.93 0 0 0 -0.7263 0.1282 -0.5960 -0.090 0.227 -0.180
1.56 -13.5 -10.5 -42.3 0.33 -0.12 -0.92 0 0 0 -0.6374 0.6887 -0.5717 -0.071 0.211 -0.199
1.60 -13.5 -10.5 -42.3 0.40 -0.11 -1.03 0 0 0 -0.7447 0.5806 -0.4812 -0.046 0.192 -0.215
1.63 -12.5 -9.7 -43.3 0.38 -0.08 -1.05 0 0 0 -0.7376 0.5151 -0.2911 -0.030 0.171 -0.227
1.66 -12.5 -9.7 -43.3 0.24 -0.08 -1.19 0 0 0 -0.8044 0.6547 0.1281 -0.007 0.144 -0.228
1.69 -9.8 -8.6 -45.4 0.30 -0.10 -1.15 0 0 0 -0.5933 0.5355 0.0499 0.008 0.125 -0.225
1.72 -9.8 -8.6 -45.4 0.30 -0.03 -1.17 0 0 0 -0.6054 0.6333 0.0673 0.024 0.109 -0.224
1.75 -8.3 -6.6 -46.0 0.21 -0.00 -1.23 0 0 0 -0.7851 0.7994 0.3637 0.049 0.083 -0.213
1.78 -8.3 -6.6 -46.0 0.30 -0.05 -1.31 0 0 0 -0.7211 0.3677 0.2740 0.072 0.056 -0.200
1.81 -5.9 -3.2 -46.3 0.11 -0.05 -1.28 0 0 0 -0.5472 0.1269 0.7091 0.076 0.040 -0.185
1.85 -5.9 -3.2 -46.3 -0.00 -0.03 -1.25 0 0 0 -0.4646 0.1908 0.8024 0.079 0.028 -0.161
1.88 -4.6 -2.2 -47.4 0.06 -0.07 -1.38 0 0 0 -0.6202 0.3411 0.5036 0.088 0.010 -0.135
1.91 -4.6 -2.2 -47.4 0.03 -0.01 -1.30 0 0 0 -0.4066 0.4202 0.5898 0.100 -0.003 -0.119
1.94 -3.4 -1.4 -47.2 -0.10 -0.01 -1.25 0 0 0 -0.2427 0.1602 0.8905 0.107 -0.008 -0.097
1.97 -3.4 -1.4 -47.2 -0.15 -0.05 -1.25 0 0 0 -0.1029 0.0919 0.8492 0.111 -0.009 -0.072
2.00 -1.7 0.4 -46.9 -0.08 -0.01 -1.22 0 0 0 -0.0394 -0.0738 0.5910 0.108 -0.010 -0.045
2.03 -1.7 0.4 -46.9 -0.11 -0.01 -1.07 0 0 0 0.2729 -0.0704 0.7174 0.106 -0.001 -0.022
2.06 -1.1 0.7 -48.0 -0.17 -0.04 -1.06 0 0 0 0.3421 -0.2729 0.6684 0.098 0.010 -0.004
2.10 -1.1 0.7 -48.0 -0.21 -0.04 -1.01 0 0 0 0.3960 -0.4992 0.7094 0.084 0.022 0.015
2.13 -1.0 -0.8 -47.7 -0.09 -0.03 -0.93 0 0 0 0.4144 -0.1520 0.4505 0.073 0.035 0.030
2.16 -1.0 -0.8 -47.7 -0.12 -0.04 -0.95 0 0 0 0.4087 -0.0350 0.4221 0.061 0.053 0.044
2.19 0.0 -2.4 -47.2 -0.22 -0.09 -0.94 0 0 0 0.3750 -0.0996 0.5713 0.046 0.065 0.059
2.22 0.0 -2.4 -47.2 -0.15 -0.09 -0.96 0 0 0 0.2552 0.1202 0.3333 0.026 0.076 0.072
