iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:35:42 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 4.3 16.0 -32.3 -0.10 -0.12 -1.10 37.428012 -122.174242 34.6 -0.3139 -0.2100 -0.1696 -0.119 0.104 -2.963
0.06 4.3 17.2 -31.7 -0.04 -0.08 -0.94 37.428012 -122.174242 34.6 0.1037 0.2679 -0.1948 -0.113 0.107 -2.972
0.10 4.3 17.2 -31.7 -0.07 -0.11 -0.88 37.428012 -122.174242 34.6 -0.2513 -0.1832 0.0104 -0.111 0.104 -2.973
0.13 4.5 17.9 -31.1 -0.05 -0.11 -0.90 37.428012 -122.174242 34.6 -0.4738 -0.8056 -0.1710 -0.125 0.095 -2.977
0.16 4.5 17.9 -31.1 -0.12 -0.08 -1.07 37.428012 -122.174242 34.6 -0.5321 -1.1558 -0.3034 -0.154 0.080 -2.986
0.19 2.6 18.4 -30.4 -0.12 -0.05 -1.14 37.428012 -122.174242 34.6 0.0179 -1.2964 -0.2117 -0.208 0.074 -3.000
0.22 2.6 18.4 -30.4 -0.19 -0.13 -0.98 37.428012 -122.174242 34.6 0.3936 -1.0705 -0.1753 -0.243 0.084 -3.003
0.25 0.4 18.4 -30.2 -0.29 -0.11 -1.00 37.428012 -122.174242 34.6 0.1555 -1.4279 -0.1747 -0.276 0.092 -3.005
0.28 0.4 18.4 -30.2 -0.19 -0.05 -0.85 37.428012 -122.174242 34.6 0.2318 -1.4608 -0.1408 -0.317 0.098 -3.009
0.32 -1.9 18.4 -30.6 -0.18 -0.22 -0.88 37.428012 -122.174242 34.6 -0.5155 -0.5697 1.1395 -0.349 0.084 -2.999
0.35 -1.9 18.4 -30.6 -0.39 0.01 -0.99 37.428012 -122.174242 34.6 -0.2594 -1.2010 2.0884 -0.373 0.055 -2.955
0.38 -2.9 18.6 -30.2 -0.42 -0.09 -0.90 37.428012 -122.174242 34.6 0.0209 -1.4703 1.6860 -0.415 0.035 -2.907
0.41 -2.9 18.6 -30.2 -0.39 0.13 -0.69 37.428012 -122.174242 34.6 -0.4618 -1.6896 1.8955 -0.463 0.009 -2.867
0.44 -4.1 19.7 -28.6 -0.51 -0.10 -0.84 37.428012 -122.174242 34.6 -0.1690 -2.3831 0.8150 -0.523 -0.031 -2.827
0.47 -4.1 19.7 -28.6 -0.56 0.08 -0.64 37.428012 -122.174242 34.6 -0.3559 -3.5735 0.5543 -0.660 -0.045 -2.813
0.50 -6.3 19.7 -27.1 -0.46 0.03 -0.91 37.428012 -122.174242 34.6 0.2076 -0.9686 0.5224 -0.716 -0.059 -2.805
0.53 -6.3 19.7 -27.1 -0.42 0.19 -0.86 37.428012 -122.174242 34.6 0.2043 -3.0001 0.7173 -0.773 -0.064 -2.781
0.56 -10.9 20.3 -26.0 -0.49 0.05 -0.63 37.428012 -122.174242 34.6 0.8429 -3.4058 1.4553 -0.897 -0.087 -2.732
0.60 -10.9 20.3 -26.0 -0.40 0.18 -0.30 37.428012 -122.174242 34.6 0.4498 -2.3267 1.8707 -0.971 -0.110 -2.692
0.63 -13.0 21.5 -24.8 -0.90 0.28 -0.63 37.428012 -122.174242 34.6 -0.2617 -1.9712 3.2383 -1.019 -0.173 -2.652
0.66 -13.0 21.5 -24.8 -1.08 0.28 -0.76 37.428012 -122.174242 34.6 0.0268 -3.4841 3.0943 -1.092 -0.253 -2.607
0.69 -13.3 22.3 -22.3 -1.28 0.43 -0.71 37.428012 -122.174242 34.6 0.4390 -1.9629 3.1576 -1.177 -0.390 -2.539
0.72 -13.3 22.3 -22.3 -1.24 0.44 -0.75 37.428012 -122.174242 34.6 1.0935 -1.4570 1.6682 -1.201 -0.439 -2.488
0.75 -12.4 24.9 -20.8 -1.15 0.42 -0.61 37.428012 -122.174242 34.6 1.6628 -1.3919 0.5115 -1.219 -0.450 -2.437
0.78 -12.4 24.9 -20.8 -1.16 0.40 -0.52 37.428012 -122.174242 34.6 1.8539 -1.1495 0.4022 -1.231 -0.442 -2.380
0.82 -13.0 24.4 -21.5 -1.28 0.42 -0.50 37.428012 -122.174242 34.6 1.8633 -1.1079 0.1259 -1.240 -0.432 -2.308
0.85 -13.0 24.4 -21.5 -1.27 0.40 -0.33 37.428012 -122.174242 34.6 2.0308 -1.4915 -0.3060 -1.255 -0.410 -2.250
0.88 -14.9 20.7 -22.6 -1.21 0.42 -0.35 37.428012 -122.174242 34.6 1.9042 -1.1141 -0.4850 -1.271 -0.382 -2.198
0.91 -14.9 20.7 -22.6 -1.16 0.43 -0.31 37.428012 -122.174242 34.6 2.0369 -1.0368 -0.5381 -1.281 -0.353 -2.146
0.94 -16.6 18.4 -23.6 -1.10 0.24 -0.27 37.428012 -122.174242 34.6 2.2121 -1.4463 -0.6469 -1.304 -0.309 -2.072
0.97 -16.6 18.4 -23.6 -1.20 0.35 -0.19 37.428012 -122.174242 34.6 2.0546 -2.6572 0.1165 -1.360 -0.278 -1.995
1.00 -21.4 14.6 -22.8 -1.45 0.78 -0.06 37.428012 -122.174242 34.6 1.8637 -3.2600 0.2267 -1.429 -0.277 -1.938
1.03 -21.4 14.6 -22.8 -1.28 0.56 0.04 37.428012 -122.174242 34.6 1.8257 -3.0584 -1.0566 -1.505 -0.259 -1.886
1.06 -25.4 10.5 -20.3 -1.10 0.52 0.12 37.428012 -122.174242 34.6 1.6867 -2.1633 -1.5868 -1.566 -0.217 -1.837
1.10 -25.4 10.5 -20.3 -0.94 0.46 0.11 37.428012 -122.174242 34.6 1.0693 -1.2939 -1.7071 -1.613 -0.156 -1.786
1.13 -29.9 5.0 -16.4 -0.82 0.35 0.25 37.428012 -122.174242 34.6 0.9689 -1.9166 -1.8450 -1.655 -0.110 -1.754
1.16 -29.9 5.0 -16.4 -0.80 0.27 0.17 37.428012 -122.174242 34.6 0.5651 -2.1749 -1.8957 -1.712 -0.061 -1.727
1.19 -31.7 1.9 -13.8 -0.82 0.18 0.25 37.428012 -122.174242 34.6 0.1016 -1.9868 -1.5506 -1.789 0.001 -1.707
1.22 -31.7 1.9 -13.8 -0.84 0.14 0.24 37.428012 -122.174242 34.6 0.0572 -1.5666 -1.1487 -1.856 0.047 -1.691
1.25 -32.6 -2.8 -8.7 -0.88 0.07 0.32 37.428012 -122.174242 34.6 0.0621 -1.6739 -0.9740 -1.900 0.074 -1.681
1.28 -32.6 -2.8 -8.7 -0.85 0.05 0.39 37.428012 -122.174242 34.6 0.1211 -1.5731 -0.8893 -1.949 0.096 -1.669
1.31 -32.3 -5.3 -4.8 -0.85 -0.01 0.34 37.428012 -122.174242 34.6 -0.2497 -1.1090 -0.8927 -1.985 0.119 -1.662
1.35 -32.3 -5.3 -4.8 -0.80 -0.06 0.33 37.428012 -122.174242 34.6 -0.3359 -1.4283 -0.8620 -2.033 0.154 -1.659
1.38 -31.9 -6.9 -1.5 -0.80 -0.13 0.44 37.428012 -122.174242 34.6 -0.2981 -1.7492 -0.9440 -2.078 0.180 -1.655
1.41 -31.9 -6.9 -1.5 -0.83 -0.15 0.58 37.428012 -122.174242 34.6 -0.0767 -1.8288 -0.9012 -2.133 0.204 -1.646
1.44 -30.8 -9.7 2.6 -0.79 -0.18 0.66 37.428012 -122.174242 34.6 -0.2899 -1.2789 -1.0585 -2.188 0.237 -1.630
1.47 -30.8 -9.7 2.6 -0.72 -0.24 0.48 37.428012 -122.174242 34.6 -0.5804 -0.9681 -1.0524 -2.242 0.278 -1.619
1.50 -29.7 -11.5 4.1 -0.67 -0.27 0.48 37.428012 -122.174242 34.6 -0.5633 -0.5275 -1.0323 -2.261 0.311 -1.613
1.53 -29.7 -11.5 4.1 -0.65 -0.29 0.64 37.428012 -122.174242 34.6 -0.2414 -0.7807 -0.9151 -2.282 0.338 -1.603
1.56 -27.7 -13.8 6.1 -0.60 -0.30 0.62 37.428012 -122.174242 34.6 -0.1130 -0.8585 -0.7980 -2.312 0.358 -1.589
1.60 -27.7 -13.8 6.1 -0.65 -0.34 0.56 37.428012 -122.174242 34.6 -0.3942 -1.2650 -0.6482 -2.358 0.385 -1.577
1.63 -27.0 -15.3 7.1 -0.55 -0.35 0.59 37.428012 -122.174242 34.6 -0.3249 -0.9135 -0.5531 -2.390 0.403 -1.573
1.66 -27.0 -15.3 7.1 -0.55 -0.37 0.65 37.428012 -122.174242 34.6 -0.2244 -0.9211 -0.5709 -2.417 0.419 -1.565
1.69 -24.7 -17.1 8.5 -0.59 -0.37 0.64 37.428012 -122.174242 34.6 -0.2447 -0.8818 -0.4655 -2.447 0.433 -1.558
1.72 -24.7 -17.1 8.5 -0.55 -0.39 0.59 37.428012 -122.174242 34.6 -0.3503 -0.8050 -0.5177 -2.487 0.457 -1.549
1.75 -22.5 -18.3 9.5 -0.55 -0.39 0.59 37.428012 -122.174242 34.6 -0.1127 -0.9239 -0.5455 -2.516 0.471 -1.540
1.78 -22.5 -18.3 9.5 -0.46 -0.43 0.70 37.428012 -122.174242 34.6 -0.1134 -0.9931 -0.4874 -2.549 0.480 -1.527
1.82 -20.6 -19.7 9.9 -0.48 -0.45 0.76 37.428012 -122.174242 34.6 -0.1273 -0.8129 -0.4249 -2.580 0.489 -1.517
1.85 -20.6 -19.7 9.9 -0.43 -0.45 0.82 37.428012 -122.174242 34.6 -0.1634 -0.6210 -0.3818 -2.612 0.501 -1.505
1.88 -19.0 -20.4 10.2 -0.43 -0.45 0.94 37.428012 -122.174242 34.6 -0.3979 -0.3110 -0.3288 -2.629 0.512 -1.500
1.91 -19.0 -20.4 10.2 -0.43 -0.47 0.84 37.428012 -122.174242 34.6 -0.7919 -0.2731 -0.3320 -2.636 0.530 -1.500
1.94 -17.9 -21.1 10.0 -0.45 -0.46 0.75 37.428012 -122.174242 34.6 -0.8715 -0.2081 -0.3841 -2.641 0.561 -1.506
1.97 -17.9 -21.1 10.0 -0.46 -0.48 0.74 37.428012 -122.174242 34.6 -0.8654 -0.3918 -0.3878 -2.651 0.594 -1.509
2.00 -16.6 -21.9 8.1 -0.49 -0.51 0.64 37.428012 -122.174242 34.6 -0.8170 -0.3224 -0.5850 -2.662 0.622 -1.508
2.03 -16.6 -21.9 8.1 -0.29 -0.56 0.68 37.428012 -122.174242 34.6 -0.5592 -0.1823 -0.7271 -2.677 0.647 -1.497
2.06 -15.9 -23.0 6.7 -0.23 -0.56 0.72 37.428012 -122.174242 34.6 -0.5522 -0.3050 -0.4395 -2.689 0.668 -1.487
2.10 -15.9 -23.0 6.7 -0.37 -0.60 0.74 37.428012 -122.174242 34.6 -0.7186 -0.5005 -0.1480 -2.704 0.687 -1.491
2.13 -15.4 -23.7 4.6 -0.28 -0.63 0.65 37.428012 -122.174242 34.6 -0.8809 -0.0755 -0.2157 -2.708 0.710 -1.497
2.16 -15.4 -23.7 4.6 -0.32 -0.66 0.57 37.428012 -122.174242 34.6 -0.8366 -0.3521 -0.1515 -2.709 0.734 -1.505
2.19 -14.4 -23.7 3.1 -0.34 -0.66 0.57 37.428012 -122.174242 34.6 -0.6902 -0.6818 -0.2321 -2.721 0.755 -1.510
2.22 -14.4 -23.7 3.1 -0.32 -0.67 0.58 37.428012 -122.174242 34.6 -0.4843 -0.7473 -0.3682 -2.752 0.784 -1.507
2.25 -13.0 -23.9 1.4 -0.23 -0.68 0.62 37.428012 -122.174242 34.6 -0.4955 -0.9539 -0.4054 -2.784 0.801 -1.499
2.28 -13.0 -23.9 1.4 -0.26 -0.69 0.64 37.428012 -122.174242 34.6 -0.4878 -0.7270 -0.2831 -2.811 0.817 -1.493
2.32 -11.6 -23.9 0.7 -0.21 -0.71 0.64 37.428012 -122.174242 34.6 -0.5617 -0.5735 -0.3250 -2.832 0.833 -1.489
2.35 -11.6 -23.9 0.7 -0.22 -0.73 0.65 37.428012 -122.174242 34.6 -0.6644 -0.4691 -0.2322 -2.851 0.856 -1.487
2.38 -9.8 -23.4 -0.0 -0.21 -0.77 0.61 37.428012 -122.174242 34.6 -0.7246 -0.3048 -0.2429 -2.860 0.876 -1.488
2.41 -9.8 -23.4 -0.0 -0.23 -0.77 0.59 37.428012 -122.174242 34.6 -0.7548 -0.0997 -0.2898 -2.863 0.898 -1.488
2.44 -9.7 -22.9 -1.4 -0.19 -0.78 0.61 37.428012 -122.174242 34.6 -0.6988 -0.1770 -0.3336 -2.868 0.918 -1.486
2.47 -9.7 -22.9 -1.4 -0.18 -0.79 0.55 37.428012 -122.174242 34.6 -0.7829 0.0110 -0.4093 -2.880 0.955 -1.476
2.50 -10.0 -22.2 -3.8 -0.13 -0.77 0.53 37.428012 -122.174242 34.6 -0.8011 -0.0381 -0.4595 -2.890 0.979 -1.464
2.53 -10.0 -22.2 -3.8 -0.08 -0.80 0.47 37.428012 -122.174242 34.6 -0.8346 -0.0801 -0.4196 -2.903 1.004 -1.452
2.56 -9.7 -21.5 -4.8 -0.11 -0.81 0.51 37.428012 -122.174242 34.6 -0.7662 -0.1738 -0.3157 -2.914 1.028 -1.443
2.60 -9.7 -21.5 -4.8 -0.09 -0.83 0.45 37.428012 -122.174242 34.6 -0.8301 -0.0322 -0.3131 -2.926 1.058 -1.434
2.63 -8.9 -21.3 -5.6 -0.08 -0.85 0.45 37.428012 -122.174242 34.6 -0.9150 -0.0615 -0.3178 -2.933 1.084 -1.428
2.66 -8.9 -21.3 -5.6 -0.08 -0.86 0.40 37.428012 -122.174242 34.6 -0.8691 -0.0851 -0.3945 -2.946 1.110 -1.416
2.69 -8.2 -20.2 -6.6 -0.12 -0.85 0.42 37.428012 -122.174242 34.6 -0.8843 -0.1449 -0.4049 -2.962 1.136 -1.402
2.72 -8.2 -20.2 -6.6 -0.07 -0.87 0.30 37.428012 -122.174242 34.6 -1.0664 0.3156 -0.6793 -2.999 1.183 -1.360
2.75 -8.0 -19.3 -7.4 -0.03 -0.90 0.31 37.428012 -122.174242 34.6 -0.9664 0.4821 -0.7570 -3.034 1.214 -1.311
2.78 -8.0 -19.3 -7.4 -0.11 -0.90 0.35 37.428012 -122.174242 34.6 -0.8673 0.3206 -0.5626 -3.063 1.240 -1.268
2.81 -8.0 -18.4 -8.7 -0.01 -0.91 0.27 37.428012 -122.174242 34.6 -0.8879 0.4803 -0.8061 -3.107 1.264 -1.213
2.85 -8.0 -18.4 -8.7 0.05 -0.92 0.23 37.428012 -122.174242 34.6 -0.9499 0.1957 -0.8272 3.082 1.299 -1.097
2.88 -8.0 -17.5 -10.3 0.07 -0.94 0.20 37.428012 -122.174242 34.6 -0.8068 -0.1267 -0.7422 2.990 1.321 -1.004
2.91 -8.0 -17.5 -10.3 0.05 -0.94 0.22 37.428012 -122.174242 34.6 -0.7770 -0.4176 -0.5699 2.892 1.339 -0.912
2.94 -7.3 -17.1 -11.3 0.08 -0.94 0.23 37.428012 -122.174242 34.6 -0.7256 -0.4208 -0.5290 2.793 1.354 -0.822
2.97 -7.3 -17.1 -11.3 0.14 -0.92 0.14 37.428012 -122.174242 34.6 -0.9259 0.0541 -0.4854 2.606 1.377 -0.640
3.00 -7.2 -17.3 -11.5 0.13 -0.89 0.11 37.428012 -122.174242 34.6 -1.0083 -0.2245 -0.3938 2.470 1.393 -0.502
3.03 -7.2 -17.3 -11.5 0.11 -0.88 0.14 37.428012 -122.174242 34.6 -0.9529 -0.3709 -0.2824 2.314 1.406 -0.355
3.06 -7.6 -16.1 -11.7 0.18 -0.89 0.03 37.428012 -122.174242 34.6 -1.0466 -0.1340 -0.3548 2.140 1.417 -0.185
3.10 -7.6 -16.1 -11.7 0.18 -0.89 0.03 37.428012 -122.174242 34.6 -1.1790 -0.1063 -0.3372 1.844 1.421 0.112
3.13 -7.6 -14.8 -11.9 0.17 -0.92 -0.07 37.428012 -122.174242 34.6 -1.0151 -0.3093 -0.3177 1.628 1.418 0.323
3.16 -7.6 -14.8 -11.9 0.21 -0.90 0.02 37.428012 -122.174242 34.6 -0.7730 -0.2922 -0.4303 1.475 1.407 0.469
3.19 -7.9 -14.8 -12.6 0.23 -0.91 -0.05 37.428012 -122.174242 34.6 -0.9718 -0.3829 -0.2800 1.338 1.393 0.598
3.22 -7.9 -14.8 -12.6 0.24 -0.88 -0.13 37.428012 -122.174242 34.6 -0.6899 -1.0076 -0.1497 1.126 1.370 0.778
3.25 -8.3 -14.8 -13.5 0.22 -0.87 -0.08 37.428012 -122.174242 34.6 -0.6278 -0.9844 -0.0237 1.029 1.360 0.849
3.28 -8.3 -14.8 -13.5 0.19 -0.88 -0.10 37.428012 -122.174242 34.6 -0.6585 -0.8031 0.0604 0.934 1.351 0.920
3.31 -8.8 -14.6 -13.7 0.19 -0.88 -0.09 37.428012 -122.174242 34.6 -0.6765 -0.6851 -0.0148 0.849 1.340 0.986
3.35 -8.8 -14.6 -13.7 0.17 -0.87 -0.17 37.428012 -122.174242 34.6 -0.7938 -0.5546 0.0178 0.745 1.321 1.070
3.38 -10.2 -14.8 -13.0 0.18 -0.87 -0.18 37.428012 -122.174242 34.6 -0.6089 -0.5032 -0.0494 0.685 1.306 1.117
3.41 -10.2 -14.8 -13.0 0.17 -0.86 -0.15 37.428012 -122.174242 34.6 -0.6445 -0.7625 -0.0203 0.634 1.293 1.151
3.44 -10.8 -15.4 -13.8 0.13 -0.87 -0.19 37.428012 -122.174242 34.6 -0.7379 -0.8526 0.0005 0.571 1.277 1.192
3.47 -10.8 -15.4 -13.8 0.12 -0.83 -0.18 37.428012 -122.174242 34.6 -0.9973 -0.5035 -0.0344 0.483 1.243 1.247
