iPhone Sensor Log from Crossbow started at Dec 4, 2011 11:01:44 PM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -5.4 7.9 -48.3 -0.06 -0.03 -0.95 (null) (null) (null) -0.1189 0.0039 -0.0194 -0.067 0.014 -0.577
0.06 -6.0 7.7 -48.4 -0.02 0.00 -1.00 (null) (null) (null) -0.1536 -0.0536 -0.0683 -0.065 0.010 -0.578
0.10 -6.0 7.7 -48.4 0.05 0.02 -1.11 (null) (null) (null) -0.0739 0.1570 -0.0431 -0.062 0.007 -0.580
0.13 -6.1 7.9 -48.2 0.20 0.02 -0.99 (null) (null) (null) 0.0065 0.0836 0.0391 -0.037 0.009 -0.581
0.16 -6.1 7.9 -48.2 0.17 -0.01 -1.04 (null) (null) (null) -0.2536 -0.1472 0.2790 -0.031 0.005 -0.576
0.19 -6.0 8.1 -48.2 0.14 -0.03 -1.03 (null) (null) (null) -0.1873 -0.0702 0.3543 -0.025 -0.000 -0.567
0.22 -6.0 8.1 -48.2 0.16 -0.01 -0.98 (null) (null) (null) -0.1231 0.1081 0.3905 -0.018 -0.003 -0.557
0.25 -5.2 7.9 -48.1 0.14 -0.00 -1.01 (null) (null) (null) -0.2968 0.0019 0.5157 -0.003 -0.010 -0.541
0.28 -5.2 7.9 -48.1 0.07 0.02 -1.16 (null) (null) (null) -0.4911 -0.2679 0.5963 -0.008 -0.022 -0.524
0.31 -3.8 7.1 -47.6 0.03 0.05 -1.06 (null) (null) (null) -0.2183 -0.2171 0.5724 -0.015 -0.032 -0.508
0.35 -3.8 7.1 -47.6 0.13 0.02 -0.99 (null) (null) (null) -0.1023 0.0976 0.5178 -0.009 -0.036 -0.489
0.38 -4.7 6.7 -47.4 0.02 0.05 -1.05 (null) (null) (null) -0.2950 -0.0122 0.7439 -0.005 -0.043 -0.464
0.41 -4.7 6.7 -47.4 0.04 0.04 -1.07 (null) (null) (null) -0.1848 0.0351 0.6993 -0.004 -0.050 -0.444
0.44 -4.5 6.2 -48.8 0.07 0.05 -1.03 (null) (null) (null) -0.0348 0.2284 0.7716 0.002 -0.052 -0.424
0.47 -4.5 6.2 -48.8 0.02 0.06 -1.07 (null) (null) (null) -0.1109 0.1587 0.9136 0.008 -0.054 -0.400
0.50 -2.7 5.8 -49.9 -0.04 0.10 -1.09 (null) (null) (null) -0.1363 0.0094 0.9732 0.013 -0.058 -0.365
0.53 -2.7 5.8 -49.9 -0.06 0.11 -1.17 (null) (null) (null) -0.1144 -0.0143 1.0130 0.014 -0.061 -0.337
0.56 -0.7 6.1 -48.8 -0.16 0.13 -1.19 (null) (null) (null) 0.0709 0.0384 1.0970 0.016 -0.061 -0.307
0.60 -0.7 6.1 -48.8 -0.17 0.15 -1.22 (null) (null) (null) 0.1132 0.0099 1.0216 0.018 -0.058 -0.278
0.63 -0.1 5.9 -45.9 -0.21 0.19 -1.22 (null) (null) (null) 0.3571 0.0880 0.9507 0.022 -0.045 -0.233
0.66 -0.1 5.9 -45.9 -0.18 0.20 -1.22 (null) (null) (null) 0.4028 0.1431 0.7824 0.027 -0.033 -0.209
0.69 -1.5 4.3 -44.6 -0.09 0.17 -1.20 (null) (null) (null) 0.3880 0.0271 0.6558 0.028 -0.022 -0.189
0.72 -1.5 4.3 -44.6 -0.14 0.12 -1.17 (null) (null) (null) 0.4645 0.0765 0.6700 0.030 -0.009 -0.172
0.75 -1.9 2.4 -46.1 -0.19 0.07 -1.01 (null) (null) (null) 0.7435 0.5763 0.6854 0.042 0.014 -0.147
0.78 -1.9 2.4 -46.1 -0.22 0.06 -1.07 (null) (null) (null) 0.6141 0.5419 0.6578 0.058 0.035 -0.130
0.81 -0.8 1.4 -47.2 -0.20 0.05 -1.07 (null) (null) (null) 0.5556 0.1404 0.5533 0.066 0.051 -0.114
0.85 -0.8 1.4 -47.2 -0.14 0.04 -1.04 (null) (null) (null) 0.5825 -0.2057 0.4066 0.061 0.068 -0.102
0.88 0.2 -0.3 -47.5 -0.12 0.00 -1.11 (null) (null) (null) 0.5372 -0.1607 0.3523 0.048 0.095 -0.086
0.91 0.2 -0.3 -47.5 -0.21 0.03 -1.02 (null) (null) (null) 0.6782 -0.1585 0.3921 0.041 0.111 -0.076
0.94 0.3 -1.2 -48.5 -0.20 -0.06 -1.08 (null) (null) (null) 0.6570 -0.4226 0.2244 0.030 0.130 -0.067
0.97 0.3 -1.2 -48.5 -0.22 -0.10 -1.02 (null) (null) (null) 0.6897 -0.5514 0.0692 0.013 0.148 -0.065
1.00 -0.2 -3.3 -48.2 -0.34 -0.14 -0.76 (null) (null) (null) 1.1093 -0.0461 -0.0161 0.005 0.184 -0.065
1.03 -0.2 -3.3 -48.2 -0.35 -0.18 -0.69 (null) (null) (null) 0.9341 -0.0916 -0.1517 0.004 0.213 -0.067
1.07 -1.0 -5.6 -47.3 -0.36 -0.18 -0.70 (null) (null) (null) 0.5431 -0.3045 -0.3803 0.000 0.233 -0.076
1.10 -1.0 -5.6 -47.3 -0.33 -0.20 -0.64 (null) (null) (null) 0.4009 -0.3748 -0.5145 -0.009 0.245 -0.088
1.13 -1.3 -7.3 -46.0 -0.35 -0.17 -0.54 (null) (null) (null) 0.0422 -0.1806 -0.7959 -0.011 0.258 -0.120
1.16 -1.3 -7.3 -46.0 -0.24 -0.21 -0.85 (null) (null) (null) -0.5328 -0.2909 -0.9425 -0.011 0.250 -0.146
1.19 -2.3 -8.1 -45.0 -0.31 -0.12 -0.72 (null) (null) (null) -0.3861 -0.0535 -0.8981 -0.010 0.237 -0.172
1.22 -2.3 -8.1 -45.0 -0.34 -0.05 -0.57 (null) (null) (null) 0.2053 0.1751 -0.7510 -0.006 0.236 -0.194
1.25 -2.8 -7.5 -45.7 -0.04 -0.19 -0.95 (null) (null) (null) -0.2835 -0.1390 -1.1675 0.008 0.237 -0.231
1.28 -2.8 -7.5 -45.7 -0.12 -0.09 -0.82 (null) (null) (null) -0.3518 -0.6730 -1.1391 0.004 0.225 -0.266
1.32 -3.0 -6.4 -45.9 -0.27 -0.01 -0.58 (null) (null) (null) 0.1810 -0.7585 -0.7321 -0.014 0.224 -0.291
1.35 -3.0 -6.4 -45.9 -0.27 -0.01 -0.58 (null) (null) (null) 0.0200 0.0459 -1.0158 -0.017 0.230 -0.315
1.38 -3.8 -6.2 -44.7 -0.03 -0.15 -0.97 (null) (null) (null) 0.2259 -0.6762 -1.2007 -0.013 0.227 -0.374
