iPhone Sensor Log from Crossbow started at Dec 4, 2011 11:01:23 PM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -16.0 13.5 -66.6 0.02 -0.02 -1.11 (null) (null) (null) -0.0699 -0.0887 0.1169 -0.074 0.048 -0.533
0.06 -16.0 13.2 -64.7 0.03 -0.01 -1.02 (null) (null) (null) 0.0307 -0.0235 0.1814 -0.068 0.046 -0.529
0.10 -16.0 13.2 -64.7 0.00 -0.03 -1.05 (null) (null) (null) -0.1913 -0.2232 0.2148 -0.069 0.042 -0.524
0.13 -15.0 13.1 -63.4 -0.03 -0.04 -0.99 (null) (null) (null) -0.0358 -0.0419 0.2199 -0.073 0.037 -0.516
0.16 -15.0 13.1 -63.4 -0.06 -0.05 -0.92 (null) (null) (null) -0.0874 -0.0589 0.1947 -0.073 0.036 -0.510
0.19 -11.4 12.8 -63.2 -0.04 -0.02 -0.95 (null) (null) (null) -0.2148 -0.1350 0.2022 -0.076 0.031 -0.505
0.22 -11.4 12.8 -63.2 0.03 0.00 -1.01 (null) (null) (null) -0.2659 -0.1832 0.1388 -0.077 0.023 -0.501
0.25 -9.3 12.5 -62.5 0.14 0.00 -0.96 (null) (null) (null) -0.1061 -0.0723 0.0903 -0.069 0.015 -0.497
0.28 -9.3 12.5 -62.5 0.20 0.00 -1.00 (null) (null) (null) -0.2871 -0.1236 0.2260 -0.062 0.008 -0.493
0.31 -6.6 11.8 -59.8 0.17 0.01 -1.15 (null) (null) (null) -0.4096 -0.1411 0.3028 -0.063 -0.003 -0.485
0.35 -6.6 11.8 -59.8 0.12 0.05 -1.25 (null) (null) (null) -0.2935 -0.0065 0.4426 -0.065 -0.013 -0.476
0.38 -4.7 10.1 -57.0 0.18 -0.01 -1.34 (null) (null) (null) -0.1990 0.1613 0.4249 -0.061 -0.024 -0.460
0.41 -4.7 10.1 -57.0 0.08 0.02 -1.27 (null) (null) (null) -0.0269 0.1686 0.6207 -0.056 -0.027 -0.444
