iPhone Sensor Log from Crossbow started at Dec 4, 2011 11:00:08 PM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -11.6 -0.1 -54.1 -0.05 -0.16 -1.00 0 0 0 0.0750 -0.0807 -0.0450 -0.059 0.156 0.198
0.06 -11.4 -0.9 -52.6 -0.08 -0.15 -0.96 0 0 0 0.0474 -0.2074 -0.0035 -0.065 0.157 0.197
0.10 -11.4 -0.9 -52.6 -0.09 -0.17 -0.89 0 0 0 0.1019 -0.2297 -0.0225 -0.078 0.164 0.198
0.13 -11.9 -1.6 -51.2 -0.06 -0.18 -0.87 0 0 0 -0.0357 -0.1495 -0.0628 -0.083 0.165 0.196
0.16 -11.9 -1.6 -51.2 -0.06 -0.17 -0.89 0 0 0 -0.2285 -0.1675 -0.0197 -0.087 0.162 0.195
0.19 -12.9 -1.8 -50.9 -0.08 -0.14 -0.85 0 0 0 -0.2199 -0.0492 0.0348 -0.090 0.156 0.195
0.22 -12.9 -1.8 -50.9 -0.05 -0.12 -0.82 0 0 0 -0.3398 -0.2088 0.0116 -0.094 0.146 0.195
0.25 -12.6 -0.4 -51.2 -0.03 -0.08 -0.94 0 0 0 -0.5748 -0.3525 0.0409 -0.103 0.132 0.194
0.28 -12.6 -0.4 -51.2 0.06 -0.03 -0.97 0 0 0 -0.6691 -0.2028 0.0207 -0.110 0.113 0.193
0.31 -14.3 4.6 -51.7 0.17 -0.04 -1.07 0 0 0 -0.7125 -0.1470 0.0011 -0.111 0.088 0.190
0.35 -14.3 4.6 -51.7 0.20 -0.02 -1.10 0 0 0 -0.6973 -0.2517 0.2022 -0.118 0.061 0.191
0.38 -15.9 9.9 -52.2 0.24 -0.03 -1.02 0 0 0 -0.5885 -0.2031 0.3665 -0.125 0.043 0.197
0.41 -15.9 9.9 -52.2 0.20 0.01 -1.09 0 0 0 -0.5317 -0.0415 0.5264 -0.126 0.027 0.208
0.44 -15.0 15.7 -52.6 0.14 0.00 -1.23 0 0 0 -0.6392 -0.0838 0.7210 -0.128 0.008 0.224
0.47 -15.0 15.7 -52.6 0.10 -0.01 -1.24 0 0 0 -0.5792 -0.0486 0.9189 -0.130 -0.019 0.252
0.50 -7.2 19.2 -50.2 0.08 0.04 -1.37 0 0 0 -0.4325 0.1148 0.9686 -0.129 -0.036 0.276
0.53 -7.2 19.2 -50.2 -0.01 0.09 -1.42 0 0 0 -0.2910 0.3773 1.1436 -0.120 -0.049 0.304
0.56 -3.2 15.1 -47.7 -0.03 0.08 -1.42 0 0 0 -0.0575 0.3670 1.2449 -0.105 -0.060 0.349
0.60 -3.2 15.1 -47.7 -0.07 0.10 -1.39 0 0 0 0.2840 0.3361 1.3884 -0.090 -0.059 0.399
0.63 -3.5 8.9 -46.7 -0.12 0.13 -1.32 0 0 0 0.3273 0.3281 1.4173 -0.078 -0.053 0.438
0.66 -3.5 8.9 -46.7 -0.25 0.13 -1.33 0 0 0 0.4186 0.3336 1.5639 -0.067 -0.045 0.481
0.69 -2.8 8.2 -45.6 -0.30 0.14 -1.30 0 0 0 0.4876 0.4320 1.6126 -0.055 -0.035 0.526
0.72 -2.8 8.2 -45.6 -0.30 0.14 -1.30 0 0 0 0.6609 0.5619 1.3311 -0.034 -0.015 0.582
0.75 -1.7 7.0 -43.2 -0.27 0.19 -1.21 0 0 0 0.7247 0.2555 1.2539 -0.024 0.004 0.619
0.78 -1.7 7.0 -43.2 -0.22 0.12 -1.22 0 0 0 0.8064 0.2893 1.0449 -0.016 0.025 0.650
0.81 -2.8 4.4 -44.3 -0.29 0.15 -1.07 0 0 0 1.1935 0.1618 0.9490 -0.011 0.063 0.689
0.85 -2.8 4.4 -44.3 -0.33 0.12 -0.96 0 0 0 1.0785 -0.4851 0.5699 -0.022 0.105 0.717
0.88 -2.6 -1.1 -46.7 -0.22 0.03 -0.91 0 0 0 1.1668 -0.5060 0.4921 -0.039 0.136 0.732
0.91 -2.6 -1.1 -46.7 -0.34 -0.02 -0.77 0 0 0 1.2771 -0.0661 0.4212 -0.047 0.170 0.746
0.94 -2.8 -4.0 -45.9 -0.40 -0.09 -0.72 0 0 0 0.9646 -0.5602 0.1669 -0.057 0.201 0.756
0.97 -2.8 -4.0 -45.9 -0.39 -0.13 -0.70 0 0 0 0.7735 -0.8853 -0.1879 -0.092 0.233 0.758
1.00 -4.4 -7.8 -44.1 -0.39 -0.13 -0.61 0 0 0 0.7207 -0.3832 -0.2427 -0.109 0.254 0.754
1.03 -4.4 -7.8 -44.1 -0.38 -0.15 -0.65 0 0 0 0.3149 -0.1795 -0.2613 -0.113 0.270 0.747
1.06 -4.9 -9.3 -43.4 -0.45 -0.12 -0.85 0 0 0 -0.0408 -0.2680 -0.4834 -0.149 0.259 0.742
1.10 -4.9 -9.3 -43.4 -0.36 -0.09 -0.92 0 0 0 0.1554 -0.4496 -0.7761 -0.164 0.260 0.720
1.13 -5.7 -10.0 -42.7 -0.16 -0.13 -0.86 0 0 0 0.3677 -0.2165 -0.7892 -0.167 0.272 0.698
1.16 -5.7 -10.0 -42.7 -0.24 -0.15 -0.80 0 0 0 0.1296 -0.3900 -0.7032 -0.171 0.283 0.680
1.19 -7.1 -10.1 -43.7 -0.39 -0.16 -0.93 0 0 0 -0.0503 -0.6431 -0.7320 -0.184 0.284 0.660
1.22 -7.1 -10.1 -43.7 -0.30 -0.26 -0.89 0 0 0 0.2324 -0.3763 -0.8988 -0.195 0.293 0.628
1.25 -7.5 -10.4 -44.1 -0.34 -0.23 -0.74 0 0 0 0.4421 -0.4633 -1.0577 -0.197 0.309 0.603
1.28 -7.5 -10.4 -44.1 -0.24 -0.26 -0.58 0 0 0 0.2743 -0.8980 -1.2869 -0.209 0.325 0.571
1.31 -9.0 -11.2 -42.3 -0.03 -0.34 -0.52 0 0 0 0.0918 -0.7882 -1.3203 -0.221 0.338 0.534
1.35 -9.0 -11.2 -42.3 -0.20 -0.22 -0.50 0 0 0 -0.1147 -0.6653 -1.0452 -0.234 0.348 0.481
1.38 -10.9 -11.2 -42.0 0.06 -0.31 -0.56 0 0 0 -0.4483 -1.1859 -1.3126 -0.248 0.348 0.444
1.41 -10.9 -11.2 -42.0 0.21 -0.35 -0.58 0 0 0 -0.5716 -1.2472 -0.8046 -0.273 0.341 0.409
1.44 -12.4 -11.2 -40.1 -0.09 -0.22 -0.56 0 0 0 -0.5816 0.0766 -0.6567 -0.283 0.332 0.388
1.47 -12.4 -11.2 -40.1 -0.02 -0.29 -0.85 0 0 0 -0.8076 -0.4395 -0.7583 -0.273 0.311 0.352
1.50 -13.3 -11.6 -39.3 -0.21 -0.17 -0.59 0 0 0 -0.5293 -0.8170 -0.5407 -0.287 0.298 0.328
1.53 -13.3 -11.6 -39.3 -0.16 -0.21 -0.62 0 0 0 -0.5791 0.1972 -0.6731 -0.288 0.290 0.308
1.56 -13.4 -10.2 -40.6 -0.06 -0.29 -0.75 0 0 0 -0.6476 0.3973 -0.5844 -0.273 0.278 0.286
1.60 -13.4 -10.2 -40.6 -0.25 -0.18 -0.53 0 0 0 -0.5496 0.3540 -0.4027 -0.261 0.257 0.258
1.63 -13.3 -9.7 -41.2 0.06 -0.20 -0.73 0 0 0 -0.8430 1.0346 -0.6630 -0.232 0.242 0.236
1.66 -13.3 -9.7 -41.2 0.38 -0.22 -1.07 0 0 0 -1.1295 0.5445 -0.4587 -0.204 0.218 0.214
1.69 -12.4 -7.8 -42.3 -0.01 -0.01 -0.82 0 0 0 -0.6982 0.0955 0.0704 -0.198 0.193 0.205
