iPhone Sensor Log from Crossbow started at Nov 17, 2011 15:20:06 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.25 -32.0 10.8 -35.5 -0.52 0.09 -0.78 37.425976 -122.151702 3.3 -0.1105 -0.2707 -1.3854 -0.366 0.108 -0.011
1.29 -34.8 8.0 -35.0 -0.59 0.03 -0.81 37.425976 -122.151702 3.3 0.1436 -0.1601 -1.8355 -0.368 0.127 -0.066
1.32 -34.8 8.0 -35.0 -0.54 -0.00 -0.68 37.425976 -122.151702 3.3 0.4673 -0.1115 -1.8893 -0.368 0.155 -0.108
1.35 -35.4 3.4 -34.7 -0.44 -0.08 -0.63 37.425976 -122.151702 3.3 0.2362 0.0075 -1.7533 -0.363 0.182 -0.152
1.38 -35.4 3.4 -34.7 -0.37 -0.14 -0.60 37.425976 -122.151702 3.3 0.5163 -0.2735 -2.0356 -0.347 0.220 -0.227
1.41 -35.7 -0.5 -35.1 -0.23 -0.21 -0.51 37.425976 -122.151702 3.3 0.2977 -0.0607 -2.1149 -0.340 0.248 -0.278
1.44 -35.7 -0.5 -35.1 -0.09 -0.17 -0.42 37.425976 -122.151702 3.3 0.3884 -0.5303 -1.8774 -0.335 0.275 -0.325
1.47 -36.6 -6.9 -34.2 0.06 -0.21 -0.47 37.425976 -122.151702 3.3 -0.1301 -0.6277 -1.9213 -0.346 0.296 -0.392
1.50 -36.6 -6.9 -34.2 0.09 -0.23 -0.49 37.425976 -122.151702 3.3 -0.2049 -0.3831 -2.0234 -0.340 0.310 -0.447
1.54 -36.2 -10.5 -33.2 0.21 -0.26 -0.47 37.425976 -122.151702 3.3 0.0540 -1.1029 -1.6505 -0.351 0.328 -0.513
1.57 -36.2 -10.5 -33.2 0.21 -0.29 -0.58 37.425976 -122.151702 3.3 -0.1090 -0.3756 -1.3712 -0.351 0.342 -0.567
1.60 -36.1 -14.0 -32.4 0.31 -0.22 -0.50 37.425976 -122.151702 3.3 0.0019 -0.8708 -1.3787 -0.358 0.354 -0.605
1.63 -36.1 -14.0 -32.4 0.26 -0.14 -0.44 37.425976 -122.151702 3.3 -0.3222 -0.0097 -1.0922 -0.363 0.363 -0.649
1.66 -36.5 -17.9 -30.6 0.30 -0.11 -0.62 37.425976 -122.151702 3.3 -0.7711 0.3408 -1.2755 -0.338 0.359 -0.688
1.69 -36.5 -17.9 -30.6 0.42 -0.06 -0.61 37.425976 -122.151702 3.3 -0.3353 -1.2630 -0.8611 -0.342 0.354 -0.722
1.72 -35.1 -18.8 -29.3 0.23 0.01 -0.67 37.425976 -122.151702 6.6 -1.2950 0.6724 -0.5634 -0.359 0.338 -0.751
1.75 -35.1 -18.8 -29.3 0.27 0.03 -1.00 37.425976 -122.151702 6.6 -1.6003 0.7421 -0.7256 -0.322 0.302 -0.786
1.79 -33.9 -18.2 -30.9 0.24 0.08 -0.97 37.425976 -122.151702 6.6 -0.9231 -0.7391 0.1165 -0.316 0.272 -0.805
1.82 -33.9 -18.2 -30.9 0.20 0.09 -1.10 37.425976 -122.151702 6.6 -1.1031 0.0536 0.0567 -0.337 0.239 -0.806
1.85 -33.9 -16.9 -31.6 0.13 0.07 -1.42 37.425976 -122.151702 6.6 -1.8653 1.3532 -0.2757 -0.306 0.200 -0.826
1.88 -33.9 -16.9 -31.6 0.08 0.13 -1.39 37.425976 -122.151702 6.6 -1.5657 0.4941 0.2511 -0.279 0.154 -0.840
1.91 -32.9 -13.8 -32.1 0.06 0.18 -1.44 37.425976 -122.151702 6.6 -1.0119 0.3743 0.3859 -0.276 0.103 -0.832
1.94 -32.9 -13.8 -32.1 -0.03 0.22 -1.64 37.425976 -122.151702 6.6 -1.4604 0.7420 0.4022 -0.258 0.067 -0.833
1.97 -32.4 -11.0 -33.8 0.01 0.18 -1.63 37.425976 -122.151702 6.6 -1.0138 0.6177 0.6716 -0.237 0.019 -0.823
2.01 -32.4 -11.0 -33.8 -0.19 0.20 -1.58 37.425976 -122.151702 6.6 -0.8734 0.6371 0.9414 -0.221 -0.009 -0.808
2.04 -31.9 -7.5 -35.0 -0.17 0.26 -1.47 37.425976 -122.151702 6.6 -0.6130 0.5455 0.9472 -0.205 -0.034 -0.787
2.07 -31.9 -7.5 -35.0 -0.10 0.31 -1.40 37.425976 -122.151702 6.6 -0.2622 0.2770 0.6728 -0.190 -0.052 -0.765
2.10 -30.5 -3.5 -37.0 -0.46 0.11 -1.53 37.425976 -122.151702 6.6 -0.4196 0.2724 1.4592 -0.180 -0.071 -0.730
2.13 -30.5 -3.5 -37.0 -0.39 0.10 -1.44 37.425976 -122.151702 6.6 -0.1447 0.2477 1.3605 -0.171 -0.086 -0.692
2.16 -29.5 -1.5 -38.2 -0.36 0.13 -1.46 37.425976 -122.151702 6.6 0.1750 0.2374 1.1416 -0.159 -0.089 -0.652
2.19 -29.5 -1.5 -38.2 -0.42 0.08 -1.38 37.425976 -122.151702 6.6 0.2625 0.1459 1.2319 -0.153 -0.088 -0.620
2.22 -28.3 0.9 -40.7 -0.51 0.05 -1.26 37.425976 -122.151702 6.6 0.5624 0.2837 1.3668 -0.139 -0.080 -0.571
2.25 -28.3 0.9 -40.7 -0.32 0.13 -1.30 37.425976 -122.151702 6.6 0.2970 0.1759 0.9185 -0.128 -0.069 -0.532
