iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:37:42 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 31.1 -2.3 -14.8 0.41 -0.37 -0.76 37.428012 -122.174242 34.6 -0.2218 -0.4714 0.5823 0.524 0.376 -2.175
0.06 31.1 -2.3 -14.8 0.51 -0.39 -0.79 37.428012 -122.174242 34.6 -0.1565 -0.0571 0.1538 0.511 0.377 -2.164
0.10 31.3 -2.4 -13.9 0.60 -0.55 -0.78 37.428012 -122.174242 34.6 -0.0957 0.8026 -0.1323 0.525 0.375 -2.164
0.13 31.3 -2.4 -13.9 0.60 -0.41 -0.42 37.428012 -122.174242 34.6 -0.0158 0.9316 -0.7620 0.564 0.373 -2.178
0.16 31.8 -1.7 -13.5 0.48 -0.27 -1.06 37.428012 -122.174242 34.6 -2.0903 -0.4726 -1.2869 0.583 0.321 -2.192
0.19 31.8 -1.7 -13.5 0.41 -0.25 -0.61 37.428012 -122.174242 34.6 -1.3595 -1.6483 -1.5356 0.544 0.257 -2.199
0.22 31.3 1.1 -13.9 0.20 -0.34 -0.43 37.428012 -122.174242 34.6 -2.6000 -2.6017 -0.7909 0.497 0.193 -2.202
0.25 31.3 1.1 -13.9 0.31 0.12 -1.19 37.428012 -122.174242 34.6 -1.3635 -0.8288 -0.6235 0.409 0.076 -2.176
0.28 29.4 4.7 -15.6 0.76 0.19 -1.00 37.428012 -122.174242 34.6 -0.6103 -3.0988 0.8619 0.350 0.052 -2.175
0.32 29.4 4.7 -15.6 0.07 -0.03 -0.54 37.428012 -122.174242 34.6 -0.6394 -6.1289 1.9332 0.207 0.052 -2.126
0.35 25.2 7.8 -21.0 -0.01 -0.00 -0.64 37.428012 -122.174242 34.6 -2.0029 -5.0915 3.4073 0.034 0.025 -2.039
0.38 25.2 7.8 -21.0 -0.05 0.22 -1.15 37.428012 -122.174242 34.6 -0.6225 -4.1128 1.6892 -0.124 -0.055 -1.947
0.41 21.0 6.5 -26.3 0.35 0.10 -0.11 37.428012 -122.174242 34.6 -0.4570 -1.9411 0.7915 -0.201 -0.052 -1.927
0.44 21.0 6.5 -26.3 0.32 0.47 0.22 37.428012 -122.174242 34.6 -2.3109 -2.8111 2.0773 -0.260 -0.093 -1.897
0.47 14.8 7.2 -31.0 -1.09 1.14 -1.10 37.428012 -122.174242 34.6 -5.2508 -3.1853 4.3909 -0.338 -0.231 -1.842
0.50 14.8 7.2 -31.0 -1.96 1.41 -2.01 37.428012 -122.174242 34.6 -5.9087 -5.4610 4.9548 -0.450 -0.511 -1.726
0.53 10.2 12.3 -30.7 -1.95 1.93 -2.01 37.428012 -122.174242 34.6 -2.7260 -5.0722 0.9070 -0.698 -0.731 -1.746
0.57 10.2 12.3 -30.7 -1.95 1.93 -2.01 37.428012 -122.174242 34.6 3.7220 -2.8673 -2.3922 -0.796 -0.686 -1.747
0.60 2.6 15.3 -30.3 -1.95 1.94 -1.70 37.428012 -122.174242 34.6 5.9936 -2.0348 -3.4888 -0.834 -0.522 -1.687
0.63 2.6 15.3 -30.3 -1.96 1.94 -0.87 37.428012 -122.174242 34.6 7.4895 -0.9311 -5.0286 -0.842 -0.307 -1.620
0.66 -1.5 6.8 -32.2 -1.63 1.96 -0.06 37.428012 -122.174242 34.6 8.0700 -1.5222 -7.3937 -0.871 0.070 -1.554
0.69 -1.5 6.8 -32.2 -1.51 1.96 0.14 37.428012 -122.174242 34.6 6.6409 -2.1293 -7.8842 -0.934 0.367 -1.525
0.72 -0.3 -12.2 -28.6 -1.27 1.97 0.07 37.428012 -122.174242 34.6 4.4663 -1.2746 -8.5648 -0.970 0.640 -1.538
0.75 -0.3 -12.2 -28.6 -0.42 1.99 0.68 37.428012 -122.174242 34.6 3.6555 -2.9351 -10.6625 -0.942 1.016 -1.672
0.78 5.3 -16.9 -22.8 0.40 2.02 1.17 37.428012 -122.174242 34.6 2.2965 -6.4465 -11.7497 -0.383 1.397 -2.452
0.81 5.3 -16.9 -22.8 1.15 2.04 1.37 37.428012 -122.174242 34.6 0.3002 -7.3997 -10.2115 0.966 1.317 2.260
0.85 8.8 -14.4 -19.3 1.36 2.04 0.91 37.428012 -122.174242 34.6 -2.3103 -7.3714 -7.4774 1.031 1.091 1.971
0.88 8.8 -14.4 -19.3 1.15 2.03 0.47 37.428012 -122.174242 34.6 -4.3176 -7.4087 -3.9353 0.838 0.910 1.960
0.91 4.7 -8.6 -21.3 0.64 2.02 0.68 37.428012 -122.174242 34.6 -4.6440 -8.8034 -0.1929 0.479 0.732 2.037
0.94 4.7 -8.6 -21.3 -0.56 1.99 0.92 37.428012 -122.174242 34.6 -4.7862 -9.5048 3.2238 0.151 0.622 2.147
0.97 -3.6 -3.3 -23.3 -1.49 1.96 -0.17 37.428012 -122.174242 34.6 -5.9488 -8.5860 6.9017 -0.195 0.467 2.318
1.00 -3.6 -3.3 -23.3 -1.83 1.94 -2.01 37.428012 -122.174242 34.6 -7.9928 -7.6066 8.9142 -0.464 0.203 2.475
1.03 -15.4 13.6 -16.1 -1.95 1.93 -2.01 37.428012 -122.174242 34.6 -3.7204 -7.8890 12.9673 -0.826 -0.350 2.692
1.06 -15.4 13.6 -16.1 -1.95 1.93 -2.01 37.428012 -122.174242 34.6 1.2802 -6.3823 12.0087 -0.897 -0.639 2.942
1.10 -11.8 26.7 -8.6 -1.95 1.93 -2.01 37.428012 -122.174242 34.6 5.5806 -7.7300 7.5661 -0.873 -0.770 -3.013
1.13 -11.8 26.7 -8.6 -1.95 1.94 -1.79 37.428012 -122.174242 34.6 7.7291 -4.2965 7.5422 -0.775 -0.788 -2.613
1.16 4.5 29.7 -12.3 -1.95 1.93 -2.01 37.428012 -122.174242 34.6 8.3411 2.8396 7.0433 -0.352 -0.702 -2.055
1.19 4.5 29.7 -12.3 -1.97 1.83 0.03 37.428012 -122.174242 34.6 9.4360 -1.0788 2.4738 -0.203 -0.492 -1.835
1.22 11.9 19.4 -23.0 -1.97 1.83 0.03 37.428012 -122.174242 34.6 9.4039 -1.9357 0.0531 -0.233 -0.237 -1.747
1.25 11.9 19.4 -23.0 -1.98 1.04 0.29 37.428012 -122.174242 34.6 7.2456 1.9481 -1.3434 -0.219 -0.010 -1.715
1.28 17.9 1.0 -29.5 -0.78 0.48 0.14 37.428012 -122.174242 34.6 4.6675 2.9803 -3.4205 -0.063 0.265 -1.793
1.31 17.9 1.0 -29.5 -0.21 0.12 -0.16 37.428012 -122.174242 34.6 4.4198 2.1055 -4.1142 0.048 0.392 -1.910
1.35 21.5 -5.8 -26.0 -0.03 0.18 0.22 37.428012 -122.174242 34.6 3.2235 1.4992 -2.6045 0.132 0.487 -2.017
1.38 21.5 -5.8 -26.0 0.14 -0.04 0.01 37.428012 -122.174242 34.6 2.4812 2.2076 -1.4300 0.225 0.553 -2.094
1.41 25.0 -7.5 -20.5 0.06 -0.23 -0.20 37.428012 -122.174242 34.6 2.2123 1.4830 -0.6565 0.326 0.627 -2.159
1.44 25.0 -7.5 -20.5 0.17 -0.31 -0.04 37.428012 -122.174242 34.6 0.8886 -1.4484 0.7172 0.330 0.667 -2.174
1.47 27.4 -9.3 -16.3 0.07 -0.23 -0.06 37.428012 -122.174242 34.6 0.1574 -0.6299 0.6463 0.289 0.687 -2.154
1.50 27.4 -9.3 -16.3 0.32 -0.47 -0.39 37.428012 -122.174242 34.6 -1.2523 1.2068 0.3353 0.277 0.676 -2.132
1.53 27.2 -10.2 -16.3 0.42 -0.41 -0.99 37.428012 -122.174242 34.6 -2.5577 1.5960 -0.2932 0.334 0.577 -2.101
1.56 27.2 -10.2 -16.3 0.30 -0.46 -0.91 37.428012 -122.174242 34.6 -1.0226 0.5326 0.1261 0.347 0.531 -2.085
1.60 28.1 -8.5 -16.1 0.24 -0.57 -0.81 37.428012 -122.174242 34.6 -0.0099 -0.6447 -0.0213 0.336 0.527 -2.077
