iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:33:44 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.25 -23.5 26.0 -15.2 -1.02 1.03 0.50 37.428006 -122.174270 34.0 -0.3762 -2.6117 -2.7178 -1.918 -0.452 -2.204
1.28 -30.4 19.8 -9.2 -0.92 0.99 0.45 37.428006 -122.174270 34.0 -0.8274 -2.6377 -2.8624 -1.985 -0.374 -2.190
1.31 -30.4 19.8 -9.2 -0.92 0.99 0.45 37.428006 -122.174270 34.0 -1.3771 -2.5125 -2.7799 -2.055 -0.289 -2.184
1.35 -33.0 15.2 -3.3 -0.83 0.82 0.40 37.428006 -122.174270 34.0 -1.4537 -2.1238 -2.7236 -2.161 -0.144 -2.178
1.38 -33.0 15.2 -3.3 -0.79 0.69 0.46 37.428006 -122.174270 34.0 -1.3379 -1.9808 -2.5586 -2.216 -0.063 -2.167
1.41 -34.4 6.3 4.4 -0.75 0.60 0.51 37.428006 -122.174270 34.0 -1.3428 -2.2470 -2.4334 -2.275 0.014 -2.153
1.44 -34.4 6.3 4.4 -0.66 0.50 0.56 37.428006 -122.174270 34.0 -1.5091 -2.2337 -2.3485 -2.338 0.081 -2.137
1.47 -32.7 0.6 8.4 -0.59 0.39 0.47 37.428006 -122.174270 34.0 -1.7742 -2.1196 -2.2031 -2.423 0.185 -2.120
1.50 -32.7 0.6 8.4 -0.49 0.28 0.52 37.428006 -122.174270 34.0 -1.7768 -2.0635 -2.1830 -2.484 0.260 -2.103
1.53 -28.5 -8.0 12.1 -0.45 0.20 0.50 37.428006 -122.174270 34.0 -1.9661 -2.3394 -2.1276 -2.551 0.338 -2.084
1.56 -28.5 -8.0 12.1 -0.34 0.08 0.44 37.428006 -122.174270 34.0 -1.9710 -2.4229 -2.0167 -2.628 0.415 -2.063
1.60 -25.1 -13.0 13.5 -0.23 -0.01 0.45 37.428006 -122.174270 34.0 -1.4739 -2.2760 -1.7744 -2.760 0.525 -2.014
1.63 -25.1 -13.0 13.5 -0.17 -0.16 0.39 37.428006 -122.174270 34.0 -1.2096 -2.1163 -1.4184 -2.838 0.573 -1.980
1.66 -18.7 -18.3 14.0 -0.09 -0.25 0.44 37.428006 -122.174270 34.0 -0.9480 -2.1968 -1.2987 -2.917 0.611 -1.946
1.69 -18.7 -18.3 14.0 -0.01 -0.35 0.51 37.428006 -122.174270 34.0 -0.9573 -2.3375 -1.0242 -3.001 0.641 -1.913
1.72 -15.0 -20.7 13.0 0.02 -0.40 0.53 37.428006 -122.174270 34.0 -1.2676 -2.6546 -0.8162 -3.117 0.685 -1.876
1.75 -15.0 -20.7 13.0 0.09 -0.51 0.55 37.428006 -122.174270 34.0 -1.3843 -2.1837 -0.5756 3.082 0.722 -1.851
1.78 -11.9 -21.9 9.9 0.13 -0.60 0.43 37.428006 -122.174270 34.0 -1.4069 -1.7981 -0.3079 3.015 0.761 -1.830
1.82 -11.9 -21.9 9.9 0.12 -0.66 0.48 37.428006 -122.174270 34.0 -1.1837 -2.2178 -0.1202 2.948 0.795 -1.815
1.85 -10.2 -22.2 8.4 0.15 -0.67 0.52 37.428006 -122.174270 34.0 -1.0204 -1.8656 0.0087 2.830 0.842 -1.793
1.88 -10.2 -22.2 8.4 0.25 -0.72 0.47 37.428006 -122.174270 34.0 -1.0021 -1.3939 0.1175 2.780 0.869 -1.783
1.91 -9.1 -21.5 8.7 0.28 -0.73 0.48 37.428006 -122.174270 34.0 -0.9694 -1.8078 0.2641 2.728 0.897 -1.775
