iPhone Sensor Log from Crossbow started at Nov 17, 2011 15:20:55 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.26 -23.2 1.3 -42.3 -0.23 -0.11 -0.29 37.425930 -122.151760 20.4 1.4137 -0.4789 -1.0330 -0.012 0.371 -0.156
1.29 -25.1 -7.3 -42.1 -0.25 -0.17 -0.35 37.425930 -122.151760 20.4 0.8131 -0.8390 -0.9787 -0.021 0.403 -0.193
1.32 -25.1 -7.3 -42.1 -0.33 -0.21 -0.29 37.425930 -122.151760 20.4 0.9663 -1.3360 -1.1013 -0.046 0.438 -0.231
1.35 -26.6 -11.3 -41.0 -0.15 -0.25 -0.32 37.425930 -122.151760 20.4 0.5992 -1.0349 -1.6503 -0.060 0.462 -0.271
1.38 -26.6 -11.3 -41.0 -0.07 -0.23 -0.26 37.425930 -122.151760 20.4 0.5149 -1.0105 -1.5667 -0.065 0.483 -0.337
1.41 -28.8 -16.5 -38.3 -0.05 -0.22 -0.30 37.425930 -122.151760 20.4 0.3429 -1.6221 -1.4545 -0.083 0.498 -0.379
1.44 -28.8 -16.5 -38.3 0.04 -0.18 -0.37 37.425930 -122.151760 20.4 -0.1551 -0.9903 -1.5959 -0.094 0.502 -0.426
1.47 -29.6 -19.4 -36.8 0.04 -0.24 -0.24 37.425930 -122.151760 20.4 0.1887 -2.3475 -1.1853 -0.128 0.508 -0.498
1.51 -29.6 -19.4 -36.8 0.23 -0.30 -0.51 37.425930 -122.151760 20.4 -0.6100 -1.4074 -1.3360 -0.165 0.509 -0.535
1.54 -30.4 -22.0 -33.2 0.26 -0.23 -0.60 37.425930 -122.151760 20.4 -0.9082 -0.1795 -1.2948 -0.157 0.489 -0.582
1.57 -30.4 -22.0 -33.2 0.17 -0.21 -0.47 37.425930 -122.151760 20.4 -0.1240 -1.3022 -0.5735 -0.164 0.477 -0.619
1.60 -30.9 -22.8 -31.0 0.21 -0.20 -0.74 37.425930 -122.151760 20.4 -0.5015 -1.3621 -0.5409 -0.197 0.474 -0.635
1.63 -30.9 -22.8 -31.0 0.35 -0.13 -0.84 37.425930 -122.151760 20.4 -1.1567 0.2279 -0.9111 -0.196 0.452 -0.664
1.66 -31.2 -24.3 -29.8 0.39 -0.05 -0.85 37.425930 -122.151760 20.4 -1.1835 0.5627 -0.7986 -0.140 0.406 -0.716
1.69 -31.2 -24.3 -29.8 0.39 -0.05 -0.85 37.425930 -122.151760 20.4 -0.7330 0.0020 -0.5005 -0.128 0.385 -0.738
1.73 -30.7 -24.9 -30.5 0.38 -0.04 -0.91 37.425930 -122.151760 24.8 -1.2733 0.2678 -0.5247 -0.111 0.348 -0.764
1.76 -30.7 -24.9 -30.5 0.44 0.00 -1.04 37.425930 -122.151760 24.8 -1.3022 0.4493 -0.3286 -0.097 0.315 -0.779
1.79 -29.1 -22.8 -32.5 0.38 0.05 -1.07 37.425930 -122.151760 24.8 -0.9808 0.5276 -0.0907 -0.081 0.285 -0.787
