iPhone Sensor Log from Crossbow started at Dec 4, 2011 10:59:09 PM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.04 -9.8 4.1 -47.9 0.02 -0.04 -0.99 0 0 0 -0.2565 -0.1522 -0.0487 -0.060 0.051 0.108
0.07 -9.8 4.1 -47.9 0.00 -0.01 -1.07 0 0 0 -0.1495 -0.0404 0.0709 -0.061 0.045 0.108
0.10 -9.6 4.8 -48.2 0.09 -0.00 -0.98 0 0 0 0.0296 0.0898 0.0751 -0.052 0.042 0.110
0.13 -9.6 4.8 -48.2 0.08 -0.02 -1.05 0 0 0 -0.2059 -0.2078 0.1558 -0.049 0.038 0.113
0.16 -9.1 5.1 -47.8 0.07 -0.01 -1.06 0 0 0 -0.3297 -0.0952 0.2294 -0.050 0.025 0.119
0.19 -9.1 5.1 -47.8 0.09 -0.01 -1.00 0 0 0 -0.2169 0.0274 0.2600 -0.043 0.017 0.126
0.22 -8.3 5.4 -47.0 0.05 -0.01 -1.02 0 0 0 -0.2221 -0.0311 0.3000 -0.039 0.012 0.133
0.25 -8.3 5.4 -47.0 0.05 0.01 -1.05 0 0 0 -0.3212 -0.0019 0.3957 -0.036 0.004 0.143
0.29 -8.2 5.5 -47.5 0.13 0.01 -1.07 0 0 0 -0.3021 0.0006 0.3753 -0.031 -0.012 0.161
0.32 -8.2 5.5 -47.5 0.13 0.04 -1.10 0 0 0 -0.3374 -0.0998 0.4635 -0.033 -0.021 0.172
0.35 -7.4 5.8 -47.6 0.06 0.05 -1.11 0 0 0 -0.1708 0.0972 0.6222 -0.031 -0.028 0.188
0.38 -7.4 5.8 -47.6 0.09 0.04 -1.21 0 0 0 -0.1976 0.1520 0.7742 -0.026 -0.034 0.208
0.41 -6.9 6.0 -47.9 0.00 0.10 -1.06 0 0 0 -0.1490 0.0640 0.7592 -0.021 -0.042 0.235
0.44 -6.9 6.0 -47.9 0.00 0.10 -1.06 0 0 0 -0.0376 0.2511 0.8963 -0.016 -0.043 0.260
0.47 -5.7 5.9 -46.4 0.01 0.08 -1.21 0 0 0 -0.2799 0.0740 0.9414 -0.010 -0.049 0.285
0.50 -5.7 5.9 -46.4 -0.13 0.12 -1.28 0 0 0 -0.0439 -0.0364 1.1297 -0.010 -0.054 0.314
0.54 -4.5 6.6 -44.0 -0.12 0.13 -1.22 0 0 0 0.4048 0.1612 1.0859 0.002 -0.041 0.365
