iPhone Sensor Log from Crossbow started at Dec 4, 2011 11:00:26 PM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -8.5 4.3 -51.3 -0.04 -0.01 -1.02 (null) (null) (null) -0.2979 -0.1943 -0.0353 -0.060 0.038 0.271
0.06 -9.6 4.6 -50.1 0.02 0.01 -0.98 (null) (null) (null) -0.2686 -0.0007 -0.0340 -0.062 0.028 0.269
0.10 -9.6 4.6 -50.1 0.05 -0.00 -0.94 (null) (null) (null) -0.0594 0.0676 -0.0653 -0.055 0.023 0.267
0.13 -10.7 6.0 -49.4 0.05 -0.00 -0.94 (null) (null) (null) -0.2785 -0.0783 0.0085 -0.051 0.014 0.266
0.16 -10.7 6.0 -49.4 0.08 0.01 -1.00 (null) (null) (null) -0.2693 -0.1081 0.0339 -0.047 0.006 0.266
0.19 -9.9 7.4 -50.1 0.16 0.01 -1.01 (null) (null) (null) -0.2367 -0.0732 0.0589 -0.040 -0.002 0.267
0.22 -9.9 7.4 -50.1 0.14 0.02 -1.04 (null) (null) (null) -0.2243 0.0440 0.1903 -0.033 -0.009 0.271
0.25 -8.7 8.6 -49.9 0.12 0.02 -1.02 (null) (null) (null) -0.2596 -0.0911 0.2859 -0.021 -0.017 0.280
0.28 -8.7 8.6 -49.9 0.12 0.02 -1.06 (null) (null) (null) -0.2300 -0.0753 0.3710 -0.019 -0.025 0.289
0.31 -7.4 10.6 -49.0 0.19 0.03 -1.03 (null) (null) (null) -0.2657 0.0582 0.3882 -0.011 -0.031 0.300
0.35 -7.4 10.6 -49.0 0.15 0.04 -1.08 (null) (null) (null) -0.2913 0.1345 0.5353 -0.006 -0.039 0.313
0.38 -5.9 10.8 -48.5 0.10 0.06 -1.10 (null) (null) (null) -0.2554 -0.0001 0.5962 0.001 -0.051 0.340
0.41 -5.9 10.8 -48.5 0.12 0.07 -1.08 (null) (null) (null) -0.2205 0.0289 0.7281 0.001 -0.057 0.359
0.44 -3.8 8.9 -47.2 0.06 0.09 -1.11 (null) (null) (null) -0.1565 0.1727 0.8798 0.007 -0.062 0.382
0.47 -3.8 8.9 -47.2 -0.05 0.12 -1.13 (null) (null) (null) -0.2013 0.1032 0.8802 0.012 -0.067 0.407
0.50 -2.6 8.7 -46.3 0.01 0.08 -1.16 (null) (null) (null) -0.2274 -0.1334 0.9104 0.012 -0.075 0.439
0.53 -2.6 8.7 -46.3 -0.05 0.13 -1.16 (null) (null) (null) -0.1602 0.0832 0.9908 0.013 -0.079 0.466
0.56 -1.3 8.5 -43.8 -0.15 0.15 -1.16 (null) (null) (null) -0.1366 0.2696 0.9789 0.020 -0.083 0.494
0.60 -1.3 8.5 -43.8 -0.14 0.13 -1.29 (null) (null) (null) -0.1096 -0.0633 0.9185 0.026 -0.086 0.520
0.63 -1.9 7.9 -42.3 -0.17 0.17 -1.30 (null) (null) (null) 0.3301 -0.0472 0.8542 0.024 -0.078 0.561
0.66 -1.9 7.9 -42.3 -0.20 0.17 -1.28 (null) (null) (null) 0.4940 0.0565 0.7638 0.026 -0.065 0.583
0.69 -3.4 6.3 -43.4 -0.20 0.16 -1.20 (null) (null) (null) 0.7034 -0.1820 0.7320 0.026 -0.047 0.604
0.72 -3.4 6.3 -43.4 -0.20 0.17 -1.11 (null) (null) (null) 0.7076 -0.2608 0.6844 0.018 -0.027 0.623
0.75 -4.2 5.1 -44.6 -0.20 0.11 -1.00 (null) (null) (null) 0.6924 -0.0675 0.6628 0.012 -0.000 0.647
0.78 -4.2 5.1 -44.6 -0.29 0.11 -1.03 (null) (null) (null) 0.5779 0.0367 0.6584 0.011 0.017 0.666
0.81 -4.1 3.6 -45.9 -0.34 0.10 -1.06 (null) (null) (null) 0.6228 -0.0287 0.5641 0.011 0.034 0.683
0.85 -4.1 3.6 -45.9 -0.34 0.04 -1.00 (null) (null) (null) 0.8192 -0.1278 0.3477 0.007 0.055 0.694
0.88 -3.8 2.3 -46.5 -0.29 0.01 -0.92 (null) (null) (null) 0.7165 -0.1667 0.2625 -0.009 0.091 0.707
0.91 -3.8 2.3 -46.5 -0.32 -0.00 -1.02 (null) (null) (null) 0.7063 0.2188 0.2938 -0.010 0.109 0.716
0.94 -3.8 0.5 -46.7 -0.34 0.01 -0.93 (null) (null) (null) 0.9142 -0.0843 0.1099 -0.013 0.131 0.722
0.97 -3.8 0.5 -46.7 -0.24 -0.04 -0.87 (null) (null) (null) 0.7149 -0.4166 -0.1549 -0.022 0.154 0.721
1.00 -4.0 -2.8 -45.6 -0.25 -0.07 -0.82 (null) (null) (null) 0.5688 0.1053 -0.1067 -0.031 0.176 0.717
1.03 -4.0 -2.8 -45.6 -0.32 0.01 -0.94 (null) (null) (null) 0.4751 0.1703 -0.1684 -0.043 0.179 0.717
1.06 -3.5 -4.4 -43.8 -0.29 -0.00 -0.85 (null) (null) (null) 0.5626 -0.2424 -0.5259 -0.048 0.191 0.708
1.10 -3.5 -4.4 -43.8 -0.25 -0.08 -0.71 (null) (null) (null) 0.5153 -0.4471 -0.7828 -0.056 0.208 0.689
1.13 -4.1 -5.9 -42.9 -0.24 -0.17 -0.74 (null) (null) (null) 0.2170 -0.2366 -0.7197 -0.062 0.222 0.660
1.16 -4.1 -5.9 -42.9 -0.42 -0.12 -0.65 (null) (null) (null) 0.2445 -0.0133 -0.8494 -0.058 0.234 0.633
1.19 -4.2 -6.2 -43.0 -0.33 -0.16 -0.70 (null) (null) (null) 0.0184 -0.2682 -1.1471 -0.056 0.238 0.604
1.22 -4.2 -6.2 -43.0 -0.23 -0.17 -0.56 (null) (null) (null) 0.0858 -0.3192 -1.3363 -0.057 0.242 0.568
1.25 -4.6 -6.9 -42.7 -0.16 -0.14 -0.50 (null) (null) (null) -0.2623 -0.3741 -1.3353 -0.059 0.243 0.516
1.28 -4.6 -6.9 -42.7 -0.01 -0.17 -0.65 (null) (null) (null) -0.5106 -0.0904 -1.2150 -0.057 0.233 0.479
1.32 -5.9 -7.0 -42.6 0.08 -0.21 -0.75 (null) (null) (null) -0.4611 -0.0052 -1.0330 -0.048 0.221 0.445
1.35 -5.9 -7.0 -42.6 -0.06 -0.13 -0.50 (null) (null) (null) -0.0829 0.0168 -0.7120 -0.049 0.215 0.423
1.38 -5.7 -5.8 -42.3 0.16 -0.23 -0.67 (null) (null) (null) -0.4228 0.2350 -1.0884 -0.020 0.209 0.384
1.41 -5.7 -5.8 -42.3 0.06 -0.18 -0.53 (null) (null) (null) -0.2595 -0.9249 -0.5037 -0.034 0.194 0.353
1.44 -6.2 -5.3 -42.6 0.06 -0.10 -0.46 (null) (null) (null) -0.1128 0.1264 -0.6888 -0.044 0.191 0.338
1.47 -6.2 -5.3 -42.6 0.27 -0.17 -0.69 (null) (null) (null) -0.5411 0.3943 -0.8915 -0.026 0.182 0.313
1.50 -7.6 -5.2 -42.9 0.29 -0.13 -0.74 (null) (null) (null) -0.6852 -0.8311 -0.4316 -0.036 0.158 0.288
1.53 -7.6 -5.2 -42.9 0.13 -0.03 -0.52 (null) (null) (null) -0.5124 0.1059 -0.4359 -0.049 0.143 0.278
1.56 -6.8 -4.4 -42.9 0.29 -0.13 -0.80 (null) (null) (null) -0.8771 1.0404 -0.5778 -0.023 0.123 0.260
1.60 -6.8 -4.4 -42.9 0.32 -0.09 -1.02 (null) (null) (null) -0.8795 0.7158 -0.3730 0.003 0.099 0.247
1.63 -6.4 -1.5 -44.5 0.29 -0.04 -0.85 (null) (null) (null) -0.5820 0.3885 -0.2745 0.024 0.066 0.235
1.66 -6.4 -1.5 -44.5 0.36 -0.06 -0.98 (null) (null) (null) -0.7331 0.8316 -0.1994 0.053 0.048 0.227
1.69 -5.3 0.4 -45.5 0.26 -0.01 -1.14 (null) (null) (null) -0.6965 0.8642 -0.0159 0.077 0.028 0.227
1.72 -5.3 0.4 -45.5 0.35 0.01 -1.19 (null) (null) (null) -0.5296 0.5632 -0.1339 0.096 0.012 0.227
1.75 -4.3 1.4 -46.8 0.38 0.04 -1.17 (null) (null) (null) -0.5542 -0.2832 -0.0087 0.097 -0.009 0.225
1.78 -4.3 1.4 -46.8 0.26 0.05 -1.29 (null) (null) (null) -0.5700 -0.1817 0.1143 0.089 -0.024 0.229
1.81 -2.9 3.2 -47.5 0.23 0.05 -1.37 (null) (null) (null) -0.4490 -0.0961 0.1488 0.085 -0.038 0.234
1.85 -2.9 3.2 -47.5 0.18 0.09 -1.29 (null) (null) (null) -0.1109 -0.1379 0.1939 0.083 -0.043 0.240
1.88 -2.8 5.2 -47.5 0.16 0.07 -1.44 (null) (null) (null) -0.3407 -0.5788 0.1063 0.067 -0.051 0.246
1.91 -2.8 5.2 -47.5 0.18 0.05 -1.32 (null) (null) (null) 0.0478 -0.1224 0.2349 0.053 -0.056 0.252
1.94 -4.0 7.6 -48.1 0.01 0.07 -1.36 (null) (null) (null) 0.1146 0.2518 0.4368 0.056 -0.053 0.262
1.97 -4.0 7.6 -48.1 -0.12 0.05 -1.31 (null) (null) (null) 0.1388 0.2090 0.4851 0.063 -0.049 0.275
2.00 -2.8 8.0 -47.9 -0.06 0.01 -1.13 (null) (null) (null) 0.2235 -0.0913 0.3358 0.057 -0.039 0.287
2.03 -2.8 8.0 -47.9 -0.17 0.08 -1.11 (null) (null) (null) -0.0041 -0.0020 0.5066 0.047 -0.036 0.299
2.06 -0.9 6.3 -47.0 -0.20 0.06 -1.25 (null) (null) (null) -0.1454 0.4136 0.5530 0.053 -0.038 0.315
2.10 -0.9 6.3 -47.0 -0.10 0.03 -1.06 (null) (null) (null) 0.2341 0.6620 0.3804 0.070 -0.036 0.327
2.13 -0.4 5.2 -47.8 -0.07 0.02 -0.99 (null) (null) (null) 0.2593 -0.2558 0.3116 0.065 -0.021 0.337
