iPhone Sensor Log from Crossbow started at Dec 4, 2011 11:00:58 PM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -12.5 7.5 -50.7 0.06 -0.05 -1.00 (null) (null) (null) -0.6139 -0.2979 -0.0435 -0.073 0.005 -0.496
0.06 -12.5 7.5 -50.7 0.18 0.01 -1.09 (null) (null) (null) -0.3178 -0.0428 0.0346 -0.065 -0.014 -0.498
0.10 -13.0 8.8 -49.5 0.23 0.03 -1.04 (null) (null) (null) -0.5205 0.0861 0.1956 -0.046 -0.027 -0.493
0.13 -13.0 8.8 -49.5 0.21 0.02 -1.20 (null) (null) (null) -0.7389 0.1026 0.2948 -0.044 -0.046 -0.487
0.16 -12.9 10.7 -49.4 0.27 0.05 -1.13 (null) (null) (null) -0.4292 0.3256 0.4211 -0.037 -0.062 -0.478
0.19 -12.9 10.7 -49.4 0.28 0.01 -1.15 (null) (null) (null) -0.3387 0.6809 0.5235 -0.022 -0.072 -0.465
0.22 -9.6 13.6 -50.4 0.26 0.07 -1.17 (null) (null) (null) -0.2906 0.4103 0.6477 0.002 -0.082 -0.443
0.25 -9.6 13.6 -50.4 0.32 0.07 -1.26 (null) (null) (null) -0.4306 -0.0586 0.6503 0.006 -0.094 -0.424
0.28 -6.0 14.3 -50.4 0.26 0.09 -1.25 (null) (null) (null) -0.1943 0.0781 0.7999 0.006 -0.103 -0.405
0.32 -6.0 14.3 -50.4 0.23 0.13 -1.14 (null) (null) (null) 0.0861 0.2938 1.0018 0.020 -0.100 -0.370
0.35 -3.1 11.7 -49.1 0.18 0.14 -1.26 (null) (null) (null) -0.1492 0.0202 1.1520 0.027 -0.102 -0.329
0.38 -3.1 11.7 -49.1 0.05 0.21 -1.30 (null) (null) (null) 0.1821 0.2470 1.3396 0.035 -0.100 -0.294
0.41 -1.7 8.3 -46.7 -0.02 0.19 -1.27 (null) (null) (null) 0.4341 0.3168 1.3695 0.047 -0.089 -0.256
0.44 -1.7 8.3 -46.7 -0.23 0.20 -1.15 (null) (null) (null) 0.5840 0.1197 1.3805 0.057 -0.071 -0.216
0.47 -2.2 6.8 -45.7 -0.27 0.20 -1.19 (null) (null) (null) 0.4375 -0.1463 1.3171 0.059 -0.050 -0.167
0.50 -2.2 6.8 -45.7 -0.31 0.19 -1.21 (null) (null) (null) 0.6220 0.3932 1.1593 0.064 -0.032 -0.134
0.53 -2.6 4.1 -46.7 -0.29 0.15 -1.15 (null) (null) (null) 0.7414 0.3330 1.0470 0.076 -0.011 -0.105
0.56 -2.6 4.1 -46.7 -0.25 0.10 -1.08 (null) (null) (null) 0.6007 -0.4011 0.7452 0.071 0.016 -0.074
0.60 -2.2 3.3 -47.8 -0.21 0.08 -1.04 (null) (null) (null) 0.5971 -0.2579 0.7479 0.058 0.041 -0.050
0.63 -2.2 3.3 -47.8 -0.34 0.05 -1.05 (null) (null) (null) 0.6511 -0.0009 0.7524 0.052 0.059 -0.029
0.66 -1.5 0.8 -48.1 -0.37 0.04 -1.06 (null) (null) (null) 0.6400 -0.0512 0.6098 0.052 0.079 -0.011
0.69 -1.5 0.8 -48.1 -0.29 0.00 -0.91 (null) (null) (null) 0.8105 -0.1983 0.2881 0.045 0.099 0.000
0.72 -0.7 -1.4 -47.8 -0.34 0.00 -0.79 (null) (null) (null) 0.7882 -0.2225 0.0997 0.034 0.131 0.005
0.75 -0.7 -1.4 -47.8 -0.37 -0.06 -0.90 (null) (null) (null) 0.5430 -0.1193 -0.1101 0.011 0.147 0.006
0.78 -1.9 -3.8 -46.5 -0.33 -0.09 -0.83 (null) (null) (null) 0.5792 -0.5275 -0.4269 -0.007 0.160 -0.001
0.81 -1.9 -3.8 -46.5 -0.25 -0.10 -0.55 (null) (null) (null) 0.7658 -0.4155 -0.7214 -0.022 0.188 -0.024
0.85 -3.1 -5.3 -45.7 -0.31 -0.10 -0.70 (null) (null) (null) 0.2643 -0.0693 -0.8323 -0.027 0.207 -0.052
0.88 -3.1 -5.3 -45.7 -0.33 -0.10 -0.80 (null) (null) (null) 0.2019 -0.4578 -1.0928 -0.028 0.213 -0.080
0.91 -3.7 -6.7 -44.7 -0.17 -0.11 -0.67 (null) (null) (null) 0.3779 -0.8818 -1.3637 -0.040 0.223 -0.116
0.94 -3.7 -6.7 -44.7 -0.17 -0.11 -0.53 (null) (null) (null) 0.3310 -0.8558 -1.2955 -0.056 0.235 -0.155
0.97 -4.8 -7.0 -43.8 -0.12 -0.16 -0.65 (null) (null) (null) -0.0122 -0.0452 -1.2613 -0.062 0.245 -0.203
1.00 -4.8 -7.0 -43.8 -0.11 -0.19 -0.82 (null) (null) (null) -0.0974 0.1488 -1.1558 -0.051 0.244 -0.237
