iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:59:13 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.04 2.8 -22.5 -28.3 0.06 -0.03 -1.00 0 0 0 0.0569 0.0775 0.0915 0.067 0.035 2.582
0.07 2.8 -22.5 -28.3 0.06 -0.05 -1.01 0 0 0 0.0134 -0.0120 -0.0441 0.068 0.037 2.582
0.10 2.0 -21.7 -26.5 0.08 -0.03 -1.01 0 0 0 -0.0035 0.0448 -0.0680 0.068 0.036 2.580
0.13 2.0 -21.7 -26.5 0.08 -0.04 -1.00 0 0 0 -0.0956 -0.0850 0.0142 0.068 0.035 2.579
0.16 2.4 -22.5 -26.0 0.06 -0.03 -1.02 0 0 0 -0.0640 -0.1935 -0.0075 0.064 0.032 2.579
0.19 2.4 -22.5 -26.0 0.07 -0.03 -1.03 0 0 0 -0.0595 -0.0815 -0.0279 0.059 0.030 2.578
0.22 2.8 -22.5 -25.7 0.06 -0.03 -1.01 0 0 0 -0.0116 -0.0762 -0.0187 0.057 0.029 2.576
0.25 2.8 -22.5 -25.7 0.04 -0.03 -0.99 0 0 0 0.0519 -0.1253 0.0205 0.053 0.030 2.576
0.28 2.2 -22.9 -26.1 0.04 -0.05 -0.98 0 0 0 0.0615 -0.1288 0.0182 0.049 0.032 2.576
0.32 2.2 -22.9 -26.1 0.05 -0.04 -0.97 0 0 0 0.0649 -0.0043 -0.0349 0.045 0.034 2.575
0.35 2.1 -23.0 -25.8 0.04 -0.04 -0.94 0 0 0 0.0863 -0.0383 0.0401 0.045 0.036 2.574
0.38 2.1 -23.0 -25.8 0.03 -0.03 -0.94 0 0 0 0.0265 -0.0510 0.0070 0.042 0.037 2.575
0.41 2.1 -23.1 -25.7 0.03 -0.05 -0.94 0 0 0 -0.0250 -0.0632 0.0194 0.042 0.037 2.575
0.44 2.1 -23.1 -25.7 0.02 -0.04 -0.92 0 0 0 0.0162 -0.1379 -0.0270 0.037 0.037 2.574
0.47 2.5 -22.6 -25.9 0.04 -0.02 -0.93 0 0 0 -0.0629 -0.1204 -0.0546 0.034 0.036 2.572
0.50 2.5 -22.6 -25.9 0.02 -0.02 -0.91 0 0 0 -0.1404 0.0115 0.0278 0.031 0.031 2.571
0.53 1.4 -22.3 -26.0 0.02 -0.05 -0.92 0 0 0 -0.0948 -0.0793 0.1171 0.029 0.029 2.573
0.57 1.4 -22.3 -26.0 0.05 -0.03 -0.93 0 0 0 -0.1195 -0.0521 -0.0547 0.026 0.026 2.574
0.60 0.4 -21.8 -26.2 0.03 0.01 -0.94 0 0 0 -0.1373 -0.1313 -0.0134 0.025 0.019 2.571
0.63 0.4 -21.8 -26.2 0.04 -0.02 -0.94 0 0 0 -0.0489 -0.1689 0.0973 0.020 0.017 2.572
0.66 1.4 -21.6 -26.2 0.04 -0.04 -0.96 0 0 0 -0.2293 0.1396 -0.0346 0.020 0.013 2.573
0.69 1.4 -21.6 -26.2 0.03 -0.02 -0.97 0 0 0 -0.1859 0.0481 -0.0040 0.024 0.008 2.572
0.72 1.7 -22.1 -25.8 0.00 0.00 -0.95 0 0 0 0.0579 -0.1680 0.0693 0.021 0.006 2.573
0.75 1.7 -22.1 -25.8 0.02 -0.02 -0.94 0 0 0 -0.0552 0.0666 -0.0552 0.018 0.007 2.571
0.78 1.2 -21.9 -26.3 -0.00 -0.03 -0.92 0 0 0 0.0600 -0.1070 0.0908 0.017 0.007 2.571
0.81 1.2 -21.9 -26.3 -0.04 -0.04 -0.94 0 0 0 0.2076 -0.2193 0.1454 0.010 0.013 2.575
0.85 0.6 -21.4 -26.7 -0.01 -0.06 -0.96 0 0 0 0.1055 -0.0036 -0.0099 0.004 0.021 2.575
0.88 0.6 -21.4 -26.7 -0.02 -0.02 -0.97 0 0 0 0.0469 -0.0531 0.0094 0.002 0.022 2.575
0.91 1.4 -22.5 -26.3 -0.02 -0.01 -0.97 0 0 0 0.1492 -0.1282 -0.0277 -0.004 0.027 2.574
0.94 1.4 -22.5 -26.3 0.00 -0.02 -0.99 0 0 0 -0.1476 0.2059 -0.1513 -0.002 0.026 2.570
0.97 2.0 -23.1 -26.3 0.03 -0.02 -1.05 0 0 0 -0.0595 -0.0053 -0.1159 0.002 0.022 2.566
1.00 2.0 -23.1 -26.3 0.02 0.01 -1.01 0 0 0 0.1446 -0.0444 -0.1696 -0.001 0.024 2.561
1.03 1.3 -22.1 -26.7 0.01 -0.04 -1.02 0 0 0 -0.1315 0.2437 -0.0097 0.003 0.023 2.558
1.07 1.3 -22.1 -26.7 0.01 0.01 -1.00 0 0 0 -0.1322 0.1210 -0.0177 0.008 0.019 2.558
1.10 1.4 -21.4 -26.7 0.02 -0.02 -1.06 0 0 0 -0.0245 -0.1422 -0.0603 0.003 0.019 2.555
1.13 1.4 -21.4 -26.7 0.02 -0.02 -1.11 0 0 0 -0.3717 0.1627 -0.1256 0.004 0.012 2.552
1.16 1.2 -20.5 -26.5 -0.02 0.01 -1.06 0 0 0 -0.1537 0.0753 -0.0023 0.008 0.005 2.551
1.19 1.2 -20.5 -26.5 -0.02 0.01 -1.06 0 0 0 0.0302 -0.0339 -0.0329 0.005 0.005 2.550
1.22 1.6 -19.9 -27.3 0.03 0.00 -1.12 0 0 0 -0.3742 0.1479 -0.0929 0.007 -0.001 2.548
1.25 1.6 -19.9 -27.3 0.02 0.03 -1.15 0 0 0 -0.2074 0.0267 -0.0178 0.010 -0.009 2.546
1.28 1.6 -19.7 -28.7 0.01 0.02 -1.14 0 0 0 -0.0514 -0.0136 -0.0163 0.007 -0.012 2.546
1.32 1.6 -19.7 -28.7 0.03 0.05 -1.14 0 0 0 -0.2040 0.1150 -0.0653 0.008 -0.016 2.544
