iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:57:42 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.41 -2.9 -19.2 -28.1 0.13 -0.02 -0.99 0 0 0 0.1805 0.1883 0.2935 -0.019 0.014 2.918
1.44 -2.9 -19.2 -28.1 0.03 -0.00 -0.91 0 0 0 0.3170 0.3693 0.1429 -0.012 0.021 2.923
1.47 -2.5 -19.5 -27.9 0.14 -0.03 -0.87 0 0 0 0.2048 0.3137 -0.2747 0.002 0.028 2.920
1.51 -2.5 -19.5 -27.9 0.18 0.04 -0.93 0 0 0 0.0941 -0.1567 -0.0137 0.017 0.023 2.908
1.54 -2.1 -18.9 -27.9 -0.02 0.01 -0.98 0 0 0 0.0903 0.0355 0.1822 0.011 0.023 2.912
1.57 -2.1 -18.9 -27.9 0.04 0.00 -0.99 0 0 0 0.0983 0.1029 -0.1008 0.016 0.024 2.912
1.60 -2.4 -19.4 -28.2 0.01 0.03 -1.03 0 0 0 0.0325 -0.1294 0.1069 0.013 0.020 2.911
1.63 -2.4 -19.4 -28.2 -0.07 0.00 -1.03 0 0 0 0.0052 0.1859 0.3684 0.007 0.019 2.918
1.66 -3.0 -19.8 -28.0 0.01 -0.03 -1.05 0 0 0 0.0176 0.3143 0.1188 0.017 0.018 2.925
1.69 -3.0 -19.8 -28.0 -0.07 0.00 -1.10 0 0 0 -0.1348 0.2126 0.2773 0.021 0.016 2.930
1.72 -3.0 -20.1 -28.0 -0.11 -0.01 -1.07 0 0 0 0.1185 0.1228 0.5970 0.019 0.015 2.943
1.76 -3.0 -20.1 -28.0 -0.09 -0.00 -1.06 0 0 0 -0.0714 0.0034 0.1942 0.015 0.018 2.957
1.79 -2.2 -19.9 -27.9 -0.14 0.03 -1.07 0 0 0 -0.1606 -0.0633 0.3972 0.005 0.010 2.963
1.82 -2.2 -19.9 -27.9 -0.22 0.04 -1.06 0 0 0 0.0151 -0.0541 0.5317 -0.004 0.009 2.978
1.85 -2.4 -20.1 -27.7 -0.18 0.07 -1.06 0 0 0 -0.2706 0.4654 0.1321 -0.002 -0.002 2.987
1.88 -2.4 -20.1 -27.7 -0.25 0.07 -1.03 0 0 0 -0.0345 0.1847 0.4117 -0.001 -0.009 2.994
1.91 -3.6 -20.2 -28.0 -0.29 0.04 -0.99 0 0 0 0.1781 0.1118 0.7120 -0.012 -0.008 3.010
1.94 -3.6 -20.2 -28.0 -0.28 0.04 -1.06 0 0 0 -0.1736 0.0482 0.5853 -0.012 -0.008 3.034
1.97 -3.4 -19.5 -28.6 -0.28 0.03 -1.05 0 0 0 -0.2394 0.1487 0.4324 -0.012 -0.015 3.046
2.01 -3.4 -19.5 -28.6 -0.17 0.02 -1.04 0 0 0 -0.0360 0.1255 0.5663 -0.014 -0.018 3.059
2.04 -3.7 -19.5 -28.4 -0.13 0.00 -1.03 0 0 0 0.0005 0.0965 0.4327 -0.019 -0.017 3.082
2.07 -3.7 -19.5 -28.4 -0.18 -0.04 -1.07 0 0 0 -0.0335 0.2040 0.4724 -0.021 -0.015 3.093
2.10 -3.9 -19.6 -28.2 -0.10 -0.02 -0.99 0 0 0 0.0617 -0.0405 0.5600 -0.025 -0.012 3.107
2.13 -3.9 -19.6 -28.2 -0.00 -0.00 -1.02 0 0 0 0.0866 0.2566 -0.0107 -0.022 -0.006 3.115
2.16 -3.8 -19.6 -30.0 -0.03 0.02 -0.99 0 0 0 -0.0091 0.2181 -0.0131 -0.016 -0.008 3.113
2.19 -3.8 -19.6 -30.0 0.04 -0.02 -1.08 0 0 0 0.1961 0.2230 0.2459 -0.011 -0.004 3.117
2.22 -3.7 -19.3 -32.2 0.04 -0.01 -0.94 0 0 0 0.3063 0.1609 -0.0214 -0.004 0.005 3.123
