iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:59:42 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.41 1.0 -20.7 -25.8 0.01 0.01 -1.09 0 0 0 -0.0191 0.0445 -0.0800 -0.011 0.036 2.398
1.44 1.2 -21.7 -26.3 0.00 -0.02 -1.10 0 0 0 0.0197 -0.0832 -0.0533 -0.013 0.036 2.397
1.47 1.2 -21.7 -26.3 0.04 0.01 -1.13 0 0 0 -0.2984 0.2276 -0.2638 -0.011 0.031 2.392
1.50 1.4 -21.6 -26.4 0.03 0.00 -1.06 0 0 0 0.0992 -0.0756 0.1570 -0.001 0.023 2.387
1.53 1.4 -21.6 -26.4 0.01 -0.03 -1.03 0 0 0 0.0165 -0.0037 0.0779 -0.004 0.025 2.391
1.57 1.4 -21.8 -25.9 0.03 0.01 -1.02 0 0 0 -0.1923 0.1958 -0.0599 0.002 0.020 2.389
1.60 1.4 -21.8 -25.9 0.00 -0.01 -1.02 0 0 0 0.0454 -0.1562 0.2141 0.002 0.016 2.391
1.63 0.9 -21.3 -26.4 0.02 -0.01 -0.99 0 0 0 0.0920 -0.0409 0.1275 -0.001 0.019 2.396
1.66 0.9 -21.3 -26.4 0.07 -0.01 -1.01 0 0 0 -0.2137 0.1501 -0.0528 0.004 0.015 2.396
1.69 0.5 -20.9 -26.9 0.05 0.01 -1.01 0 0 0 0.1355 -0.1941 0.1786 0.005 0.012 2.399
1.72 0.5 -20.9 -26.9 0.06 -0.04 -1.04 0 0 0 -0.1276 0.1170 0.0470 0.006 0.014 2.401
1.75 1.4 -20.6 -27.8 0.08 -0.02 -1.06 0 0 0 -0.0998 0.1016 -0.0043 0.016 0.007 2.400
1.79 1.4 -20.6 -27.8 0.05 -0.03 -0.99 0 0 0 0.3066 -0.2296 0.2926 0.015 0.013 2.404
1.82 0.9 -20.5 -27.3 0.09 -0.03 -0.99 0 0 0 0.0727 0.0287 0.0997 0.014 0.019 2.409
1.85 0.9 -20.5 -27.3 0.07 -0.00 -0.96 0 0 0 0.0356 0.0013 0.0957 0.026 0.016 2.409
1.88 1.2 -20.4 -27.7 0.07 -0.03 -0.98 0 0 0 0.0996 -0.2188 0.1997 0.023 0.019 2.413
1.91 1.2 -20.4 -27.7 0.08 0.01 -0.99 0 0 0 -0.0836 -0.0074 -0.0666 0.024 0.018 2.414
1.94 0.8 -20.5 -27.2 0.12 -0.01 -0.98 0 0 0 -0.0661 0.0123 0.0239 0.028 0.014 2.412
1.97 0.8 -20.5 -27.2 0.13 -0.02 -1.01 0 0 0 0.0930 -0.3305 0.1279 0.026 0.017 2.416
2.00 0.4 -20.1 -27.0 0.16 0.02 -1.00 0 0 0 -0.0991 -0.0428 -0.0778 0.026 0.016 2.416
2.04 0.4 -20.1 -27.0 0.16 -0.01 -1.01 0 0 0 -0.0275 -0.1914 0.1648 0.038 0.009 2.415
2.07 0.8 -20.2 -27.9 0.18 -0.02 -1.05 0 0 0 0.0080 -0.2959 0.0615 0.035 0.010 2.419
2.10 0.8 -20.2 -27.9 0.20 0.02 -1.04 0 0 0 -0.2483 0.1966 -0.1531 0.040 0.005 2.416
2.13 -0.1 -20.5 -29.5 0.18 0.01 -1.06 0 0 0 -0.0852 -0.1243 0.1587 0.052 -0.003 2.416
2.16 -0.1 -20.5 -29.5 0.19 0.01 -1.09 0 0 0 -0.0343 -0.1566 0.0311 0.048 -0.003 2.419
2.19 -0.8 -20.1 -30.5 0.17 -0.02 -0.99 0 0 0 -0.1278 0.4248 0.1157 0.065 -0.011 2.418
2.22 -0.8 -20.1 -30.5 0.15 -0.03 -1.00 0 0 0 0.0556 -0.0539 0.2729 0.074 -0.008 2.425
2.25 -0.5 -20.1 -31.3 0.19 -0.00 -1.09 0 0 0 -0.0364 -0.1621 -0.0538 0.074 -0.007 2.427
2.29 -0.5 -20.1 -31.3 0.09 0.01 -1.08 0 0 0 -0.2057 0.2554 -0.0420 0.080 -0.015 2.423
2.32 -0.2 -19.8 -31.0 0.04 -0.00 -1.01 0 0 0 0.1798 0.1765 0.1692 0.084 -0.013 2.425
2.35 -0.2 -19.8 -31.0 0.08 -0.01 -1.05 0 0 0 0.1180 0.1649 0.0127 0.086 -0.007 2.427
2.38 0.3 -20.1 -30.9 0.09 0.04 -0.99 0 0 0 0.1017 0.1044 -0.0685 0.094 -0.010 2.421
2.41 0.3 -20.1 -30.9 0.03 0.03 -1.03 0 0 0 0.2254 -0.0855 0.0777 0.091 -0.005 2.421
2.44 0.9 -20.9 -31.2 0.01 0.08 -1.05 0 0 0 -0.1216 0.2418 -0.0959 0.091 -0.006 2.420
2.47 0.9 -20.9 -31.2 0.01 0.08 -1.05 0 0 0 -0.0886 0.3339 -0.0274 0.098 -0.015 2.416
2.50 2.4 -20.4 -31.4 -0.05 0.04 -1.00 0 0 0 0.0870 0.2624 0.2227 0.095 -0.015 2.419
2.54 2.4 -20.4 -31.4 -0.06 0.00 -0.92 0 0 0 -0.1118 0.5856 0.1840 0.105 -0.014 2.424
2.57 3.2 -19.5 -31.5 -0.09 -0.03 -0.95 0 0 0 -0.0015 0.1937 0.2245 0.109 -0.015 2.432
2.60 3.2 -19.5 -31.5 -0.10 -0.00 -0.96 0 0 0 0.1173 0.1496 0.2287 0.104 -0.012 2.437
2.63 3.2 -19.6 -31.8 -0.11 0.01 -0.96 0 0 0 -0.0607 0.3632 0.1875 0.097 -0.010 2.443
2.66 3.2 -19.6 -31.8 -0.10 0.02 -0.99 0 0 0 0.0023 0.1065 0.2612 0.095 -0.011 2.449
2.69 3.3 -20.6 -31.5 -0.09 0.01 -1.05 0 0 0 0.1134 -0.1143 0.2404 0.086 -0.009 2.455
2.72 3.3 -20.6 -31.5 -0.08 0.05 -1.03 0 0 0 -0.0184 0.2054 0.2459 0.074 -0.007 2.464
2.75 2.8 -20.4 -30.5 -0.13 0.01 -1.05 0 0 0 0.1105 -0.1024 0.3887 0.067 -0.006 2.472
2.79 2.8 -20.4 -30.5 -0.12 0.00 -1.05 0 0 0 0.1147 -0.1550 0.2593 0.056 -0.001 2.481
2.82 -0.4 -19.7 -30.6 -0.12 0.05 -1.03 0 0 0 -0.0129 0.1320 0.1397 0.049 -0.002 2.485
