iPhone Sensor Log from Crossbow started at Dec 14, 2011 2:09:27 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -16.8 -10.9 -24.9 -0.13 -0.03 -1.22 37.428004 -122.174208 35.9 0.0339 0.0560 -0.4384 -0.093 0.037 0.023
0.06 -16.8 -10.9 -24.9 0.06 -0.05 -1.46 37.428004 -122.174208 35.9 0.2771 0.6772 -0.3951 -0.082 0.037 0.011
0.10 -15.9 -12.6 -24.9 0.20 -0.08 -1.86 37.428004 -122.174208 35.9 1.5384 1.8987 -0.4787 -0.035 0.076 -0.005
0.13 -15.9 -12.6 -24.9 -0.14 0.01 -1.94 37.428004 -122.174208 35.9 2.9027 4.6813 -0.1205 0.060 0.138 -0.014
0.16 -11.3 -15.5 -24.8 0.24 -0.15 -1.97 37.428004 -122.174208 35.9 4.1772 6.4208 -0.2553 0.229 0.244 -0.033
0.19 -11.3 -15.5 -24.8 0.24 -0.15 -1.97 37.428004 -122.174208 35.9 5.8556 7.1823 0.1110 0.431 0.373 -0.084
0.22 1.4 -22.6 -18.5 0.01 0.08 -1.51 37.428004 -122.174208 35.9 7.7344 8.6131 1.2705 0.811 0.606 -0.231
0.25 1.4 -22.6 -18.5 0.12 -0.03 -0.87 37.428004 -122.174208 35.9 7.2240 7.7094 1.0160 1.167 0.747 -0.433
0.28 6.6 -27.6 -8.6 0.05 -0.19 -0.37 37.428004 -122.174208 35.9 7.0953 6.7727 1.1740 1.548 0.817 -0.693
0.31 6.6 -27.6 -8.6 0.33 -0.20 0.76 37.428004 -122.174208 35.9 4.7440 2.9021 1.2111 1.979 0.812 -1.035
0.35 7.3 -30.1 1.8 0.23 -0.22 0.77 37.428004 -122.174208 35.9 2.4918 2.0810 1.3473 2.191 0.801 -1.224
0.38 7.3 -30.1 1.8 0.17 -0.23 0.67 37.428004 -122.174208 35.9 2.0607 2.4298 0.9040 2.324 0.784 -1.320
0.41 4.9 -29.8 10.0 0.08 -0.29 0.81 37.428004 -122.174208 35.9 1.8055 1.6972 0.6056 2.431 0.759 -1.392
0.44 4.9 -29.8 10.0 0.13 -0.38 0.74 37.428004 -122.174208 35.9 1.4131 1.6430 0.2981 2.508 0.733 -1.440
0.47 3.5 -29.3 12.2 0.13 -0.40 0.91 37.428004 -122.174208 35.9 1.2852 1.4569 0.1586 2.597 0.693 -1.490
0.50 3.5 -29.3 12.2 0.08 -0.42 0.93 37.428004 -122.174208 35.9 0.7742 1.2922 0.0880 2.651 0.670 -1.512
0.53 1.6 -29.0 13.6 0.01 -0.47 0.86 37.428004 -122.174208 35.9 0.4350 0.4221 0.1865 2.683 0.657 -1.526
