iPhone Sensor Log from Crossbow started at Dec 14, 2011 2:06:01 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -15.1 -12.7 -29.4 0.10 -0.07 -0.74 37.428036 -122.174192 36.6 0.1446 -0.3107 -0.1287 -0.020 0.059 -0.331
0.07 -14.0 -13.6 -28.1 -0.06 -0.11 -1.43 37.428036 -122.174192 36.6 -0.4325 -0.0697 0.1534 -0.027 0.052 -0.329
0.10 -14.0 -13.6 -28.1 0.14 -0.11 -1.35 37.428036 -122.174192 36.6 0.6159 0.5342 -0.0384 -0.020 0.052 -0.327
0.13 -14.2 -14.0 -26.9 0.26 -0.13 -1.43 37.428036 -122.174192 36.6 2.1185 2.0368 0.0962 0.022 0.113 -0.324
0.16 -14.2 -14.0 -26.9 0.20 -0.18 -1.97 37.428036 -122.174192 36.6 2.5735 4.8190 0.3319 0.165 0.194 -0.326
0.19 -10.2 -16.4 -26.4 0.58 -0.33 -1.96 37.428036 -122.174192 36.6 3.7778 5.0769 0.4281 0.307 0.282 -0.342
0.22 -10.2 -16.4 -26.4 0.24 0.08 -1.97 37.428036 -122.174192 36.6 6.2277 6.3181 1.4156 0.478 0.425 -0.375
0.25 -3.2 -19.7 -23.8 0.24 -0.08 -1.41 37.428036 -122.174192 36.6 8.0621 7.9450 1.8908 0.724 0.625 -0.460
0.28 -3.2 -19.7 -23.8 0.61 -0.59 -0.52 37.428036 -122.174192 36.6 7.8438 8.2084 1.6909 1.223 0.850 -0.745
0.31 4.9 -25.9 -12.2 0.49 -0.27 -0.35 37.428036 -122.174192 36.6 6.4963 9.5234 2.3603 1.707 0.928 -1.042
0.35 4.9 -25.9 -12.2 0.20 -0.01 0.49 37.428036 -122.174192 36.6 5.5482 6.2026 3.1751 2.174 0.938 -1.358
0.38 5.2 -28.8 -2.1 -0.25 0.21 0.67 37.428036 -122.174192 36.6 3.5972 4.8011 3.4065 2.626 0.904 -1.695
0.41 5.2 -28.8 -2.1 -0.56 0.24 0.95 37.428036 -122.174192 36.6 2.4272 2.7561 2.8567 2.945 0.836 -1.927
0.44 0.7 -28.9 9.0 -0.69 0.09 0.83 37.428036 -122.174192 36.6 1.1923 1.2550 2.2724 3.078 0.798 -2.036
0.47 0.7 -28.9 9.0 -0.66 -0.09 0.94 37.428036 -122.174192 36.6 0.5071 -0.2793 1.6926 -3.140 0.778 -2.116
0.50 -2.4 -27.6 11.8 -0.66 -0.24 0.77 37.428036 -122.174192 36.6 0.1124 -0.7360 1.1234 -3.123 0.770 -2.169
