iPhone Sensor Log from Crossbow started at Dec 14, 2011 2:08:41 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -14.5 -13.5 -23.1 -0.27 -0.07 -1.75 37.428036 -122.174192 36.6 -1.3287 -0.8219 0.2492 -0.093 0.045 -0.117
0.06 -14.5 -13.5 -23.1 0.13 -0.06 -0.93 37.428036 -122.174192 36.6 0.3719 0.3248 -0.0399 -0.100 0.026 -0.114
0.10 -15.2 -13.4 -23.5 -0.02 -0.06 -1.03 37.428036 -122.174192 36.6 2.2730 2.3850 -0.1962 -0.053 0.074 -0.117
0.13 -15.2 -13.4 -23.5 0.14 -0.16 -1.71 37.428036 -122.174192 36.6 1.1647 2.1474 0.3114 0.010 0.120 -0.112
0.16 -14.0 -14.5 -23.6 0.49 -0.31 -1.96 37.428036 -122.174192 36.6 2.1207 5.6955 0.1639 0.156 0.175 -0.108
0.19 -14.0 -14.5 -23.6 0.51 -0.24 -1.52 37.428036 -122.174192 36.6 3.8266 7.5028 0.4350 0.425 0.288 -0.136
0.22 -5.4 -18.0 -24.4 0.68 -0.34 -1.42 37.428004 -122.174208 35.9 4.5109 7.3565 1.0935 0.645 0.405 -0.179
0.25 -5.4 -18.0 -24.4 1.01 -0.39 -1.14 37.428004 -122.174208 35.9 4.8944 7.3331 1.4579 0.882 0.524 -0.251
0.28 3.2 -21.5 -21.7 1.01 -0.39 -1.14 37.428004 -122.174208 35.9 5.6057 7.7268 2.4576 1.249 0.682 -0.418
0.31 3.2 -21.5 -21.7 0.81 -0.31 -0.66 37.428004 -122.174208 35.9 5.7682 6.7888 2.9065 1.591 0.782 -0.618
0.35 9.2 -26.9 -9.4 0.62 -0.34 -0.09 37.428004 -122.174208 35.9 5.1968 4.8047 3.0607 1.922 0.837 -0.857
0.38 9.2 -26.9 -9.4 0.43 -0.31 0.40 37.428004 -122.174208 35.9 4.3574 3.5934 3.2673 2.206 0.853 -1.092
0.41 7.8 -29.2 -0.2 0.12 -0.21 0.68 37.428004 -122.174208 35.9 2.9303 2.5150 3.0186 2.537 0.834 -1.367
0.44 7.8 -29.2 -0.2 -0.23 -0.13 1.04 37.428004 -122.174208 35.9 1.3695 0.7217 2.5616 2.723 0.819 -1.560
0.47 2.4 -29.5 8.7 -0.30 -0.16 0.81 37.428004 -122.174208 35.9 0.7757 0.8710 1.8420 2.815 0.816 -1.654
0.50 2.4 -29.5 8.7 -0.34 -0.20 0.82 37.428004 -122.174208 35.9 0.5993 0.3943 1.2685 2.882 0.809 -1.722
0.53 -0.7 -28.5 11.2 -0.46 -0.24 0.86 37.428004 -122.174208 35.9 0.2942 -0.3592 0.5404 2.923 0.800 -1.775
