iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:13:30 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -27.5 14.4 3.8 -0.79 0.04 0.12 37.428024 -122.174271 34.9 -0.1588 -1.4264 1.5222 -1.765 -0.149 2.455
0.06 -27.5 14.4 3.8 -0.83 0.05 0.24 37.428024 -122.174271 34.9 0.0154 -1.0047 1.8067 -1.799 -0.196 2.443
0.10 -26.0 16.2 5.6 -0.86 0.05 0.28 37.428024 -122.174271 34.9 -0.0410 -1.0052 1.7874 -1.829 -0.245 2.430
0.13 -26.0 16.2 5.6 -0.81 0.12 0.14 37.428024 -122.174271 34.9 -0.1892 -1.9623 1.8135 -1.891 -0.308 2.406
0.16 -22.7 19.0 8.8 -0.83 0.11 0.12 37.428024 -122.174271 34.9 0.0594 -1.3231 1.8928 -1.965 -0.372 2.378
0.19 -22.7 19.0 8.8 -0.66 0.10 0.13 37.428024 -122.174271 34.9 0.3327 -1.1532 1.5428 -2.002 -0.418 2.364
0.22 -19.8 21.4 10.0 -0.56 0.15 0.29 37.428024 -122.174271 34.9 0.7956 -1.3601 1.4379 -2.041 -0.463 2.361
0.25 -19.8 21.4 10.0 -0.33 0.20 0.17 37.428024 -122.174271 34.9 0.8702 -0.9456 1.2074 -2.069 -0.506 2.366
0.28 -17.2 23.4 10.4 -0.27 0.29 0.34 37.428024 -122.174271 34.9 1.3772 -0.5944 1.5769 -2.091 -0.570 2.381
0.32 -17.2 23.4 10.4 -0.31 0.26 0.32 37.428024 -122.174271 34.9 1.3939 -0.6085 1.7475 -2.101 -0.630 2.392
0.35 -14.4 26.7 9.3 -0.22 0.22 0.14 37.428024 -122.174271 34.9 1.4704 -0.5223 1.4782 -2.108 -0.690 2.408
0.38 -14.4 26.7 9.3 -0.03 0.28 -0.03 37.428024 -122.174271 34.9 1.5721 -0.1756 1.1653 -2.102 -0.742 2.430
0.41 -12.3 28.8 7.9 -0.08 0.29 -0.14 37.428024 -122.174271 34.9 2.0868 0.4251 1.5633 -2.047 -0.836 2.496
0.44 -12.3 28.8 7.9 -0.40 0.30 -0.37 37.428024 -122.174271 34.9 2.3283 0.4292 1.6849 -1.992 -0.905 2.552
0.47 -8.2 31.4 4.8 -0.63 0.29 -0.53 37.428024 -122.174271 34.9 2.7287 0.4914 1.3718 -1.912 -0.972 2.638
0.50 -8.2 31.4 4.8 -0.78 0.24 -0.67 37.428024 -122.174271 34.9 2.8576 1.0850 0.6649 -1.781 -1.019 2.767
0.53 -6.6 33.2 0.4 -0.93 0.25 -0.88 37.428024 -122.174271 34.9 2.8294 1.4780 -0.2906 -1.554 -1.034 2.969
0.56 -6.6 33.2 0.4 -0.97 0.23 -1.01 37.428024 -122.174271 34.9 3.1355 1.0478 -0.5829 -1.386 -1.012 3.125
0.60 -6.1 35.3 -8.8 -1.10 0.13 -1.07 37.428024 -122.174271 34.9 3.2073 1.0794 -0.4821 -1.234 -0.975 -3.007
0.63 -6.1 35.3 -8.8 -1.17 0.24 -1.62 37.428024 -122.174271 34.9 3.3186 1.3090 -0.8927 -1.090 -0.922 -2.876
0.66 -7.6 35.4 -16.0 -1.00 0.24 -1.88 37.428024 -122.174271 34.9 3.5728 -0.0287 -1.0402 -0.960 -0.794 -2.721
0.69 -7.6 35.4 -16.0 -1.20 0.31 -1.65 37.428024 -122.174271 34.9 4.2304 0.4718 -0.2728 -0.877 -0.716 -2.613
0.72 -11.3 30.2 -26.9 -1.15 0.35 -1.97 37.428024 -122.174271 34.9 3.9373 -0.7395 -0.4351 -0.820 -0.633 -2.511
0.75 -11.3 30.2 -26.9 -1.09 0.51 -1.97 37.428024 -122.174271 34.9 4.1780 -0.7439 -0.5308 -0.797 -0.545 -2.426
0.78 -13.9 22.4 -33.4 -0.84 0.55 -1.99 37.428024 -122.174271 34.9 4.3473 0.1477 -0.6308 -0.750 -0.410 -2.313
0.82 -13.9 22.4 -33.4 -0.69 0.58 -1.98 37.428024 -122.174271 34.9 4.3192 0.0594 -0.2762 -0.721 -0.313 -2.239
0.85 -18.4 4.9 -39.7 -0.93 0.56 -1.99 37.428024 -122.174271 34.9 4.9551 -0.4554 1.2355 -0.701 -0.224 -2.138
0.88 -18.4 4.9 -39.7 -1.00 0.57 -1.99 37.428024 -122.174271 34.9 5.4826 -0.5073 1.9701 -0.693 -0.143 -2.004
0.91 -21.5 -6.4 -37.6 -1.07 0.37 -1.99 37.428024 -122.174271 34.9 5.5037 -0.5929 2.2599 -0.696 -0.010 -1.762
0.94 -21.5 -6.4 -37.6 -0.89 0.19 -1.99 37.428024 -122.174271 34.9 4.7109 -0.4785 1.3266 -0.716 0.066 -1.631
0.97 -25.8 -15.4 -25.0 -1.05 0.14 -1.99 37.428024 -122.174271 34.9 4.5012 -0.4771 0.3840 -0.737 0.146 -1.533
1.00 -25.8 -15.4 -25.0 -0.92 0.21 -1.99 37.428024 -122.174271 34.9 4.2526 -0.2482 -0.7690 -0.766 0.242 -1.450
1.03 -27.0 -18.1 -17.6 -0.85 0.33 -1.99 37.428024 -122.174271 34.9 3.9338 0.4635 -2.1782 -0.782 0.391 -1.387
1.07 -27.0 -18.1 -17.6 -0.55 0.46 -1.79 37.428024 -122.174271 34.9 3.8528 1.2527 -2.8062 -0.768 0.517 -1.359
1.10 -27.2 -21.0 -13.5 -0.33 0.49 -1.28 37.428024 -122.174271 34.9 4.1141 1.1744 -2.9385 -0.745 0.654 -1.340
1.13 -27.2 -21.0 -13.5 -0.23 0.40 -0.94 37.428024 -122.174271 34.9 3.8983 1.3046 -2.4919 -0.726 0.788 -1.317
1.16 -24.2 -29.2 -11.1 -0.09 0.37 -0.38 37.428024 -122.174271 34.9 3.6808 1.4160 -1.6406 -0.731 0.977 -1.242
1.19 -24.2 -29.2 -11.1 -0.18 0.20 -0.06 37.428024 -122.174271 34.9 2.5736 2.1967 -0.9016 -0.723 1.061 -1.187
1.22 -21.7 -35.0 -9.2 -0.12 0.21 0.10 37.428024 -122.174271 34.9 2.0398 0.1317 -0.7373 -0.750 1.123 -1.125
1.25 -21.7 -35.0 -9.2 -0.05 0.03 0.12 37.428024 -122.174271 34.9 1.0681 0.3138 -0.5081 -0.781 1.164 -1.088
1.28 -19.2 -40.9 -5.0 -0.10 -0.19 -0.06 37.428024 -122.174271 34.9 0.3322 0.8055 -0.1965 -0.776 1.189 -1.065
1.31 -19.2 -40.9 -5.0 -0.07 -0.28 -0.06 37.428024 -122.174271 34.9 0.3213 0.4498 -0.0539 -0.768 1.198 -1.055
1.35 -18.3 -42.9 -3.9 -0.12 -0.49 -0.09 37.428024 -122.174271 34.9 0.2339 0.6573 0.3996 -0.783 1.201 -1.024
1.38 -18.3 -42.9 -3.9 -0.34 -0.61 -0.23 37.428024 -122.174271 34.9 0.0810 0.2136 0.7562 -0.810 1.192 -0.982
1.41 -19.3 -43.8 -4.7 -0.40 -0.71 -0.16 37.428024 -122.174271 34.9 0.1073 -0.3030 0.8507 -0.869 1.168 -0.922
1.44 -19.3 -43.8 -4.7 -0.29 -0.77 -0.32 37.428024 -122.174271 34.9 -0.0072 0.0109 0.2880 -0.918 1.157 -0.879
1.47 -20.8 -43.5 -5.1 -0.42 -0.82 -0.29 37.428024 -122.174271 34.9 -0.0315 0.6148 0.3083 -0.915 1.142 -0.871
1.50 -20.8 -43.5 -5.1 -0.46 -0.82 -0.15 37.428024 -122.174271 34.9 0.0080 0.3705 0.4575 -0.923 1.123 -0.847
1.53 -22.2 -43.0 -5.5 -0.38 -0.84 -0.41 37.428024 -122.174271 34.9 0.0125 0.6438 0.3658 -0.959 1.099 -0.798
1.56 -22.2 -43.0 -5.5 -0.42 -0.87 -0.25 37.428024 -122.174271 34.9 0.0779 1.3210 0.2849 -0.926 1.087 -0.798
1.60 -22.7 -42.3 -6.8 -0.53 -0.87 -0.22 37.428024 -122.174271 34.9 0.2780 0.9751 0.4410 -0.918 1.084 -0.768
1.63 -22.7 -42.3 -6.8 -0.54 -0.90 -0.25 37.428024 -122.174271 34.9 -0.0200 0.0358 0.1798 -0.966 1.070 -0.716
1.66 -23.6 -41.3 -8.0 -0.54 -0.90 -0.25 37.428024 -122.174271 34.9 -0.3765 0.4303 -0.4737 -0.961 1.064 -0.718
1.69 -23.6 -41.3 -8.0 -0.38 -0.92 -0.20 37.428024 -122.174271 34.9 -0.5679 0.1005 -0.8045 -0.899 1.077 -0.774
1.72 -23.2 -40.5 -8.6 -0.34 -0.92 -0.39 37.428024 -122.174271 34.9 -0.8642 -0.4244 -0.7621 -0.847 1.079 -0.839
1.75 -23.2 -40.5 -8.6 -0.24 -0.87 -0.36 37.428024 -122.174271 34.9 -0.0923 -0.5144 -0.5924 -0.824 1.086 -0.885
1.78 -22.1 -41.2 -9.4 -0.28 -0.93 -0.25 37.428024 -122.174271 34.9 -0.2951 -0.1288 -0.3489 -0.809 1.105 -0.912
1.82 -22.1 -41.2 -9.4 -0.28 -0.95 -0.28 37.428024 -122.174271 34.9 -0.4926 -0.3523 -0.3935 -0.781 1.108 -0.950
1.85 -20.3 -42.3 -10.6 -0.24 -0.94 -0.43 37.428024 -122.174271 34.9 -0.3320 -0.6436 -0.3879 -0.762 1.107 -0.988
1.88 -20.3 -42.3 -10.6 -0.22 -0.95 -0.27 37.428024 -122.174271 34.9 0.0372 -0.2529 -0.1292 -0.761 1.115 -1.004
1.91 -19.1 -42.4 -10.6 -0.27 -0.95 -0.30 37.428024 -122.174271 34.9 -0.1089 -0.0616 0.0302 -0.760 1.122 -1.008
1.94 -19.1 -42.4 -10.6 -0.25 -0.92 -0.28 37.428024 -122.174271 34.9 -0.1963 -0.3106 -0.0392 -0.758 1.123 -1.021
1.97 -19.3 -42.4 -9.7 -0.25 -0.92 -0.36 37.428024 -122.174271 34.9 -0.1026 0.0304 0.0873 -0.749 1.121 -1.035
2.00 -19.3 -42.4 -9.7 -0.27 -0.93 -0.27 37.428024 -122.174271 34.9 0.0535 0.2905 0.0463 -0.746 1.124 -1.031
2.03 -19.6 -42.3 -9.6 -0.19 -0.93 -0.29 37.428024 -122.174271 34.9 -0.0497 0.0223 0.0070 -0.720 1.130 -1.049
