iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:15:19 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -29.5 5.8 14.3 -0.80 -0.12 0.51 37.428024 -122.174271 34.9 0.4830 -0.0969 0.0589 -2.079 0.094 2.328
0.06 -29.5 5.8 14.3 -0.80 -0.08 0.40 37.428024 -122.174271 34.9 0.2873 -0.0373 0.1363 -2.082 0.087 2.336
0.10 -29.8 5.5 14.3 -0.90 -0.09 0.42 37.428024 -122.174271 34.9 0.3852 -0.0054 0.3211 -2.081 0.077 2.340
0.13 -29.8 5.5 14.3 -0.91 -0.09 0.77 37.428024 -122.174271 34.9 0.5911 -0.3241 0.1121 -2.084 0.050 2.360
0.16 -29.6 4.8 14.3 -0.84 -0.02 0.37 37.428024 -122.174271 34.9 -0.4391 -0.3242 -0.0587 -2.092 0.050 2.360
0.19 -29.6 4.8 14.3 -0.86 -0.08 0.39 37.428024 -122.174271 34.9 -0.3736 0.2614 0.2295 -2.087 0.056 2.346
0.22 -29.4 5.3 14.2 -0.82 -0.09 0.57 37.428024 -122.174271 34.9 0.2171 0.0723 0.4536 -2.082 0.048 2.340
0.25 -29.4 5.3 14.2 -0.80 -0.08 0.44 37.428024 -122.174271 34.9 -0.0640 -0.1587 0.5891 -2.089 0.032 2.336
0.28 -28.7 6.1 14.5 -0.75 -0.05 0.42 37.428024 -122.174271 34.9 0.0581 -0.2915 0.6381 -2.097 0.018 2.326
0.31 -28.7 6.1 14.5 -0.72 -0.01 0.46 37.428024 -122.174271 34.9 0.4056 -0.3439 0.8682 -2.106 -0.004 2.322
0.35 -28.4 7.4 14.9 -0.69 0.03 0.54 37.428024 -122.174271 34.9 0.7291 -0.5180 1.2358 -2.119 -0.039 2.321
0.38 -28.4 7.4 14.9 -0.67 0.10 0.54 37.428024 -122.174271 34.9 0.7781 -0.7847 1.6588 -2.148 -0.116 2.316
0.41 -27.5 11.0 15.5 -0.64 0.09 0.48 37.428024 -122.174271 34.9 0.8916 -0.9723 1.9338 -2.177 -0.172 2.308
0.44 -27.5 11.0 15.5 -0.55 0.08 0.33 37.428024 -122.174271 34.9 0.9145 -0.8147 1.8837 -2.204 -0.230 2.297
0.47 -24.8 14.1 15.9 -0.50 0.10 0.35 37.428024 -122.174271 34.9 1.2074 -0.3256 1.8319 -2.221 -0.289 2.290
0.50 -24.8 14.1 15.9 -0.50 0.10 0.35 37.428024 -122.174271 34.9 1.3802 -0.4664 1.9831 -2.236 -0.375 2.287
0.53 -22.1 16.9 15.9 -0.55 0.15 0.29 37.428024 -122.174271 34.9 1.6551 -0.4896 1.9788 -2.252 -0.446 2.285
0.56 -22.1 16.9 15.9 -0.62 0.24 0.29 37.428024 -122.174271 34.9 1.8739 -0.0047 1.8177 -2.256 -0.517 2.291
0.60 -18.6 22.2 14.5 -0.60 0.28 0.33 37.428024 -122.174271 34.9 2.0707 0.1206 1.5555 -2.244 -0.588 2.308
0.63 -18.6 22.2 14.5 -0.57 0.35 0.17 37.428024 -122.174271 34.9 2.1774 -0.0388 1.4282 -2.223 -0.702 2.350
0.66 -16.3 25.9 12.2 -0.58 0.42 0.14 37.428024 -122.174271 34.9 2.3542 0.2070 1.2397 -2.193 -0.770 2.389
0.69 -16.3 25.9 12.2 -0.55 0.47 0.07 37.428024 -122.174271 34.9 2.3679 -0.0246 1.1043 -2.153 -0.833 2.442
0.72 -13.6 30.6 7.5 -0.53 0.47 -0.11 37.428024 -122.174271 34.9 2.5495 -0.1832 1.1284 -2.110 -0.896 2.505
