iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:16:52 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -15.3 27.9 15.6 -0.59 0.67 0.46 37.427979 -122.174208 34.2 -0.2895 -0.2742 -0.0420 -2.255 -0.685 2.083
0.07 -15.3 27.9 15.6 -0.57 0.59 0.50 37.427979 -122.174208 34.2 -0.2901 0.2557 -0.1160 -2.258 -0.678 2.078
0.10 -16.7 27.7 14.7 -0.70 0.50 0.60 37.427979 -122.174208 34.2 -0.1938 -0.1613 0.0331 -2.262 -0.666 2.070
0.13 -16.7 27.7 14.7 -0.74 0.47 0.60 37.427979 -122.174208 34.2 -0.2494 -0.5116 -0.2121 -2.273 -0.652 2.068
0.16 -16.5 27.8 14.3 -0.75 0.37 0.47 37.427979 -122.174208 34.2 -0.9902 -0.1065 -0.7078 -2.288 -0.628 2.063
0.19 -16.5 27.8 14.3 -0.65 0.27 0.59 37.427979 -122.174208 34.2 -0.4837 -0.0114 -1.1050 -2.285 -0.594 2.065
0.22 -17.2 27.2 14.9 -0.57 0.26 0.39 37.427979 -122.174208 34.2 -0.6921 -0.8342 -1.2815 -2.294 -0.546 2.082
0.25 -17.2 27.2 14.9 -0.39 0.10 0.45 37.427979 -122.174208 34.2 -0.2154 -0.6851 -1.0128 -2.319 -0.503 2.101
0.28 -18.4 25.8 16.7 -0.52 -0.03 0.37 37.427979 -122.174208 34.2 0.1994 -0.2662 -0.2646 -2.323 -0.492 2.116
0.31 -18.4 25.8 16.7 -0.85 -0.15 0.22 37.427979 -122.174208 34.2 0.4469 -0.6710 0.4285 -2.336 -0.502 2.120
0.35 -18.6 25.3 17.8 -0.81 -0.21 0.02 37.427979 -122.174208 34.2 0.8118 -0.3952 0.2953 -2.349 -0.524 2.125
0.38 -18.6 25.3 17.8 -0.72 -0.28 -0.21 37.427979 -122.174208 34.2 0.9614 0.6712 -0.4000 -2.325 -0.542 2.155
0.41 -18.6 26.0 17.3 -0.72 -0.27 -0.46 37.427979 -122.174208 34.2 1.3819 0.5117 -0.4273 -2.289 -0.555 2.193
0.44 -18.6 26.0 17.3 -0.64 -0.19 -0.81 37.427979 -122.174208 34.2 1.9427 0.2772 -0.0757 -2.253 -0.581 2.242
0.47 -18.9 27.2 14.8 -0.41 -0.01 -1.14 37.427979 -122.174208 34.2 3.2099 0.1633 0.2989 -2.188 -0.643 2.332
0.50 -18.9 27.2 14.8 -0.41 -0.01 -1.14 37.427979 -122.174208 34.2 3.8941 0.1238 0.3074 -2.096 -0.727 2.473
0.53 -19.9 29.1 10.9 -0.20 0.25 -1.68 37.427979 -122.174208 34.2 4.9426 0.0944 0.7928 -1.992 -0.797 2.615
0.56 -19.9 29.1 10.9 -0.25 0.54 -1.41 37.427979 -122.174208 34.2 6.1513 -0.4601 1.5242 -1.843 -0.884 2.824
0.60 -19.9 33.6 0.5 -0.71 0.64 -1.06 37.427979 -122.174208 34.2 5.8527 -0.5332 0.7056 -1.575 -0.965 -3.095
0.63 -19.9 33.6 0.5 -0.80 0.57 -1.07 37.427979 -122.174208 34.2 5.0430 0.4292 -0.9868 -1.365 -0.941 -2.839
0.66 -20.5 33.9 -8.5 -0.64 0.43 -1.32 37.427979 -122.174208 34.2 4.3230 0.7975 -1.3514 -1.202 -0.869 -2.656
0.69 -20.5 33.9 -8.5 -0.95 0.26 -1.56 37.427979 -122.174208 34.2 4.3660 0.6538 -0.8331 -1.076 -0.792 -2.514
0.72 -24.0 27.6 -22.6 -1.64 0.02 -1.97 37.427979 -122.174208 34.2 3.5586 1.0159 -0.7321 -0.947 -0.692 -2.360
0.75 -24.0 27.6 -22.6 -1.92 -0.07 -2.00 37.427979 -122.174208 34.2 3.6481 0.7250 -1.1611 -0.853 -0.581 -2.269
0.78 -27.0 19.8 -29.5 -1.97 0.21 -2.00 37.427979 -122.174208 34.2 4.4598 0.7816 -1.5312 -0.799 -0.476 -2.197
0.81 -27.0 19.8 -29.5 -1.95 1.64 -2.01 37.427979 -122.174208 34.2 5.6784 0.7248 -2.4438 -0.752 -0.334 -2.137
0.85 -30.7 2.5 -29.4 -1.95 1.64 -2.01 37.427979 -122.174208 34.2 7.3731 0.4141 -2.6423 -0.712 -0.081 -2.036
0.88 -30.7 2.5 -29.4 -1.95 1.93 -2.01 37.427979 -122.174208 34.2 7.2652 0.8516 -2.4471 -0.697 0.121 -1.957
0.91 -31.1 -8.4 -22.1 -1.76 1.80 -2.01 37.427979 -122.174208 34.2 6.5670 1.0747 -2.4794 -0.686 0.313 -1.885
0.94 -31.1 -8.4 -22.1 -1.33 1.58 -2.00 37.427979 -122.174208 34.2 5.8001 1.7103 -2.6093 -0.668 0.489 -1.830
0.97 -31.0 -18.6 -12.6 -0.73 1.30 -1.67 37.427979 -122.174208 34.2 5.3516 1.6669 -2.3096 -0.644 0.654 -1.784
1.00 -31.0 -18.6 -12.6 -0.58 1.13 -1.38 37.427979 -122.174208 34.2 4.1447 1.2544 -1.7386 -0.642 0.880 -1.699
1.03 -30.7 -25.0 -10.0 -0.37 0.96 -0.88 37.427979 -122.174208 34.2 3.4630 1.8978 -1.7916 -0.628 0.995 -1.660
1.06 -30.7 -25.0 -10.0 -0.08 0.71 -0.48 37.427979 -122.174208 34.2 2.6192 1.4673 -1.3832 -0.600 1.088 -1.637
1.10 -28.2 -34.8 -7.6 0.11 0.43 -0.47 37.427979 -122.174208 34.2 1.7147 0.0482 -0.8669 -0.600 1.153 -1.617
1.13 -28.2 -34.8 -7.6 -0.17 0.24 -0.22 37.427979 -122.174208 34.2 1.4292 0.2252 -0.8768 -0.652 1.220 -1.575
1.16 -26.1 -39.8 -6.3 0.17 -0.04 -0.15 37.427979 -122.174208 34.2 0.4884 1.5415 -0.7338 -0.603 1.252 -1.595
1.19 -26.1 -39.8 -6.3 0.14 -0.36 -0.44 37.427979 -122.174208 34.2 0.0132 0.8750 -0.0690 -0.554 1.262 -1.609
1.22 -23.9 -42.4 -4.9 -0.04 -0.51 -0.21 37.427979 -122.174208 34.2 0.4245 0.4077 0.1818 -0.560 1.266 -1.587
1.25 -23.9 -42.4 -4.9 -0.11 -0.65 -0.12 37.427979 -122.174208 34.2 -0.1728 0.8896 0.3604 -0.566 1.265 -1.539
1.28 -22.5 -44.3 -4.2 -0.14 -0.81 -0.45 37.427979 -122.174208 34.2 -0.3235 0.2246 0.0030 -0.551 1.253 -1.540
1.32 -22.5 -44.3 -4.2 -0.07 -0.86 -0.29 37.427979 -122.174208 34.2 -0.1719 1.1318 0.2725 -0.505 1.246 -1.567
1.35 -22.6 -44.6 -5.0 -0.21 -0.88 -0.34 37.427979 -122.174208 34.2 -0.0606 1.0193 0.4318 -0.495 1.236 -1.542
1.38 -22.6 -44.6 -5.0 -0.26 -0.93 -0.27 37.427979 -122.174208 34.2 -0.0982 0.4267 0.0885 -0.507 1.230 -1.507
1.41 -22.9 -44.9 -6.5 -0.16 -0.90 -0.25 37.427979 -122.174208 34.2 -0.0660 0.3218 -0.0249 -0.499 1.233 -1.507
1.44 -22.9 -44.9 -6.5 -0.12 -0.90 -0.24 37.427979 -122.174208 34.2 -0.0820 0.3875 0.1139 -0.492 1.234 -1.504
1.47 -23.2 -44.4 -7.5 -0.20 -0.88 -0.31 37.427979 -122.174208 34.2 -0.0308 0.5050 0.3462 -0.505 1.228 -1.479
