iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:12:42 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -31.5 8.0 7.1 -1.00 -0.03 0.04 37.428024 -122.174271 34.9 0.1757 0.1673 0.2717 -1.673 -0.001 2.349
0.06 -31.5 8.0 7.1 -1.03 -0.02 0.13 37.428024 -122.174271 34.9 0.5093 -0.1084 0.3147 -1.673 -0.009 2.358
0.10 -31.3 7.8 6.6 -0.98 0.02 0.12 37.428024 -122.174271 34.9 0.4450 0.1250 0.1583 -1.674 -0.019 2.374
0.13 -31.3 7.8 6.6 -0.99 -0.02 0.19 37.428024 -122.174271 34.9 0.3419 0.2806 0.1860 -1.670 -0.023 2.384
0.16 -31.4 9.1 7.4 -0.93 0.01 0.12 37.428024 -122.174271 34.9 0.0044 -0.1348 0.1245 -1.671 -0.027 2.388
0.19 -31.4 9.1 7.4 -0.88 0.04 0.16 37.428024 -122.174271 34.9 0.0688 -0.4863 0.3728 -1.682 -0.033 2.388
0.22 -31.3 11.3 7.3 -0.95 0.02 0.17 37.428024 -122.174271 34.9 -0.1126 -0.3510 0.8915 -1.698 -0.064 2.383
0.25 -31.3 11.3 7.3 -0.97 0.04 0.21 37.428024 -122.174271 34.9 -0.2478 -0.6170 0.8677 -1.714 -0.088 2.375
0.28 -30.5 12.5 6.8 -0.83 0.12 0.05 37.428024 -122.174271 34.9 -0.2945 -0.9013 0.9378 -1.737 -0.111 2.363
0.32 -30.5 12.5 6.8 -0.82 0.14 0.23 37.428024 -122.174271 34.9 0.1931 -0.9394 1.3781 -1.765 -0.145 2.358
0.35 -28.3 13.8 9.1 -0.69 0.18 0.23 37.428024 -122.174271 34.9 0.1180 -1.1344 1.5424 -1.804 -0.200 2.352
0.38 -28.3 13.8 9.1 -0.56 0.23 0.23 37.428024 -122.174271 34.9 0.2558 -1.3529 1.6712 -1.842 -0.245 2.346
