iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:17:02 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -25.1 14.4 24.7 -0.63 0.05 0.40 37.427979 -122.174208 34.2 0.5577 -0.8521 1.3672 -2.592 -0.255 1.953
0.06 -21.9 16.9 25.3 -0.43 0.07 0.45 37.427979 -122.174208 34.2 0.8500 -0.0546 0.5117 -2.607 -0.285 1.941
0.10 -21.9 16.9 25.3 -0.29 0.11 0.70 37.427979 -122.174208 34.2 0.8772 0.3904 0.0205 -2.595 -0.306 1.950
0.13 -19.4 19.7 24.6 -0.42 0.15 0.60 37.427979 -122.174208 34.2 0.8673 -0.0796 0.4591 -2.588 -0.334 1.959
0.16 -19.4 19.7 24.6 -0.35 0.17 0.35 37.427979 -122.174208 34.2 0.4073 0.1859 0.5204 -2.608 -0.371 1.949
0.19 -18.7 21.5 24.2 -0.23 0.12 0.40 37.427979 -122.174208 34.2 0.7011 1.3995 0.5398 -2.582 -0.390 1.944
0.22 -18.7 21.5 24.2 -0.09 0.12 0.23 37.427979 -122.174208 34.2 0.9005 0.9166 1.0328 -2.550 -0.423 1.938
0.25 -17.2 24.1 22.7 -0.03 0.14 0.09 37.427979 -122.174208 34.2 1.1885 0.8855 1.4812 -2.536 -0.469 1.923
0.28 -17.2 24.1 22.7 -0.03 0.23 -0.00 37.427979 -122.174208 34.2 1.5610 1.5771 1.8340 -2.501 -0.546 1.901
0.32 -16.4 25.7 20.8 -0.16 0.32 -0.14 37.427979 -122.174208 34.2 1.9751 1.3954 2.4023 -2.470 -0.622 1.880
0.35 -16.4 25.7 20.8 -0.41 0.36 -0.26 37.427979 -122.174208 34.2 2.2152 1.0536 2.7444 -2.454 -0.714 1.855
0.38 -14.1 27.7 18.2 -0.69 0.36 -0.38 37.427979 -122.174208 34.2 2.3690 1.5224 2.5929 -2.432 -0.813 1.834
0.41 -14.1 27.7 18.2 -0.73 0.37 -0.70 37.427979 -122.174208 34.2 2.7085 1.2219 1.4345 -2.351 -0.963 1.856
0.44 -10.0 31.0 12.5 -0.90 0.45 -0.62 37.427979 -122.174208 34.2 3.3196 1.0764 0.7941 -2.253 -1.041 1.936
0.47 -10.0 31.0 12.5 -0.99 0.48 -0.78 37.427979 -122.174208 34.2 3.1894 0.9700 0.1907 -2.097 -1.104 2.080
0.50 -8.8 33.3 8.0 -0.99 0.45 -0.99 37.427979 -122.174208 34.2 3.4903 0.5396 -0.1543 -1.900 -1.144 2.277
0.53 -8.8 33.3 8.0 -1.10 0.53 -1.10 37.427979 -122.174208 34.2 3.5386 0.3868 -0.6983 -1.597 -1.148 2.595
0.56 -8.0 35.8 -1.0 -1.04 0.49 -1.18 37.427979 -122.174208 34.2 3.7984 0.9483 -0.8406 -1.359 -1.117 2.839
0.60 -8.0 35.8 -1.0 -0.98 0.44 -1.67 37.427979 -122.174208 34.2 3.6187 0.7641 -1.2586 -1.161 -1.058 3.033
0.63 -8.8 36.0 -8.6 -0.99 0.48 -1.99 37.427979 -122.174208 34.2 3.2822 0.2852 -1.5863 -1.042 -0.978 -3.124
0.66 -8.8 36.0 -8.6 -1.08 0.41 -1.99 37.427979 -122.174208 34.2 2.9445 1.1459 -1.6101 -0.919 -0.836 -3.004
0.69 -13.1 33.8 -20.9 -1.00 0.65 -1.99 37.427979 -122.174208 34.2 3.3152 1.2868 -1.7352 -0.844 -0.744 -2.948
0.72 -13.1 33.8 -20.9 -0.99 0.76 -1.99 37.427979 -122.174208 34.2 3.5312 0.8633 -1.8103 -0.787 -0.642 -2.903
0.75 -16.6 28.0 -29.4 -1.30 0.82 -2.00 37.427979 -122.174208 34.2 3.8187 1.4280 -1.1664 -0.730 -0.539 -2.855
0.78 -16.6 28.0 -29.4 -1.36 1.14 -2.00 37.427979 -122.174208 34.2 4.9072 0.9204 -0.5447 -0.642 -0.398 -2.762
0.81 -19.2 9.5 -39.0 -1.00 1.49 -2.00 37.427979 -122.174208 34.2 5.6758 1.3527 -0.9856 -0.589 -0.261 -2.690
0.85 -19.2 9.5 -39.0 -1.00 1.49 -2.00 37.427979 -122.174208 34.2 5.9003 1.2935 -0.7268 -0.538 -0.112 -2.623
0.88 -19.0 -5.8 -37.4 -0.95 1.44 -1.99 37.427979 -122.174208 34.2 5.9778 1.0497 -0.3135 -0.504 0.038 -2.552
0.91 -19.0 -5.8 -37.4 -0.91 1.24 -1.98 37.427979 -122.174208 34.2 5.5452 1.4034 -0.6464 -0.472 0.290 -2.438
0.94 -19.2 -17.9 -29.4 -0.64 0.89 -1.47 37.427979 -122.174208 34.2 4.4667 1.5843 -0.9227 -0.443 0.424 -2.395
0.97 -19.2 -17.9 -29.4 -0.35 0.77 -1.46 37.427979 -122.174208 34.2 3.7012 1.3224 -0.8250 -0.417 0.534 -2.370
1.00 -20.3 -28.8 -17.7 -0.30 0.58 -1.08 37.427979 -122.174208 34.2 3.7227 1.0749 -0.0948 -0.404 0.634 -2.333
1.03 -20.3 -28.8 -17.7 -0.48 0.34 -0.80 37.427979 -122.174208 34.2 2.8765 0.3289 -0.1239 -0.426 0.739 -2.265
1.06 -20.3 -32.7 -13.4 -0.18 0.28 -0.87 37.427979 -122.174208 34.2 2.3799 0.9085 -0.9972 -0.423 0.809 -2.247
1.10 -20.3 -32.7 -13.4 -0.05 0.06 -0.57 37.427979 -122.174208 34.2 2.2775 2.1436 -0.6244 -0.379 0.881 -2.243
1.13 -19.9 -37.3 -10.0 -0.30 -0.02 -0.42 37.427979 -122.174208 34.2 1.9630 1.1978 0.1264 -0.351 0.934 -2.217
1.16 -19.9 -37.3 -10.0 -0.25 -0.17 -0.28 37.427979 -122.174208 34.2 1.7670 0.3237 -0.0870 -0.375 0.998 -2.167
1.19 -19.1 -39.8 -7.2 -0.13 -0.26 -0.14 37.427979 -122.174208 34.2 1.1642 1.4677 -0.2522 -0.355 1.057 -2.146
1.22 -19.1 -39.8 -7.2 -0.22 -0.36 -0.32 37.427979 -122.174208 34.2 0.6226 0.7362 0.1644 -0.340 1.077 -2.130
1.25 -17.3 -42.3 -4.5 -0.23 -0.42 -0.28 37.427979 -122.174208 34.2 0.8744 0.7557 0.0375 -0.341 1.095 -2.109
1.28 -17.3 -42.3 -4.5 -0.18 -0.51 -0.30 37.427979 -122.174208 34.2 0.5706 0.9697 0.0645 -0.322 1.122 -2.087
1.31 -16.5 -43.6 -3.9 -0.23 -0.58 -0.27 37.427979 -122.174208 34.2 0.6279 0.3246 0.4251 -0.334 1.135 -2.058
1.35 -16.5 -43.6 -3.9 -0.24 -0.61 -0.24 37.427979 -122.174208 34.2 0.7250 0.2692 0.4928 -0.371 1.148 -2.010
1.38 -17.3 -45.8 -2.9 -0.29 -0.65 -0.34 37.427979 -122.174208 34.2 0.7006 0.8420 0.5180 -0.402 1.161 -1.959
