iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:14:21 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -26.0 14.0 12.6 -0.96 0.19 0.63 37.428024 -122.174271 34.9 0.2205 -0.5143 -0.2402 -2.204 -0.073 2.614
0.07 -27.0 12.2 11.8 -0.99 0.20 0.69 37.428024 -122.174271 34.9 0.2839 -0.2130 -0.1411 -2.211 -0.073 2.623
0.10 -27.0 12.2 11.8 -0.89 0.20 0.73 37.428024 -122.174271 34.9 0.0122 -1.2039 0.5019 -2.229 -0.083 2.623
0.13 -27.2 12.0 12.4 -0.97 0.31 0.66 37.428024 -122.174271 34.9 -0.1849 -1.9712 1.1065 -2.280 -0.099 2.604
0.16 -27.2 12.0 12.4 -0.89 0.19 0.64 37.428024 -122.174271 34.9 0.1191 -0.6965 1.2432 -2.320 -0.128 2.583
0.19 -25.6 13.0 14.8 -0.72 0.25 0.69 37.428024 -122.174271 34.9 -0.1363 -0.9969 0.9362 -2.344 -0.147 2.561
0.22 -25.6 13.0 14.8 -0.67 0.26 0.66 37.428024 -122.174271 34.9 -0.0510 -1.3481 1.3970 -2.400 -0.179 2.528
0.25 -23.2 14.2 16.6 -0.45 0.23 0.66 37.428024 -122.174271 34.9 -0.0608 -0.9328 1.3945 -2.437 -0.202 2.497
0.28 -23.2 14.2 16.6 -0.37 0.26 0.77 37.428024 -122.174271 34.9 0.1575 -1.0169 1.7722 -2.470 -0.231 2.463
0.31 -20.4 16.5 18.1 -0.26 0.19 0.73 37.428024 -122.174271 34.9 0.3181 -1.4129 2.3330 -2.518 -0.274 2.419
0.35 -20.4 16.5 18.1 -0.03 0.21 0.47 37.428024 -122.174271 34.9 0.3121 -1.1861 2.3292 -2.588 -0.332 2.349
0.38 -17.2 18.7 19.6 -0.08 0.20 0.44 37.428024 -122.174271 34.9 0.6730 -0.8858 3.0614 -2.655 -0.396 2.266
0.41 -17.2 18.7 19.6 -0.29 0.16 0.43 37.428024 -122.174271 34.9 1.3078 -0.7010 3.3180 -2.709 -0.464 2.192
0.44 -13.0 21.9 20.2 -0.29 0.16 0.43 37.428024 -122.174271 34.9 1.4963 -0.3608 3.1338 -2.760 -0.536 2.115
0.47 -13.0 21.9 20.2 -0.27 0.05 0.36 37.428024 -122.174271 34.9 1.6268 -0.1908 2.6095 -2.821 -0.629 2.022
0.50 -5.2 25.9 17.9 -0.31 -0.01 0.08 37.428024 -122.174271 34.9 1.8545 0.2688 2.2109 -2.858 -0.694 1.960
0.53 -5.2 25.9 17.9 -0.45 -0.07 -0.18 37.428024 -122.174271 34.9 2.1413 0.3934 1.7328 -2.879 -0.763 1.910
0.57 -1.1 27.5 15.3 -0.45 -0.10 -0.37 37.428024 -122.174271 34.9 2.8252 0.3583 1.3079 -2.893 -0.843 1.879
0.60 -1.1 27.5 15.3 -0.59 -0.00 -0.43 37.428024 -122.174271 34.9 3.6941 0.4262 0.9798 -2.886 -1.007 1.863
0.63 2.9 29.9 10.2 -0.96 0.09 -0.65 37.428024 -122.174271 34.9 4.5412 -0.3814 0.2958 -2.864 -1.123 1.893
