iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:51:51 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.41 1.1 -22.3 -24.2 -0.06 0.00 -1.04 0 0 0 -0.0541 -0.2348 -0.0653 -0.036 -0.003 -1.260
1.44 1.1 -22.3 -24.2 -0.03 -0.02 -1.00 0 0 0 0.1722 0.0573 0.0520 -0.039 0.001 -1.260
1.47 0.4 -22.2 -24.3 -0.07 -0.06 -1.01 0 0 0 -0.1212 0.0430 -0.0041 -0.037 0.009 -1.257
1.51 0.4 -22.2 -24.3 -0.00 -0.02 -1.05 0 0 0 -0.2208 -0.0559 -0.2112 -0.036 0.003 -1.261
1.54 -0.3 -22.1 -24.7 0.02 0.04 -1.00 0 0 0 0.1553 0.0171 -0.2213 -0.036 0.001 -1.268
1.57 -0.3 -22.1 -24.7 -0.01 -0.02 -0.96 0 0 0 0.2180 0.0804 -0.0277 -0.031 0.011 -1.271
1.60 0.1 -21.9 -24.8 0.02 -0.02 -0.98 0 0 0 0.0460 -0.0354 -0.0892 -0.030 0.014 -1.273
1.63 0.1 -21.9 -24.8 -0.00 0.02 -0.94 0 0 0 -0.0405 -0.0922 -0.3080 -0.032 0.012 -1.283
1.66 0.3 -22.6 -24.3 0.02 0.00 -0.88 0 0 0 0.2666 0.0259 -0.1620 -0.031 0.014 -1.291
1.69 0.3 -22.6 -24.3 0.03 -0.05 -0.80 0 0 0 0.6048 -0.0772 -0.1131 -0.033 0.027 -1.294
1.73 1.0 -22.8 -24.6 0.01 -0.11 -0.72 0 0 0 0.2190 -0.0704 -0.1693 -0.036 0.044 -1.299
1.76 1.0 -22.8 -24.6 0.04 -0.02 -0.73 0 0 0 -0.2069 -0.1780 -0.2828 -0.039 0.042 -1.306
1.79 0.9 -23.2 -23.8 -0.02 0.01 -0.67 0 0 0 0.0013 -0.0083 -0.0178 -0.042 0.038 -1.312
1.82 0.9 -23.2 -23.8 0.06 -0.13 -0.88 0 0 0 1.7776 -0.7941 0.4662 -0.053 0.082 -1.290
1.85 0.6 -23.2 -22.9 -0.06 -0.16 -0.80 0 0 0 0.6661 -1.1656 -0.4140 -0.084 0.117 -1.290
1.88 0.6 -23.2 -22.9 -0.14 -0.01 -0.74 0 0 0 -0.8726 0.0737 -0.4177 -0.096 0.110 -1.303
1.91 0.6 -24.0 -22.6 0.08 -0.12 -0.98 0 0 0 -0.9978 0.3384 0.1662 -0.082 0.070 -1.312
1.94 0.6 -24.0 -22.6 -0.05 0.03 -0.94 0 0 0 0.4761 0.3594 0.2587 -0.076 0.059 -1.306
1.97 0.3 -24.5 -22.5 -0.02 -0.16 -0.78 0 0 0 1.0625 0.6495 -0.1258 -0.060 0.086 -1.303
2.01 0.3 -24.5 -22.5 0.05 -0.09 -1.05 0 0 0 -0.3987 0.0696 -0.1893 -0.041 0.091 -1.312
2.04 0.3 -24.5 -22.6 -0.10 0.11 -0.97 0 0 0 -0.1963 0.0227 -0.7879 -0.045 0.075 -1.327
2.07 0.3 -24.5 -22.6 0.13 -0.08 -1.15 0 0 0 -1.0462 0.5424 0.0637 -0.030 0.051 -1.344
