iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:51:37 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.41 -3.7 -22.6 -24.2 0.00 -0.05 -0.99 0 0 0 -0.0972 0.0988 -0.0593 -0.007 0.045 -1.125
1.44 -3.8 -22.5 -24.2 0.01 0.02 -0.97 0 0 0 0.0402 -0.0545 -0.1259 -0.006 0.042 -1.128
1.47 -3.8 -22.5 -24.2 -0.02 -0.04 -0.92 0 0 0 0.0949 0.2663 0.0190 -0.003 0.045 -1.131
1.50 -2.6 -22.5 -23.8 -0.02 -0.01 -0.82 0 0 0 0.1034 0.2313 0.0029 0.004 0.048 -1.130
1.54 -2.6 -22.5 -23.8 0.01 -0.03 -0.72 0 0 0 0.2587 0.1282 -0.0852 0.009 0.054 -1.133
1.57 -3.0 -24.0 -23.7 0.05 -0.01 -0.67 0 0 0 0.3965 0.1242 -0.0556 0.013 0.064 -1.136
1.60 -3.0 -24.0 -23.7 0.05 -0.06 -0.67 0 0 0 0.5698 -0.0426 0.2444 0.012 0.076 -1.134
1.63 -3.1 -24.3 -24.2 0.08 -0.15 -0.80 0 0 0 0.6441 -0.1709 -0.3052 0.011 0.109 -1.129
1.66 -3.1 -24.3 -24.2 -0.02 -0.08 -0.73 0 0 0 0.0141 -0.4750 -0.4568 0.002 0.117 -1.143
1.69 -2.9 -23.6 -23.2 0.03 -0.21 -0.90 0 0 0 -0.4788 -0.0903 -0.0897 -0.004 0.110 -1.150
1.72 -2.9 -23.6 -23.2 -0.01 -0.13 -1.02 0 0 0 0.0616 -0.0087 -0.4779 -0.005 0.106 -1.157
1.75 -2.9 -23.7 -23.0 -0.12 0.04 -0.84 0 0 0 0.1203 0.1425 -0.9677 -0.005 0.109 -1.179
1.79 -2.9 -23.7 -23.0 0.09 -0.08 -0.94 0 0 0 -0.4359 0.7559 -0.8881 0.011 0.104 -1.205
1.82 -2.1 -23.3 -24.2 0.15 -0.00 -1.07 0 0 0 -0.0944 0.4836 -0.5864 0.051 0.084 -1.237
1.85 -2.1 -23.3 -24.2 -0.01 -0.02 -1.02 0 0 0 0.3503 0.0562 -0.5007 0.054 0.086 -1.252
1.88 -0.5 -24.2 -24.6 0.11 -0.12 -1.12 0 0 0 0.0028 0.5490 -0.3438 0.066 0.094 -1.267
1.91 -0.5 -24.2 -24.6 0.15 -0.03 -1.04 0 0 0 -0.1411 0.2425 -0.3522 0.080 0.087 -1.277
1.94 1.5 -24.2 -24.2 0.07 -0.05 -1.08 0 0 0 0.3071 0.0883 -0.1623 0.084 0.086 -1.284
1.97 1.5 -24.2 -24.2 0.17 -0.10 -1.16 0 0 0 -0.2576 -0.0633 0.0370 0.086 0.092 -1.289
2.00 2.8 -23.1 -24.2 0.07 -0.02 -1.12 0 0 0 -0.2797 -0.2921 0.0709 0.080 0.083 -1.286
2.04 2.8 -23.1 -24.2 0.07 -0.02 -1.12 0 0 0 -0.1276 -0.1397 -0.0432 0.072 0.078 -1.287
2.07 2.6 -22.3 -24.6 0.11 -0.13 -1.20 0 0 0 -0.6048 -0.6334 0.1658 0.060 0.059 -1.284
2.10 2.6 -22.3 -24.6 0.07 -0.11 -1.34 0 0 0 0.2308 -0.6560 0.1273 0.041 0.057 -1.280
