iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:52:44 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.04 5.5 -20.6 -29.1 0.07 0.01 -0.99 0 0 0 -0.0682 -0.0103 -0.0151 0.078 0.003 -1.897
0.07 6.1 -20.2 -26.4 0.08 -0.02 -1.00 0 0 0 -0.0755 -0.0563 0.0626 0.076 0.003 -1.897
0.10 6.1 -20.2 -26.4 0.07 -0.01 -0.98 0 0 0 -0.1170 -0.1991 0.0766 0.072 0.002 -1.895
0.13 5.0 -20.9 -25.3 0.03 0.01 -1.05 0 0 0 -0.3596 -0.2478 -0.0867 0.061 -0.008 -1.895
0.16 5.0 -20.9 -25.3 0.05 0.01 -1.03 0 0 0 -0.1125 -0.2966 -0.1021 0.053 -0.014 -1.898
0.20 3.8 -20.5 -26.0 0.07 0.01 -1.04 0 0 0 -0.0491 -0.2885 -0.0678 0.045 -0.016 -1.901
0.23 3.8 -20.5 -26.0 0.00 0.03 -1.02 0 0 0 0.0055 -0.2146 0.0238 0.031 -0.017 -1.902
0.25 2.1 -20.0 -26.1 0.02 0.03 -0.99 0 0 0 -0.0425 -0.1374 -0.0328 0.025 -0.018 -1.902
0.29 2.1 -20.0 -26.1 0.07 -0.00 -1.04 0 0 0 -0.1467 -0.0951 -0.1220 0.023 -0.020 -1.905
0.32 0.7 -20.0 -25.4 0.02 0.04 -1.02 0 0 0 0.0354 -0.2165 0.0310 0.017 -0.023 -1.907
0.35 0.7 -20.0 -25.4 0.10 0.03 -1.07 0 0 0 -0.1263 -0.1619 -0.0523 0.014 -0.024 -1.907
0.38 0.4 -19.6 -26.2 0.18 0.04 -1.08 0 0 0 -0.1195 -0.6115 -0.1706 0.008 -0.029 -1.911
0.41 0.4 -19.6 -26.2 0.18 0.11 -1.01 0 0 0 0.0246 -0.6914 -0.1514 -0.027 -0.030 -1.920
0.44 -0.1 -18.8 -27.0 0.24 0.02 -1.01 0 0 0 0.1899 -0.3554 -0.1414 -0.040 -0.028 -1.923
0.48 -0.1 -18.8 -27.0 0.18 -0.04 -1.06 0 0 0 1.0585 -0.6043 -0.7847 -0.046 0.002 -1.945
0.51 -0.3 -19.2 -26.1 0.18 -0.04 -1.06 0 0 0 0.7767 -0.9817 -0.3717 -0.070 0.027 -1.959
0.54 -0.3 -19.2 -26.1 0.14 0.02 -1.04 0 0 0 0.1368 -0.3631 -0.0237 -0.088 0.038 -1.962
0.57 -0.9 -20.3 -25.1 0.09 0.00 -1.02 0 0 0 -0.3844 0.5067 0.0645 -0.075 0.032 -1.963
0.60 -0.9 -20.3 -25.1 0.12 -0.05 -1.00 0 0 0 -0.3877 0.0839 0.4259 -0.047 0.009 -1.955
0.63 -1.3 -20.5 -25.1 0.11 0.03 -0.98 0 0 0 0.3265 -0.2742 0.4839 -0.048 0.007 -1.943
0.66 -1.3 -20.5 -25.1 0.01 -0.01 -1.00 0 0 0 0.4227 0.2068 0.2419 -0.045 0.025 -1.932
0.69 -1.7 -20.9 -25.1 0.03 -0.02 -0.98 0 0 0 -0.2851 0.2309 0.4128 -0.033 0.025 -1.923
0.72 -1.7 -20.9 -25.1 0.10 -0.01 -1.04 0 0 0 -0.4000 -0.2195 0.4626 -0.031 0.012 -1.912
0.76 -1.5 -20.8 -25.3 -0.02 0.04 -1.03 0 0 0 0.3102 -0.0295 0.4415 -0.041 0.016 -1.893
0.79 -1.5 -20.8 -25.3 -0.01 -0.01 -0.97 0 0 0 0.1835 0.2778 0.7203 -0.036 0.021 -1.877
0.82 -1.9 -20.2 -26.1 0.09 -0.02 -1.07 0 0 0 0.2369 0.1564 0.3155 -0.024 0.028 -1.860
0.85 -1.9 -20.2 -26.1 -0.07 0.03 -1.03 0 0 0 0.2868 -0.2199 0.4661 -0.031 0.032 -1.850
0.88 -2.4 -20.6 -26.4 -0.09 -0.07 -1.01 0 0 0 0.5780 -0.0408 0.6552 -0.036 0.044 -1.834
0.91 -2.4 -20.6 -26.4 -0.13 -0.09 -1.04 0 0 0 0.5787 0.0786 0.3256 -0.035 0.060 -1.821
0.94 -3.3 -21.8 -25.2 -0.29 -0.03 -1.01 0 0 0 -0.0954 0.6099 0.2601 -0.045 0.060 -1.809
0.97 -3.3 -21.8 -25.2 -0.28 -0.02 -0.98 0 0 0 -0.0157 0.7304 0.3027 -0.034 0.057 -1.803
1.01 -3.5 -22.2 -24.9 -0.37 -0.04 -0.99 0 0 0 -0.1893 0.5373 0.4668 -0.018 0.053 -1.790
1.03 -3.5 -22.2 -24.9 -0.43 -0.03 -0.93 0 0 0 -0.0368 0.4005 0.5136 -0.009 0.049 -1.777
1.07 -3.2 -23.8 -24.1 -0.37 -0.12 -0.96 0 0 0 0.1293 0.2895 0.4328 -0.014 0.053 -1.764
1.10 -3.2 -23.8 -24.1 -0.29 -0.01 -0.97 0 0 0 -0.3936 0.3898 0.0635 -0.024 0.046 -1.755
1.13 -2.3 -23.2 -23.8 -0.24 -0.01 -1.01 0 0 0 -0.2062 0.1816 0.1776 -0.024 0.036 -1.753
1.16 -2.3 -23.2 -23.8 -0.22 -0.07 -0.94 0 0 0 0.2596 -0.0327 0.1806 -0.038 0.041 -1.747
1.19 -1.0 -21.9 -24.5 -0.15 -0.01 -0.96 0 0 0 -0.3120 0.4264 0.0193 -0.043 0.040 -1.745
1.22 -1.0 -21.9 -24.5 -0.09 -0.01 -1.03 0 0 0 -0.2177 0.1408 0.0827 -0.038 0.029 -1.744
1.25 -0.1 -21.9 -24.5 -0.11 -0.08 -1.02 0 0 0 0.4225 -0.2859 0.1317 -0.051 0.039 -1.739
1.29 -0.1 -21.9 -24.5 -0.08 -0.06 -0.94 0 0 0 -0.0222 0.2372 -0.0746 -0.053 0.049 -1.740
1.32 -0.0 -21.5 -25.0 -0.01 -0.03 -1.01 0 0 0 -0.3049 0.1575 -0.0263 -0.045 0.042 -1.742
1.35 -0.0 -21.5 -25.0 -0.03 -0.05 -1.01 0 0 0 0.0192 0.0384 -0.0332 -0.042 0.037 -1.744
1.38 -0.7 -20.8 -25.5 0.01 -0.02 -0.99 0 0 0 0.1043 0.0867 -0.0897 -0.037 0.039 -1.746
1.41 -0.7 -20.8 -25.5 0.01 -0.05 -0.92 0 0 0 0.2019 -0.0443 -0.0992 -0.036 0.043 -1.749
1.44 -0.3 -20.5 -25.9 0.02 -0.08 -0.94 0 0 0 -0.1898 0.1746 -0.0738 -0.029 0.047 -1.753
1.47 -0.3 -20.5 -25.9 0.02 -0.02 -0.89 0 0 0 -0.1104 0.1054 -0.0774 -0.023 0.042 -1.756
1.50 0.2 -21.4 -26.0 0.03 -0.08 -0.82 0 0 0 0.6338 0.0135 0.0549 -0.022 0.050 -1.756
1.54 0.2 -21.4 -26.0 -0.01 -0.09 -0.67 0 0 0 0.8291 -0.2349 -0.0110 -0.027 0.079 -1.756
1.57 -0.0 -22.5 -25.1 -0.03 -0.13 -0.68 0 0 0 0.8330 -0.1431 0.1678 -0.033 0.100 -1.754
1.60 -0.0 -22.5 -25.1 -0.03 -0.13 -0.68 0 0 0 1.1111 -0.1888 0.1894 -0.038 0.127 -1.747
1.63 -1.6 -24.7 -23.0 -0.04 -0.19 -0.67 0 0 0 1.1250 0.0487 0.1015 -0.044 0.175 -1.740
1.66 -1.6 -24.7 -23.0 0.02 -0.20 -0.86 0 0 0 0.8733 -0.2891 -0.2351 -0.047 0.203 -1.741
1.70 -1.5 -25.2 -21.8 -0.07 -0.05 -0.65 0 0 0 -0.2385 0.1662 -0.5202 -0.047 0.214 -1.759
1.72 -1.5 -25.2 -21.8 0.03 -0.16 -0.87 0 0 0 -0.8640 0.1898 0.0972 -0.041 0.196 -1.765
1.76 -1.7 -24.7 -21.5 -0.04 -0.19 -1.07 0 0 0 -0.0394 -0.2494 0.2164 -0.045 0.183 -1.760
1.79 -1.7 -24.7 -21.5 -0.04 -0.17 -0.95 0 0 0 0.6384 -0.0250 -0.1838 -0.049 0.195 -1.760
1.82 -2.7 -24.4 -22.0 -0.02 -0.24 -0.96 0 0 0 -0.4944 0.5731 -0.4156 -0.030 0.199 -1.779
1.85 -2.7 -24.4 -22.0 -0.01 -0.07 -0.87 0 0 0 -0.6875 0.6383 -0.4511 -0.011 0.182 -1.791
1.88 -2.2 -24.3 -22.5 0.18 -0.22 -1.08 0 0 0 -1.0713 0.4406 -0.5244 0.006 0.159 -1.806
1.91 -2.2 -24.3 -22.5 0.10 -0.09 -1.18 0 0 0 -0.8529 -0.6524 -0.1695 -0.001 0.122 -1.818
1.94 -1.4 -22.6 -23.7 -0.03 -0.01 -1.17 0 0 0 -0.2983 -0.7285 0.0074 -0.021 0.108 -1.820
1.97 -1.4 -22.6 -23.7 0.04 -0.11 -1.30 0 0 0 -0.3539 0.2511 0.5216 -0.028 0.096 -1.812
2.01 -1.2 -22.0 -24.8 0.04 -0.15 -1.23 0 0 0 0.0842 0.5651 0.3646 -0.011 0.094 -1.793
2.03 -1.2 -22.0 -24.8 0.06 -0.13 -1.14 0 0 0 -0.0348 0.1951 -0.1910 -0.002 0.095 -1.793
2.07 -0.9 -22.0 -25.8 0.09 -0.06 -1.29 0 0 0 -0.3912 -0.2236 -0.3171 -0.004 0.083 -1.805
2.10 -0.9 -22.0 -25.8 0.06 -0.01 -1.20 0 0 0 0.0455 0.0018 -0.3428 -0.007 0.080 -1.814
2.13 -0.7 -20.8 -27.1 0.08 -0.06 -1.15 0 0 0 -0.2140 -0.0514 -0.1107 -0.006 0.078 -1.821
2.16 -0.7 -20.8 -27.1 0.06 -0.04 -1.20 0 0 0 -0.2388 -0.4550 -0.1521 -0.021 0.066 -1.824
2.19 -0.4 -20.0 -30.0 -0.04 -0.04 -1.16 0 0 0 -0.1802 -0.3950 -0.1740 -0.033 0.062 -1.830
2.22 -0.4 -20.0 -30.0 0.02 -0.09 -1.13 0 0 0 -0.2871 0.0854 0.1058 -0.037 0.055 -1.831
2.25 -0.9 -19.8 -30.7 0.09 -0.09 -1.08 0 0 0 -0.3232 0.4585 0.0821 -0.017 0.046 -1.829
2.29 -0.9 -19.8 -30.7 0.02 -0.09 -1.06 0 0 0 -0.1686 0.1159 0.0999 -0.008 0.042 -1.827
2.32 -1.4 -19.7 -30.3 0.01 -0.08 -1.05 0 0 0 -0.2455 -0.0321 -0.0164 -0.009 0.041 -1.826
2.35 -1.4 -19.7 -30.3 0.01 -0.05 -1.15 0 0 0 -0.3555 0.1390 0.0569 -0.006 0.032 -1.826
2.38 -0.6 -19.5 -30.5 -0.01 -0.08 -1.01 0 0 0 0.2403 0.3221 0.1789 -0.000 0.033 -1.823
2.41 -0.6 -19.5 -30.5 0.04 -0.09 -0.99 0 0 0 0.1572 0.2588 0.0165 0.013 0.047 -1.820
2.44 -0.4 -20.0 -30.6 0.04 -0.00 -1.02 0 0 0 0.0970 0.0129 0.0173 0.018 0.047 -1.820
2.47 -0.4 -20.0 -30.6 0.04 -0.01 -1.01 0 0 0 0.1402 0.0803 -0.0741 0.020 0.049 -1.822
2.51 -0.0 -19.7 -29.5 0.05 -0.03 -0.99 0 0 0 0.1170 0.2417 0.2171 0.032 0.051 -1.821
2.53 -0.0 -19.7 -29.5 0.07 -0.05 -1.13 0 0 0 0.1483 0.1412 0.2910 0.036 0.055 -1.814
2.57 -0.2 -19.5 -28.4 0.13 -0.07 -0.78 0 0 0 0.8375 0.4125 0.0239 0.044 0.070 -1.810
2.60 -0.2 -19.5 -28.4 0.00 -0.03 -0.95 0 0 0 0.1420 0.5626 0.2830 0.059 0.090 -1.809
