iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:36:56 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
2.19 6.4 -14.8 -21.8 0.54 -0.70 -0.25 37.428012 -122.174242 34.6 0.6657 -1.4145 0.2449 1.235 0.812 1.220
2.22 6.4 -14.8 -21.8 0.61 -0.69 -0.28 37.428012 -122.174242 34.6 0.8326 -1.3062 -0.0820 1.209 0.821 1.182
2.25 4.7 -16.3 -22.6 0.54 -0.69 -0.14 37.428012 -122.174242 34.6 1.0230 -1.3381 0.1681 1.199 0.832 1.147
2.28 4.7 -16.3 -22.6 0.54 -0.69 -0.14 37.428012 -122.174242 34.6 1.0454 -1.3903 0.3521 1.189 0.850 1.109
2.31 1.8 -19.4 -21.6 0.56 -0.69 -0.13 37.428012 -122.174242 34.6 0.3131 -1.1650 0.3149 1.170 0.866 1.088
2.35 1.8 -19.4 -21.6 0.55 -0.68 -0.26 37.428012 -122.174242 34.6 -0.4936 -1.1908 0.3847 1.112 0.874 1.107
2.38 0.7 -20.2 -21.7 0.54 -0.69 -0.36 37.428012 -122.174242 34.6 -0.3398 -1.4009 0.5459 1.055 0.880 1.133
2.41 0.7 -20.2 -21.7 0.51 -0.74 -0.38 37.428012 -122.174242 34.6 -0.3571 -1.4952 0.7025 0.993 0.891 1.160
2.44 -1.3 -19.6 -22.8 0.41 -0.75 -0.45 37.428012 -122.174242 34.6 -0.4615 -1.2560 0.7332 0.903 0.904 1.208
2.47 -1.3 -19.6 -22.8 0.39 -0.72 -0.46 37.428012 -122.174242 34.6 -0.5077 -1.1166 0.7395 0.820 0.912 1.258
2.50 -4.4 -19.5 -23.6 0.35 -0.67 -0.47 37.428012 -122.174242 34.6 -0.2829 -1.0314 0.8750 0.759 0.921 1.297
2.53 -4.4 -19.5 -23.6 0.30 -0.66 -0.43 37.428012 -122.174242 34.6 -0.1955 -1.2851 0.8839 0.697 0.933 1.334
2.56 -8.0 -20.0 -24.7 0.24 -0.64 -0.50 37.428012 -122.174242 34.6 -0.4010 -1.3998 0.9971 0.623 0.943 1.378
2.60 -8.0 -20.0 -24.7 0.22 -0.61 -0.54 37.428012 -122.174242 34.6 -0.4611 -1.3858 1.0858 0.512 0.950 1.449
2.63 -10.6 -19.5 -24.3 0.10 -0.64 -0.56 37.428012 -122.174242 34.6 -0.6606 -1.2821 1.1785 0.424 0.951 1.510
2.66 -10.6 -19.5 -24.3 0.09 -0.66 -0.70 37.428012 -122.174242 34.6 -0.8626 -0.9397 1.1749 0.341 0.943 1.576
2.69 -14.4 -17.2 -22.6 0.08 -0.64 -0.77 37.428012 -122.174242 34.6 -0.6795 -1.3669 1.2798 0.218 0.918 1.671
2.72 -14.4 -17.2 -22.6 -0.03 -0.67 -0.76 37.428012 -122.174242 34.6 -0.8690 -1.1472 1.5026 0.094 0.897 1.762
2.75 -16.1 -15.3 -22.5 -0.12 -0.64 -0.86 37.428012 -122.174242 34.6 -1.1662 -0.6323 1.5579 0.016 0.869 1.833
2.78 -16.1 -15.3 -22.5 -0.14 -0.62 -0.89 37.428012 -122.174242 34.6 -1.0159 -0.8080 1.5352 -0.053 0.837 1.898
2.81 -20.0 -12.6 -22.7 -0.14 -0.55 -0.86 37.428012 -122.174242 34.6 -0.6054 -0.7704 1.6303 -0.121 0.812 1.959
2.85 -20.0 -12.6 -22.7 -0.26 -0.64 -0.85 37.428012 -122.174242 34.6 -0.4861 -0.9066 1.9915 -0.217 0.781 2.050
2.88 -22.2 -10.3 -22.3 -0.33 -0.60 -0.86 37.428012 -122.174242 34.6 -0.5483 -0.8269 2.1517 -0.294 0.753 2.124
2.91 -22.2 -10.3 -22.3 -0.38 -0.59 -0.90 37.428012 -122.174242 34.6 -0.7117 -0.5141 2.1724 -0.358 0.717 2.193
