iPhone Sensor Log from Crossbow started at Nov 17, 2011 15:21:24 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
2.60 -27.4 3.0 -42.1 -0.11 -0.09 -0.96 37.425910 -122.151767 10.5 -0.1408 0.6646 0.1740 -0.116 0.074 -0.113
2.63 -27.4 3.0 -42.1 -0.08 -0.11 -1.03 37.425910 -122.151767 10.5 -0.3252 0.4239 0.0134 -0.100 0.068 -0.111
2.66 -26.4 2.2 -43.1 -0.02 -0.07 -1.07 37.425910 -122.151767 10.5 0.0667 -0.1702 -0.0456 -0.093 0.062 -0.115
2.69 -26.4 2.2 -43.1 -0.07 -0.04 -0.98 37.425910 -122.151767 10.5 0.1719 0.0733 0.1355 -0.097 0.067 -0.112
2.72 -25.8 3.0 -44.1 -0.06 -0.06 -1.03 37.425910 -122.151767 10.5 -0.2542 0.7349 -0.0308 -0.081 0.065 -0.111
2.76 -25.8 3.0 -44.1 -0.00 -0.06 -1.14 37.425910 -122.151767 10.5 0.1653 0.0057 0.0304 -0.064 0.059 -0.114
2.79 -25.6 2.5 -43.7 -0.06 -0.02 -0.90 37.425910 -122.151767 10.5 0.7526 -0.4154 0.1262 -0.072 0.074 -0.110
0.04 -19.8 5.4 -43.1 0.12 -0.01 -1.04 37.425912 -122.151738 11.0 -0.0741 -0.5863 0.1940 0.103 -0.002 -0.193
0.07 -19.8 5.4 -43.1 0.12 0.01 -1.01 37.425912 -122.151738 11.0 0.2758 -0.0851 0.0608 0.091 0.003 -0.189
0.10 -18.6 4.8 -43.0 0.11 -0.01 -1.02 37.425912 -122.151738 11.0 0.2343 0.1096 0.0746 0.093 0.009 -0.188
0.13 -18.6 4.8 -43.0 0.11 -0.06 -0.92 37.425912 -122.151738 11.0 0.4048 -0.0906 0.1850 0.094 0.019 -0.186
0.16 -18.8 3.8 -42.5 0.04 0.03 -0.97 37.425912 -122.151738 11.0 -0.1217 -0.7069 0.2183 0.078 0.028 -0.177
0.19 -18.8 3.8 -42.5 0.08 0.04 -1.17 37.425912 -122.151738 11.0 -0.7058 -0.7042 -0.0300 0.057 0.015 -0.175
0.22 -19.8 3.9 -42.5 0.02 0.05 -1.07 37.425912 -122.151738 11.0 -0.4877 -0.3098 -0.0717 0.041 -0.012 -0.176
0.25 -19.8 3.9 -42.5 0.06 -0.02 -0.97 37.425912 -122.151738 11.0 0.3183 -0.0469 0.2119 0.038 -0.008 -0.174
0.29 -21.8 4.4 -42.0 0.06 -0.01 -0.96 37.425912 -122.151738 11.0 0.1638 -0.3576 0.1402 0.033 -0.000 -0.169
0.32 -21.8 4.4 -42.0 0.14 -0.01 -1.02 37.425912 -122.151738 11.0 -0.3270 -0.2435 -0.1636 0.026 -0.004 -0.171
0.35 -22.7 4.5 -41.2 0.17 -0.00 -1.01 37.425912 -122.151738 11.0 -0.3320 -0.1483 -0.2076 0.027 -0.014 -0.177
0.38 -22.7 4.5 -41.2 0.17 -0.00 -1.01 37.425912 -122.151738 11.0 0.1552 -1.0008 0.1795 0.014 -0.014 -0.176
0.41 -23.3 5.3 -40.4 0.17 0.01 -0.94 37.425912 -122.151738 11.4 -0.5718 0.0261 -0.3686 -0.014 -0.019 -0.178
0.44 -23.3 5.3 -40.4 0.50 -0.04 -1.15 37.425912 -122.151738 11.4 -0.9633 0.2564 -0.3735 -0.008 -0.041 -0.190
0.47 -24.1 5.8 -40.4 0.51 0.07 -1.20 37.425912 -122.151738 11.4 -0.3547 -0.5138 0.1682 -0.013 -0.059 -0.191
0.50 -24.1 5.8 -40.4 0.45 0.01 -1.16 37.425912 -122.151738 11.4 -0.6087 0.2423 0.3921 -0.024 -0.070 -0.180
0.54 -25.0 7.2 -40.4 0.52 0.00 -1.43 37.425912 -122.151738 11.4 -1.2006 0.2915 0.6159 -0.010 -0.097 -0.166
0.57 -25.0 7.2 -40.4 0.23 0.05 -1.63 37.425912 -122.151738 11.4 -0.9000 -0.5034 1.4947 -0.013 -0.129 -0.138
0.60 -25.0 9.9 -39.4 -0.04 0.04 -1.54 37.425912 -122.151738 11.4 -0.5734 -0.1904 1.7142 -0.019 -0.149 -0.060
0.63 -25.0 9.9 -39.4 -0.03 0.05 -1.61 37.425912 -122.151738 11.4 -0.5590 0.0790 1.4220 -0.014 -0.165 -0.020
0.66 -23.8 13.1 -38.5 -0.14 0.17 -1.62 37.425912 -122.151738 11.4 -0.1611 0.0845 1.7702 -0.005 -0.174 0.023
0.69 -23.8 13.1 -38.5 -0.27 0.28 -1.49 37.425912 -122.151738 11.4 0.3588 -0.0046 1.6134 0.006 -0.170 0.087
0.72 -22.3 16.7 -38.3 -0.15 0.31 -1.35 37.425912 -122.151738 11.4 0.6695 -0.2342 1.4244 0.008 -0.156 0.125
0.75 -22.3 16.7 -38.3 -0.32 0.35 -1.25 37.425912 -122.151738 11.4 -0.2779 0.5320 1.8003 0.021 -0.144 0.182
0.79 -21.7 18.2 -38.5 -0.49 0.27 -1.57 37.425912 -122.151738 11.4 0.4330 0.1365 1.5094 0.047 -0.154 0.246
0.82 -21.7 18.2 -38.5 -0.42 0.40 -1.18 37.425912 -122.151738 11.4 2.0510 -1.2977 0.9553 0.029 -0.113 0.276
0.85 -19.3 20.0 -39.0 -0.51 0.44 -1.23 37.425912 -122.151738 11.4 0.7240 0.2701 0.7461 0.013 -0.060 0.303
0.88 -19.3 20.0 -39.0 -0.59 0.41 -1.36 37.425912 -122.151738 11.4 1.4409 0.0767 0.2135 0.023 -0.038 0.317
0.91 -18.7 19.6 -40.2 -0.44 0.52 -0.69 37.425912 -122.151738 11.4 2.9639 -0.9162 -0.3594 0.006 0.027 0.311
0.94 -18.7 19.6 -40.2 -0.58 0.33 -0.97 37.425912 -122.151738 11.4 1.3557 0.1053 -0.4623 -0.007 0.123 0.288
0.97 -19.8 14.0 -42.0 -0.57 0.29 -0.81 37.425912 -122.151738 11.4 2.0008 -0.3493 -0.7505 -0.007 0.165 0.273
1.00 -19.8 14.0 -42.0 -0.48 0.21 -0.48 37.425912 -122.151738 11.4 2.5144 -1.1726 -1.1020 -0.026 0.228 0.248
