iPhone Sensor Log from Crossbow started at Nov 18, 2011 15:03:46 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.16 -10.4 -44.5 -19.8 0.54 0.11 -0.34 37.425934 -122.151847 1.5 -1.6361 -0.8095 -1.9431 -0.201 0.736 1.760
1.19 -10.4 -44.5 -19.8 0.67 -0.03 -0.70 37.425934 -122.151847 1.5 -2.1397 -1.0804 -1.2455 -0.178 0.693 1.694
1.22 4.6 -45.0 -16.5 0.80 0.11 -0.79 37.425934 -122.151847 1.5 -1.8505 -1.9024 -0.4967 -0.206 0.625 1.643
1.26 4.6 -45.0 -16.5 0.90 0.13 -1.24 37.425934 -122.151847 1.5 -2.5359 -0.7943 -0.3281 -0.226 0.572 1.615
1.29 6.8 -40.3 -23.8 0.95 0.08 -1.30 37.425934 -122.151847 1.5 -2.8965 0.2667 -0.0877 -0.214 0.499 1.591
1.32 6.8 -40.3 -23.8 0.53 0.15 -1.43 37.425934 -122.151847 1.5 -2.0375 -0.3274 1.3344 -0.224 0.389 1.600
1.35 6.1 -36.6 -28.3 0.49 0.11 -1.46 37.425934 -122.151847 1.5 -2.0268 0.3131 1.3694 -0.233 0.328 1.626
1.38 6.1 -36.6 -28.3 0.49 0.11 -1.46 37.425934 -122.151847 1.5 -1.6216 0.7926 1.2185 -0.223 0.273 1.649
1.41 4.1 -32.1 -32.7 0.45 0.23 -1.46 37.425934 -122.151847 1.5 -1.3146 0.6185 1.6860 -0.206 0.214 1.689
1.44 4.1 -32.1 -32.7 0.00 0.10 -1.73 37.425934 -122.151847 1.5 -1.6083 0.6083 2.0513 -0.199 0.164 1.735
1.48 2.9 -30.3 -35.5 -0.02 0.18 -1.77 37.425934 -122.151847 1.5 -1.2335 1.1708 1.2340 -0.181 0.119 1.770
1.51 2.9 -30.3 -35.5 -0.14 0.04 -1.89 37.425934 -122.151847 1.5 -1.3365 1.0003 2.4179 -0.128 0.057 1.835
1.54 2.1 -27.4 -37.8 -0.45 -0.01 -1.91 37.425934 -122.151847 1.5 -0.8237 0.9166 1.8705 -0.107 0.022 1.892
1.57 2.1 -27.4 -37.8 -0.26 0.04 -1.86 37.425934 -122.151847 1.5 -0.6216 1.4186 1.1521 -0.076 -0.001 1.926
1.60 1.4 -24.3 -40.6 -0.41 0.03 -1.69 37.425934 -122.151847 1.5 0.1921 1.0304 1.5961 -0.030 -0.010 1.979
1.63 1.4 -24.3 -40.6 -0.24 -0.06 -1.59 37.425934 -122.151847 1.5 0.1276 0.8987 0.9860 -0.004 -0.004 2.012
1.66 2.0 -23.2 -40.5 -0.38 -0.02 -1.61 37.425934 -122.151847 1.5 0.1901 0.6110 1.5849 0.020 -0.005 2.056
