iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:57:04 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -12.6 -11.6 -30.3 0.08 -0.07 -0.97 37.428234 -122.173980 34.0 0.7604 -0.0614 0.2319 0.083 0.010 0.033
0.06 -11.3 -12.9 -30.0 -0.04 -0.18 -1.54 37.428234 -122.173980 34.0 1.2847 0.5938 -0.0294 0.090 0.037 0.034
0.10 -11.3 -12.9 -30.0 -0.04 -0.32 -1.87 37.428234 -122.173980 34.0 2.9781 1.7663 -0.7723 0.128 0.097 0.016
0.13 -8.9 -16.7 -27.0 0.33 -0.59 -1.96 37.428234 -122.173980 34.0 3.3590 1.3458 -1.4726 0.183 0.188 -0.035
0.16 -8.9 -16.7 -27.0 0.64 -0.40 -1.96 37.428234 -122.173980 34.0 5.9757 -0.6578 -0.9740 0.201 0.369 -0.138
0.19 -6.8 -21.1 -21.8 0.54 -0.05 -1.96 37.428234 -122.173980 34.0 8.7999 -1.6951 0.0339 0.190 0.577 -0.196
0.22 -6.8 -21.1 -21.8 0.33 0.23 -1.74 37.428234 -122.173980 34.0 9.8817 -2.6305 0.2801 0.162 0.837 -0.246
0.25 -6.0 -25.8 -12.4 0.20 0.55 -0.03 37.428234 -122.173980 34.0 10.1257 -4.0696 0.2905 0.112 1.119 -0.305
0.28 -6.0 -25.8 -12.4 -0.19 0.24 0.74 37.428234 -122.173980 34.0 7.1849 -2.7916 -0.2822 0.017 1.445 -0.347
0.31 -6.3 -27.0 6.6 0.08 0.06 0.98 37.428234 -122.173980 34.0 4.2373 -0.3721 -1.8666 2.203 1.526 -2.573
0.35 -6.3 -27.0 6.6 0.33 -0.15 0.84 37.428234 -122.173980 34.0 1.9128 0.2731 -1.8871 2.438 1.430 -2.803
0.38 -4.8 -25.2 14.5 0.44 -0.28 0.49 37.428234 -122.173980 34.0 0.8732 0.1936 -1.3143 2.368 1.379 -2.728
0.41 -4.8 -25.2 14.5 0.26 -0.51 0.44 37.428234 -122.173980 34.0 0.9138 0.1167 0.7761 2.501 1.336 -2.852
0.44 -3.2 -24.3 18.1 -0.04 -0.70 0.51 37.428234 -122.173980 34.0 0.8810 -0.0158 0.9509 2.653 1.330 -3.008
0.47 -3.2 -24.3 18.1 0.08 -0.84 0.39 37.428234 -122.173980 34.0 0.2997 0.1195 0.5459 2.756 1.322 -3.113
0.50 -3.4 -24.2 19.0 0.09 -0.93 0.36 37.428234 -122.173980 34.0 -0.0208 0.3584 0.4995 2.818 1.320 3.111
0.53 -3.4 -24.2 19.0 -0.07 -1.03 0.14 37.428234 -122.173980 34.0 -0.3170 0.4602 0.5921 2.934 1.332 3.015
0.56 -4.1 -23.2 19.3 0.02 -1.06 0.15 37.428234 -122.173980 34.0 -0.1455 0.1496 0.3002 2.982 1.342 2.971
0.60 -4.1 -23.2 19.3 -0.01 -1.08 0.15 37.428234 -122.173980 34.0 -0.0597 0.3031 0.4062 3.035 1.351 2.924
0.63 -5.1 -23.1 18.9 -0.01 -1.02 0.23 37.428234 -122.173980 34.0 0.0091 0.7225 0.3497 3.106 1.353 2.866
0.66 -5.1 -23.1 18.9 -0.00 -0.97 0.26 37.428234 -122.173980 34.0 -0.0401 0.8463 0.3141 -3.089 1.353 2.811
0.69 -6.7 -23.7 18.7 -0.10 -0.96 0.17 37.428234 -122.173980 34.0 0.0444 0.8482 0.4438 -2.989 1.351 2.732
