iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:57:31 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -8.7 -15.0 -30.6 0.01 -0.11 -0.92 37.428002 -122.174257 35.5 0.0821 -0.2655 0.1494 0.105 0.080 0.075
0.06 -8.7 -15.0 -30.6 0.09 -0.17 -1.10 37.428002 -122.174257 35.5 0.1880 0.0632 -0.2186 0.101 0.086 0.073
0.10 -8.2 -14.8 -30.0 0.13 -0.31 -0.94 37.428002 -122.174257 35.5 0.4398 0.4745 -0.0995 0.117 0.112 0.066
0.13 -8.2 -14.8 -30.0 -0.13 -0.56 -1.60 37.428002 -122.174257 35.5 0.2069 -0.5777 -0.2759 0.113 0.118 0.061
0.16 -8.5 -15.2 -29.2 -0.17 -0.38 -1.97 37.428002 -122.174257 35.5 2.0404 -1.4705 -1.0564 0.087 0.142 0.037
0.19 -8.5 -15.2 -29.2 0.20 -0.30 -1.96 37.428002 -122.174257 35.5 4.3026 -1.8828 -1.8104 0.052 0.239 -0.013
0.22 -9.4 -18.7 -22.5 0.37 0.00 -1.96 37.428002 -122.174257 35.5 7.7519 -1.2466 -1.8165 0.003 0.465 -0.093
0.25 -9.4 -18.7 -22.5 0.16 0.24 -1.88 37.428002 -122.174257 35.5 8.8488 0.1619 -0.8584 0.035 0.786 -0.156
0.28 -9.2 -22.5 -12.4 -0.06 0.60 -1.34 37.428002 -122.174257 35.5 9.3851 -1.3289 -0.8221 0.056 1.037 -0.208
0.31 -9.2 -22.5 -12.4 0.15 0.82 -0.30 37.428002 -122.174257 35.5 9.6133 -2.0723 -0.9949 0.137 1.303 -0.349
0.35 -7.4 -26.1 4.7 -0.12 0.51 0.65 37.428002 -122.174257 35.5 7.7767 -1.4898 -0.0480 2.485 1.498 -2.767
0.38 -7.4 -26.1 4.7 0.02 0.24 1.02 37.428002 -122.174257 35.5 5.5301 -1.2302 -0.8703 2.877 1.328 3.082
0.41 -4.8 -24.8 14.0 0.16 0.06 1.12 37.428002 -122.174257 35.5 2.8554 0.2908 -1.3313 2.859 1.210 3.084
0.44 -4.8 -24.8 14.0 0.28 -0.15 0.73 37.428002 -122.174257 35.5 0.8103 1.6829 -1.2815 2.841 1.158 -3.138
0.47 -2.8 -22.5 21.2 0.21 -0.29 1.09 37.428002 -122.174257 35.5 0.7366 0.5039 -0.2445 2.835 1.116 -3.078
0.50 -2.8 -22.5 21.2 0.20 -0.49 1.02 37.428002 -122.174257 35.5 -0.2455 0.2790 0.2692 2.849 1.111 -3.084
0.53 -3.7 -21.7 21.0 -0.07 -0.69 0.74 37.428002 -122.174257 35.5 -0.8616 0.1952 0.7550 2.900 1.117 -3.129
0.56 -3.7 -21.7 21.0 -0.07 -0.89 0.58 37.428002 -122.174257 35.5 -1.0131 -0.0686 0.5307 2.926 1.146 3.125
0.60 -4.1 -22.0 20.3 0.07 -1.02 0.22 37.428002 -122.174257 35.5 -1.6535 0.3087 0.2118 2.933 1.197 3.122
0.63 -4.1 -22.0 20.3 0.03 -1.09 0.05 37.428002 -122.174257 35.5 -1.5032 0.3575 0.2609 2.932 1.244 3.133
0.66 -4.3 -23.9 19.7 -0.01 -1.10 0.21 37.428002 -122.174257 35.5 -0.7989 0.2490 0.2758 2.947 1.275 3.126
0.69 -4.3 -23.9 19.7 0.14 -1.10 -0.03 37.428002 -122.174257 35.5 -0.9890 0.2809 0.0053 2.950 1.299 3.129
0.72 -5.1 -25.7 18.1 0.10 -1.10 -0.05 37.428002 -122.174257 35.5 -0.6537 0.4491 0.0683 2.934 1.332 -3.123
0.75 -5.1 -25.7 18.1 0.01 -1.05 0.20 37.428002 -122.174257 35.5 -0.0342 0.2483 0.3561 2.980 1.347 3.128
