iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:30:57 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -19.4 -0.7 -31.5 -0.04 0.15 -0.88 37.428006 -122.174270 34.0 0.2983 -0.2699 0.2121 0.010 -0.169 -2.391
0.06 -19.4 -0.7 -31.5 -0.02 0.13 -1.07 37.428006 -122.174270 34.0 0.1465 -0.0193 -0.0141 0.007 -0.163 -2.388
0.10 -18.8 -1.1 -31.0 0.05 0.14 -0.90 37.428006 -122.174270 34.0 0.4898 0.0296 -0.1063 0.006 -0.152 -2.390
0.13 -18.8 -1.1 -31.0 -0.05 0.14 -0.72 37.428006 -122.174270 34.0 -0.1406 -0.3077 0.0329 0.005 -0.136 -2.392
0.16 -18.7 -1.6 -31.4 -0.07 0.15 -1.16 37.428006 -122.174270 34.0 -0.8268 -0.2577 -0.1893 -0.007 -0.153 -2.394
0.19 -18.7 -1.6 -31.4 0.04 0.15 -0.98 37.428006 -122.174270 34.0 -0.2063 -0.2105 -0.2751 -0.015 -0.167 -2.402
0.22 -18.1 -1.8 -30.0 0.01 0.13 -0.99 37.428006 -122.174270 34.0 -0.0580 0.0508 -0.1708 -0.015 -0.168 -2.408
0.25 -18.1 -1.8 -30.0 -0.03 0.03 -1.15 37.428006 -122.174270 34.0 -0.0629 0.1153 -0.0704 -0.011 -0.166 -2.411
0.28 -18.1 -0.5 -29.4 -0.23 -0.11 -1.97 37.428006 -122.174270 34.0 0.2197 0.1626 -0.1219 -0.009 -0.164 -2.414
0.31 -18.1 -0.5 -29.4 -0.06 0.24 -1.97 37.428006 -122.174270 34.0 1.4639 -0.8282 -0.4862 -0.018 -0.142 -2.421
0.35 -19.7 -3.4 -28.6 0.64 0.59 -1.96 37.428006 -122.174270 34.0 4.9215 -1.7030 -1.7842 -0.054 -0.043 -2.450
0.38 -19.7 -3.4 -28.6 -0.08 1.41 -1.98 37.428006 -122.174270 34.0 11.9915 -3.1999 -1.6460 -0.199 0.377 -2.492
0.41 -19.2 -15.5 -15.6 -0.65 1.89 -0.87 37.428006 -122.174270 34.0 13.2697 -2.4725 -1.6354 -0.304 0.738 -2.434
0.44 -19.2 -15.5 -15.6 0.03 1.78 0.76 37.428006 -122.174270 34.0 12.0498 -2.9736 -2.7108 -0.488 1.086 -2.304
0.47 -14.6 -20.1 -1.9 0.43 1.02 0.97 37.428006 -122.174270 34.0 9.0038 -0.2507 -3.1712 -0.862 1.373 -1.958
0.50 -14.6 -20.1 -1.9 0.09 0.60 0.63 37.428006 -122.174270 34.0 4.9076 1.4031 -1.4335 -2.561 1.452 -0.208
0.53 -9.0 -18.5 11.3 0.10 0.25 1.57 37.428006 -122.174270 34.0 4.8496 -0.1879 -0.6832 -2.956 1.338 0.207
0.56 -9.0 -18.5 11.3 0.16 -0.19 1.12 37.428006 -122.174270 34.0 3.8350 0.1168 -0.5161 -3.069 1.215 0.318
0.60 -8.3 -16.5 14.7 0.12 -0.47 0.51 37.428006 -122.174270 34.0 1.1821 0.8603 -0.2328 -3.083 1.155 0.354
0.63 -8.3 -16.5 14.7 -0.28 -0.65 0.70 37.428006 -122.174270 34.0 1.0483 -0.6318 1.0065 -3.048 1.115 0.319
0.66 -7.5 -15.9 16.4 -0.20 -0.80 0.62 37.428006 -122.174270 34.0 0.7424 -0.1089 0.7184 -3.018 1.085 0.268
0.69 -7.5 -15.9 16.4 -0.20 -0.80 0.62 37.428006 -122.174270 34.0 -0.0033 0.6555 0.2205 -2.980 1.075 0.243
0.72 -8.6 -15.9 17.3 -0.27 -0.85 0.46 37.428006 -122.174270 34.0 -0.1526 0.5397 0.0013 -2.936 1.076 0.216
