iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:56:55 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -11.1 -18.5 -24.5 0.00 -0.26 -1.02 37.428234 -122.173980 34.0 -0.1008 0.3932 0.0179 0.035 0.220 0.030
0.06 -10.8 -17.9 -24.7 0.00 -0.26 -1.02 37.428234 -122.173980 34.0 -0.1268 -0.1203 -0.0403 0.034 0.217 0.030
0.10 -10.8 -17.9 -24.7 0.07 -0.24 -1.07 37.428234 -122.173980 34.0 0.3339 0.6540 -0.1296 0.047 0.226 0.022
0.13 -10.1 -17.9 -25.3 0.11 -0.24 -0.65 37.428234 -122.173980 34.0 0.1054 1.1120 -0.0067 0.079 0.235 0.019
0.16 -10.1 -17.9 -25.3 0.03 -0.18 -0.43 37.428234 -122.173980 34.0 -1.6571 0.3213 -0.3417 0.096 0.210 0.016
0.19 -9.4 -16.6 -26.2 -0.13 -0.08 -0.81 37.428234 -122.173980 34.0 -2.6545 -0.0738 -0.7392 0.100 0.142 0.006
0.22 -9.4 -16.6 -26.2 -0.20 -0.04 -0.96 37.428234 -122.173980 34.0 -2.5468 -0.2972 -1.8625 0.096 0.041 -0.031
0.25 -10.1 -14.3 -28.3 0.28 0.03 -1.29 37.428234 -122.173980 34.0 -2.5632 -0.7794 -1.6603 0.080 -0.035 -0.078
0.28 -10.1 -14.3 -28.3 0.01 0.02 -1.30 37.428234 -122.173980 34.0 -1.3592 -0.4993 -0.6099 0.057 -0.089 -0.102
0.31 -11.1 -12.1 -30.1 -0.06 0.07 -1.48 37.428234 -122.173980 34.0 -1.0340 -0.0340 -0.7023 0.050 -0.121 -0.117
0.35 -11.1 -12.1 -30.1 0.28 0.11 -1.58 37.428234 -122.173980 34.0 -0.2390 0.5842 -0.3484 0.041 -0.146 -0.154
0.38 -12.3 -11.2 -30.0 0.27 0.19 -1.97 37.428234 -122.173980 34.0 1.4967 0.5110 0.6520 0.063 -0.130 -0.144
0.41 -12.3 -11.2 -30.0 0.35 0.91 -1.97 37.428234 -122.173980 34.0 4.6303 -0.6751 -0.5665 0.056 -0.041 -0.149
0.44 -11.4 -11.9 -27.6 0.35 0.91 -1.97 37.428234 -122.173980 34.0 8.7226 -1.7395 -1.1159 0.020 0.153 -0.184
0.47 -11.4 -11.9 -27.6 0.01 1.08 -1.98 37.428234 -122.173980 34.0 11.8486 -1.7607 -0.8003 -0.025 0.556 -0.221
0.50 -10.4 -19.3 -15.4 -0.27 1.38 -1.35 37.428234 -122.173980 34.0 13.2349 -3.0309 -0.9958 -0.103 0.909 -0.221
0.53 -10.4 -19.3 -15.4 -0.31 1.40 0.26 37.428234 -122.173980 34.0 12.0507 -2.0453 -1.7346 -0.207 1.268 -0.185
0.56 -8.2 -25.2 -0.6 0.26 0.70 1.37 37.428234 -122.173980 34.0 8.3647 0.2993 -2.4985 -0.117 1.554 -0.292
0.60 -8.2 -25.2 -0.6 0.13 0.42 1.40 37.428234 -122.173980 34.0 3.3209 -0.3315 -1.3400 2.810 1.326 3.069
0.63 -2.7 -25.0 16.7 0.26 0.18 1.41 37.428234 -122.173980 34.0 0.3741 2.1845 -1.7090 2.747 1.269 -3.118
0.66 -2.7 -25.0 16.7 0.52 -0.17 1.04 37.428234 -122.173980 34.0 -0.6606 1.8739 -0.4926 2.706 1.266 -3.009
0.69 -2.4 -22.8 19.0 0.15 -0.58 0.58 37.428234 -122.173980 34.0 -1.7532 0.3092 0.2608 2.688 1.296 -2.965
0.72 -2.4 -22.8 19.0 0.11 -0.83 0.04 37.428234 -122.173980 34.0 -2.0264 0.5008 0.3925 2.576 1.374 -2.839
0.75 -4.3 -23.9 17.2 0.07 -1.03 0.13 37.428234 -122.173980 34.0 -1.1254 0.3449 0.6169 2.535 1.415 -2.783
0.78 -4.3 -23.9 17.2 -0.13 -1.16 -0.18 37.428234 -122.173980 34.0 -1.2055 -0.2285 0.8267 2.534 1.453 -2.782
0.81 -4.2 -25.1 15.4 -0.04 -1.13 -0.09 37.428234 -122.173980 34.0 -0.8014 -0.1019 0.4028 2.505 1.486 -2.761
0.85 -4.2 -25.1 15.4 0.16 -1.19 -0.15 37.428234 -122.173980 34.0 -0.4562 1.0463 0.2786 2.380 1.513 -2.601
0.88 -5.6 -25.8 13.3 0.02 -1.06 -0.12 37.428234 -122.173980 34.0 0.2052 0.6083 0.6196 2.574 1.523 -2.773
