iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:31:30 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.04 -22.2 -1.1 -27.9 0.10 -0.14 -1.01 0 0 0 0.0720 -0.1139 0.0909 -0.014 0.134 -1.964
0.07 -22.2 -1.1 -27.9 -0.12 -0.21 -1.12 0 0 0 -0.6146 -0.8249 0.4239 -0.026 0.126 -1.949
0.10 -23.7 -1.5 -24.1 0.03 -0.03 -1.23 0 0 0 -0.7647 -1.2255 -0.1237 -0.058 0.106 -1.947
0.13 -23.7 -1.5 -24.1 0.03 -0.01 -1.19 0 0 0 -0.6319 -0.7726 -0.1725 -0.084 0.088 -1.955
0.16 -24.1 0.3 -24.2 -0.08 -0.02 -1.20 0 0 0 -0.4002 0.1717 0.8169 -0.094 0.071 -1.941
0.19 -24.1 0.3 -24.2 0.02 0.01 -1.38 0 0 0 -1.1536 0.3837 0.4377 -0.084 0.049 -1.926
0.23 -24.5 1.6 -24.5 0.02 0.01 -1.38 0 0 0 -0.8612 -0.1974 0.0326 -0.086 0.018 -1.925
0.25 -24.5 1.6 -24.5 0.09 0.16 -1.91 0 0 0 -1.3143 0.3442 0.1672 -0.085 -0.018 -1.925
0.29 -25.1 4.0 -24.8 0.19 0.30 -2.00 0 0 0 -0.8358 0.6399 0.4729 -0.068 -0.049 -1.910
0.32 -25.1 4.0 -24.8 0.46 0.55 -2.00 0 0 0 -0.9238 1.3580 0.9210 -0.038 -0.079 -1.896
0.35 -24.4 5.6 -25.3 0.46 0.55 -2.00 0 0 0 0.2299 1.3180 1.8196 -0.002 -0.086 -1.858
0.38 -24.4 5.6 -25.3 0.14 0.73 -2.00 0 0 0 2.3244 1.2192 3.1545 0.041 -0.048 -1.791
0.41 -20.5 7.1 -27.1 -0.38 0.32 -0.67 0 0 0 1.8859 1.9418 3.0349 0.110 0.080 -1.650
0.44 -20.5 7.1 -27.1 -0.42 0.08 -0.21 0 0 0 3.2864 0.6964 2.1014 0.136 0.154 -1.593
0.48 -18.2 4.9 -28.7 -0.35 -0.07 0.67 0 0 0 3.2297 -0.4528 1.3254 0.122 0.288 -1.552
0.50 -18.2 4.9 -28.7 -0.17 -0.01 0.32 0 0 0 1.5813 -0.6875 0.9604 0.099 0.348 -1.528
0.54 -18.1 0.8 -30.0 -0.28 0.07 0.29 0 0 0 1.3742 -0.7253 0.9093 0.072 0.389 -1.507
0.57 -18.1 0.8 -30.0 -0.68 0.00 -0.03 0 0 0 -0.1713 -0.1758 0.8405 0.039 0.412 -1.462
