iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:26:59 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.04 -17.5 3.7 -29.7 0.11 -0.01 -1.01 0 0 0 0.0027 0.3654 0.2184 0.113 -0.007 -0.903
0.07 -17.5 3.7 -29.7 0.14 -0.03 -1.03 0 0 0 0.0745 0.2812 0.0091 0.122 -0.004 -0.901
0.10 -16.6 2.8 -29.3 0.14 -0.08 -0.87 0 0 0 0.1278 -0.2064 0.0017 0.126 0.005 -0.905
0.13 -16.6 2.8 -29.3 0.09 -0.01 -0.85 0 0 0 -0.6329 -0.5293 -0.1311 0.114 -0.004 -0.906
0.16 -16.8 2.8 -29.5 0.09 0.06 -1.11 0 0 0 -1.3474 -0.5624 -0.0763 0.100 -0.033 -0.905
0.19 -16.8 2.8 -29.5 0.11 0.13 -1.18 0 0 0 -0.5330 -0.4415 0.0056 0.076 -0.065 -0.906
0.23 -17.3 4.0 -29.1 0.04 0.06 -1.02 0 0 0 0.0110 0.0608 0.2322 0.071 -0.070 -0.903
0.26 -17.3 4.0 -29.1 0.03 -0.00 -1.08 0 0 0 -0.2896 -0.9223 0.1171 0.054 -0.072 -0.892
0.29 -17.9 4.4 -28.4 0.01 0.09 -1.14 0 0 0 -0.2290 -1.1325 -0.1876 0.025 -0.079 -0.894
0.32 -17.9 4.4 -28.4 -0.00 0.11 -1.23 0 0 0 -0.6175 -0.6478 0.0296 -0.001 -0.088 -0.899
0.35 -18.5 4.7 -27.5 0.28 -0.04 -1.76 0 0 0 -1.4646 1.2777 0.0192 0.013 -0.132 -0.894
0.38 -18.5 4.7 -27.5 0.50 0.16 -1.99 0 0 0 -1.2234 0.8186 -0.2651 0.045 -0.167 -0.899
0.41 -18.9 6.8 -27.1 0.43 0.37 -2.00 0 0 0 -1.2206 0.7721 1.0487 0.067 -0.198 -0.887
0.44 -18.9 6.8 -27.1 0.55 0.70 -2.00 0 0 0 0.3303 -0.4827 0.6478 0.068 -0.220 -0.831
0.48 -18.1 8.0 -27.1 0.40 0.93 -2.00 0 0 0 1.7891 0.8599 1.3186 0.085 -0.190 -0.810
0.51 -18.1 8.0 -27.1 -0.20 0.78 -0.85 0 0 0 3.2508 -0.0966 2.4866 0.101 -0.110 -0.760
0.54 -17.5 7.5 -27.8 -0.30 0.59 -0.45 0 0 0 3.0499 -0.2735 1.4755 0.094 0.000 -0.698
0.57 -17.5 7.5 -27.8 -0.09 0.46 0.36 0 0 0 4.6115 -0.2111 0.8086 0.086 0.110 -0.682
0.60 -18.4 5.1 -28.6 -0.34 0.14 0.27 0 0 0 3.4974 -0.1978 1.2949 0.076 0.223 -0.664
0.63 -18.4 5.1 -28.6 -0.54 0.07 0.17 0 0 0 1.6413 -0.2883 1.2269 0.051 0.317 -0.605
0.66 -19.2 0.1 -29.0 -0.75 -0.10 -0.21 0 0 0 1.0806 -0.9864 0.8226 0.025 0.355 -0.580
0.70 -19.2 0.1 -29.0 -1.09 -0.17 -0.43 0 0 0 0.7064 -1.4208 0.6634 -0.037 0.384 -0.551
0.73 -20.3 -1.7 -28.4 -1.24 -0.27 -0.86 0 0 0 0.2027 -1.7746 0.0585 -0.083 0.394 -0.541
0.76 -20.3 -1.7 -28.4 -1.24 -0.36 -0.97 0 0 0 0.5139 -1.8460 -0.4381 -0.132 0.404 -0.547
0.79 -23.4 -3.3 -26.1 -1.30 -0.31 -0.86 0 0 0 0.5963 -1.6335 -1.2455 -0.176 0.426 -0.579
0.82 -23.4 -3.3 -26.1 -0.79 -0.24 -0.92 0 0 0 0.3619 -3.1084 -2.9862 -0.234 0.460 -0.651
0.85 -25.8 -5.3 -22.9 -0.21 0.01 -0.61 0 0 0 0.6770 -1.6582 -4.0755 -0.253 0.496 -0.756
0.88 -25.8 -5.3 -22.9 0.27 0.04 -0.59 0 0 0 0.4296 -0.4392 -3.4642 -0.201 0.545 -0.903
0.91 -27.6 -9.2 -20.6 0.42 0.04 -0.41 0 0 0 1.0602 -1.4247 -2.5082 -0.185 0.581 -0.987
0.94 -27.6 -9.2 -20.6 0.76 0.09 -0.35 0 0 0 1.2257 -1.6784 -2.6074 -0.188 0.623 -1.059
0.98 -27.9 -16.9 -17.8 0.94 0.02 -0.27 0 0 0 0.8957 -1.5829 -2.2598 -0.166 0.691 -1.196
1.01 -27.9 -16.9 -17.8 0.83 -0.08 -0.16 0 0 0 0.3782 -1.7437 -1.1561 -0.178 0.713 -1.249
1.04 -27.5 -20.9 -15.3 0.67 -0.16 -0.04 0 0 0 -0.2301 -1.0808 -0.6271 -0.198 0.719 -1.276
1.07 -27.5 -20.9 -15.3 0.66 -0.12 0.25 0 0 0 -0.0349 -1.0284 -0.2720 -0.214 0.713 -1.298
1.10 -26.8 -23.7 -12.0 0.66 -0.12 0.25 0 0 0 -0.0066 -1.1564 -0.0178 -0.244 0.715 -1.303
1.13 -26.8 -23.7 -12.0 0.28 0.10 0.45 0 0 0 -0.9253 0.3849 -0.0554 -0.256 0.700 -1.303
1.16 -26.5 -23.4 -11.5 0.12 0.41 -0.07 0 0 0 -3.3525 -0.2222 -0.4742 -0.219 0.628 -1.347
1.19 -26.5 -23.4 -11.5 -0.12 0.67 -1.01 0 0 0 -4.8359 -0.5224 0.0228 -0.213 0.519 -1.382
1.23 -27.7 -21.4 -14.0 -0.34 0.58 -1.84 0 0 0 -4.8987 -4.3861 2.4037 -0.300 0.332 -1.386
1.26 -27.7 -21.4 -14.0 -0.89 -0.04 -2.00 0 0 0 -4.0947 -1.3051 1.4003 -0.390 0.205 -1.368
1.29 -29.8 -18.3 -16.3 -0.28 -0.23 -1.99 0 0 0 -3.3712 1.9539 -1.4704 -0.355 0.113 -1.420
1.32 -29.8 -18.3 -16.3 0.27 -0.32 -1.99 0 0 0 -1.3252 0.3759 -1.2264 -0.291 0.054 -1.514
1.35 -29.6 -15.0 -19.3 0.62 -0.08 -1.99 0 0 0 -0.4571 0.3983 0.0504 -0.288 0.037 -1.533
1.38 -29.6 -15.0 -19.3 0.67 -0.09 -1.84 0 0 0 -0.0584 1.8798 0.3794 -0.252 0.029 -1.525
1.41 -26.9 -13.3 -22.0 1.36 0.26 -1.80 0 0 0 0.5686 0.4857 0.0508 -0.207 0.039 -1.522
1.44 -26.9 -13.3 -22.0 1.67 0.84 -1.72 0 0 0 1.1759 1.1230 1.9355 -0.193 0.056 -1.490
1.48 -25.9 -12.6 -22.7 1.21 0.96 -1.48 0 0 0 0.5684 2.4388 2.5880 -0.132 0.077 -1.395
1.51 -25.9 -12.6 -22.7 0.52 0.79 -1.68 0 0 0 -0.7785 0.5133 3.4338 -0.093 0.063 -1.297
1.54 -24.2 -10.1 -25.8 -0.62 0.64 -2.00 0 0 0 0.8471 2.0998 4.4868 -0.063 0.046 -1.186
1.57 -24.2 -10.1 -25.8 -1.42 0.24 -1.55 0 0 0 1.6280 1.0055 3.7139 -0.015 0.106 -1.040
1.60 -22.5 -6.3 -28.1 -1.92 0.02 -1.10 0 0 0 0.9283 -0.3297 2.9252 -0.024 0.133 -0.951
1.63 -22.5 -6.3 -28.1 -1.69 -0.19 -1.00 0 0 0 0.7066 2.5091 1.0372 -0.002 0.151 -0.901
1.66 -22.6 -2.3 -29.5 -1.25 -0.30 -0.70 0 0 0 0.6765 0.2592 0.6411 0.064 0.185 -0.876
1.69 -22.6 -2.3 -29.5 -0.80 -0.23 -0.71 0 0 0 0.5513 0.0097 0.7093 0.052 0.202 -0.860
1.73 -22.5 -1.6 -29.9 -0.62 -0.22 -0.77 0 0 0 -0.0360 1.8292 0.2008 0.076 0.211 -0.846
1.76 -22.5 -1.6 -29.9 -0.05 -0.16 -0.90 0 0 0 -0.2794 0.7183 -0.0279 0.126 0.196 -0.846
1.79 -20.0 -0.6 -30.7 -0.05 -0.26 -0.82 0 0 0 0.1319 -0.3549 0.6900 0.124 0.200 -0.835
1.82 -20.0 -0.6 -30.7 -0.13 -0.24 -0.86 0 0 0 -0.0681 0.1822 0.7856 0.115 0.201 -0.815
1.85 -19.3 -0.9 -30.3 0.01 -0.32 -0.77 0 0 0 0.1484 0.3615 0.3712 0.125 0.207 -0.790
1.88 -19.3 -0.9 -30.3 0.10 -0.29 -0.78 0 0 0 -0.4639 -0.1519 0.1655 0.127 0.204 -0.781
1.92 -19.0 -0.8 -30.4 0.10 -0.28 -1.09 0 0 0 -0.0772 -0.4089 0.5494 0.117 0.198 -0.770
