iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:33:25 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.04 17.9 -3.0 -24.8 0.08 -0.04 -0.98 0 0 0 0.0053 0.3544 0.1671 0.058 0.036 0.984
0.07 17.9 -3.0 -24.8 0.04 -0.05 -1.01 0 0 0 -0.2486 0.4747 -0.0107 0.068 0.033 0.986
0.10 18.8 -4.0 -23.5 0.15 -0.08 -0.92 0 0 0 -0.0671 0.0211 -0.0374 0.076 0.031 0.985
0.13 18.8 -4.0 -23.5 0.00 0.05 -1.08 0 0 0 -1.0981 -0.5769 -0.4074 0.072 0.020 0.980
0.16 19.6 -3.8 -24.3 0.00 -0.00 -1.08 0 0 0 -1.0782 0.0224 -0.5248 0.059 -0.021 0.965
0.19 19.6 -3.8 -24.3 0.18 -0.01 -0.95 0 0 0 -0.8035 0.6719 -0.2274 0.072 -0.044 0.957
0.22 19.0 -2.6 -24.8 0.10 -0.09 -1.66 0 0 0 -2.0040 0.5346 -0.2273 0.090 -0.090 0.952
0.25 19.0 -2.6 -24.8 0.35 -0.02 -1.99 0 0 0 -2.4750 -0.0360 -0.3521 0.095 -0.158 0.949
0.29 19.3 0.9 -24.5 0.31 0.39 -2.00 0 0 0 -1.7723 1.0352 0.5286 0.110 -0.206 0.958
0.32 19.3 0.9 -24.5 0.98 0.83 -2.00 0 0 0 -1.7295 -1.4148 0.3714 0.093 -0.304 0.982
0.35 20.6 3.8 -24.1 0.73 1.01 -2.00 0 0 0 -1.0907 2.0017 1.3722 0.116 -0.332 1.012
0.38 20.6 3.8 -24.1 -0.05 1.02 -1.58 0 0 0 2.1408 2.0548 2.3560 0.208 -0.326 1.062
0.41 21.7 4.4 -22.3 0.05 0.66 -0.13 0 0 0 4.7973 -1.4242 2.0478 0.238 -0.196 1.116
0.44 21.7 4.4 -22.3 0.28 0.44 0.79 0 0 0 4.6899 -0.6223 1.4233 0.209 -0.059 1.130
0.48 21.3 0.8 -20.4 0.02 0.39 0.97 0 0 0 2.5703 -0.2621 1.5177 0.210 0.104 1.155
0.50 21.3 0.8 -20.4 -0.46 0.25 0.70 0 0 0 1.3555 -1.4806 1.5511 0.178 0.161 1.185
0.54 19.7 -6.0 -20.1 -0.86 0.05 0.09 0 0 0 0.3364 -0.5792 1.3973 0.144 0.187 1.222
0.57 19.7 -6.0 -20.1 -1.23 0.11 -0.56 0 0 0 -0.1138 -1.6396 0.9646 0.102 0.188 1.261
0.60 18.5 -7.6 -21.2 -1.61 0.14 -1.27 0 0 0 -0.4250 -1.8419 1.0516 0.043 0.182 1.288
0.63 18.5 -7.6 -21.2 -1.77 0.28 -1.36 0 0 0 -0.4931 -0.7612 0.5826 0.012 0.167 1.309
0.66 15.9 -10.2 -23.1 -1.97 0.24 -1.27 0 0 0 -0.2088 -1.6002 0.3292 -0.050 0.156 1.326
0.69 15.9 -10.2 -23.1 -1.48 0.28 -1.33 0 0 0 -0.1710 -0.1241 -1.0207 -0.072 0.153 1.319
0.72 14.2 -12.0 -23.8 -0.24 0.72 -0.61 0 0 0 0.6595 -0.8408 -3.0010 -0.064 0.162 1.253
0.75 14.2 -12.0 -23.8 0.82 0.79 -0.75 0 0 0 0.0707 -1.2928 -2.8046 -0.130 0.191 1.151
0.79 13.1 -10.5 -24.8 1.71 0.93 -0.18 0 0 0 -0.0422 3.0803 -3.7779 -0.061 0.191 1.055
0.82 13.1 -10.5 -24.8 2.06 0.21 -0.13 0 0 0 0.1994 -3.0814 -3.4989 -0.061 0.220 0.877
0.85 13.9 -8.3 -24.7 1.47 -0.33 -0.02 0 0 0 -0.0407 1.2376 -1.2846 -0.058 0.222 0.815
0.88 13.9 -8.3 -24.7 1.47 -0.33 -0.02 0 0 0 0.8074 0.6046 -0.4749 -0.025 0.233 0.799
0.91 16.5 -5.8 -24.3 0.97 -0.13 0.75 0 0 0 1.4759 -0.6606 -0.4591 -0.037 0.289 0.784
0.94 16.5 -5.8 -24.3 0.39 0.02 1.56 0 0 0 1.1948 0.6068 0.1298 -0.040 0.325 0.784
0.97 17.6 -5.1 -24.7 0.10 -0.18 1.33 0 0 0 -0.7104 1.1896 -0.6523 -0.001 0.325 0.775
1.01 17.6 -5.1 -24.7 -0.19 1.23 1.23 0 0 0 -2.0530 0.6715 -1.8052 0.015 0.304 0.735
1.04 18.1 -6.6 -24.2 0.00 1.16 -1.58 0 0 0 -4.8016 -1.2029 -2.2310 0.037 0.182 0.668
1.07 18.1 -6.6 -24.2 0.22 0.00 -1.99 0 0 0 -4.1583 -3.3032 -0.6530 -0.048 0.067 0.638
1.10 19.2 -1.8 -25.1 0.22 0.00 -1.99 0 0 0 -3.3482 0.8720 -2.4984 -0.066 -0.095 0.562
1.13 19.2 -1.8 -25.1 0.88 -0.64 -1.98 0 0 0 -0.7675 1.4899 -2.1068 -0.033 -0.134 0.492
1.16 19.1 5.2 -26.0 0.92 -0.50 -1.98 0 0 0 0.4183 -0.5220 -0.4775 -0.032 -0.130 0.466
1.19 19.1 5.2 -26.0 1.77 -0.13 -1.40 0 0 0 0.8994 0.3275 0.2148 -0.032 -0.093 0.456
1.22 18.7 9.2 -26.7 2.05 0.42 -0.58 0 0 0 1.2888 -1.4201 1.7297 -0.052 -0.066 0.486
1.26 18.7 9.2 -26.7 2.04 1.16 -0.97 0 0 0 1.2103 2.3288 1.4837 -0.054 -0.026 0.537
1.29 18.8 7.0 -27.7 0.91 1.11 -1.49 0 0 0 0.2975 0.7433 3.9843 0.009 0.001 0.629
1.32 18.8 7.0 -27.7 -1.26 0.70 -2.01 0 0 0 -0.6008 -0.2639 5.1822 0.010 -0.007 0.753
1.35 19.2 3.6 -27.1 -2.05 0.27 -1.63 0 0 0 1.3278 2.2127 2.9579 0.044 0.028 0.963
1.38 19.2 3.6 -27.1 -1.80 0.23 -1.23 0 0 0 -0.1912 1.9599 -0.1117 0.105 0.040 0.982
