iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:23:31 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.04 3.1 22.7 -31.2 0.02 -0.10 -0.96 0 0 0 0.0861 -0.0656 0.1149 0.076 0.113 0.295
0.07 3.1 22.7 -31.2 0.06 -0.15 -0.92 0 0 0 -0.2702 0.1105 0.0297 0.075 0.112 0.298
0.10 2.6 21.9 -31.2 0.06 -0.15 -1.02 0 0 0 -0.4159 -0.0415 -0.3042 0.073 0.106 0.294
0.13 2.6 21.9 -31.2 0.10 -0.04 -1.07 0 0 0 -0.6817 -0.1504 -0.6231 0.069 0.079 0.276
0.16 1.6 22.3 -31.1 0.06 -0.07 -1.04 0 0 0 -0.2136 0.0122 -0.2929 0.067 0.068 0.264
0.19 1.6 22.3 -31.1 0.06 -0.10 -0.99 0 0 0 -0.1732 0.1212 0.0483 0.068 0.066 0.263
0.22 0.7 23.3 -30.8 0.11 0.02 -1.12 0 0 0 -1.1987 -0.0788 -0.5869 0.070 0.034 0.256
0.26 0.7 23.3 -30.8 0.40 -0.03 -1.22 0 0 0 -1.7225 0.5983 -0.2501 0.077 -0.009 0.246
0.29 0.6 24.3 -29.9 0.21 0.13 -1.92 0 0 0 -2.0239 -0.8784 0.0373 0.078 -0.055 0.248
0.32 0.6 24.3 -29.9 0.29 0.12 -1.99 0 0 0 -3.4428 -1.5552 1.3459 0.030 -0.167 0.281
0.35 0.8 27.9 -26.2 0.02 0.31 -2.00 0 0 0 -2.1317 -0.5948 1.4472 0.010 -0.239 0.319
0.38 0.8 27.9 -26.2 -0.13 0.55 -2.00 0 0 0 0.2210 -0.9599 1.5306 0.006 -0.287 0.390
0.41 1.9 30.8 -22.8 0.08 0.85 -2.00 0 0 0 0.8590 -0.4564 0.9364 -0.007 -0.270 0.424
0.44 1.9 30.8 -22.8 0.17 0.76 -1.28 0 0 0 1.5634 1.4492 0.4609 0.013 -0.239 0.437
0.48 5.4 31.2 -22.9 -0.27 0.48 -0.62 0 0 0 2.5957 0.6363 2.5926 0.073 -0.160 0.490
0.51 5.4 31.2 -22.9 -0.34 0.17 0.07 0 0 0 3.5519 -0.4502 2.7591 0.078 -0.070 0.559
0.54 10.3 28.0 -26.5 -0.29 0.05 0.34 0 0 0 3.3728 0.0652 1.6981 0.074 0.028 0.608
0.57 10.3 28.0 -26.5 -0.12 0.07 0.36 0 0 0 2.4203 -0.1751 0.4467 0.073 0.156 0.641
0.60 14.6 22.9 -30.9 -0.04 0.06 0.31 0 0 0 1.7645 -0.2606 0.2222 0.068 0.208 0.645
0.63 14.6 22.9 -30.9 -0.04 0.06 0.31 0 0 0 1.1490 -0.3050 0.4493 0.056 0.247 0.651
0.66 16.5 15.6 -33.8 -0.13 -0.01 0.01 0 0 0 0.6497 -0.1168 0.4410 0.046 0.270 0.663
0.69 16.5 15.6 -33.8 -0.36 -0.10 -0.10 0 0 0 0.2156 -0.3660 0.4133 0.034 0.282 0.676
0.73 16.9 13.3 -33.4 -0.66 -0.18 -0.34 0 0 0 0.0667 0.3290 0.1291 0.001 0.284 0.700
0.76 16.9 13.3 -33.4 -1.01 -0.14 -0.34 0 0 0 -0.4155 0.1119 0.0973 -0.028 0.285 0.714
0.79 16.4 11.5 -33.5 -1.44 -0.21 -0.95 0 0 0 -0.8916 0.0672 -0.1061 -0.028 0.263 0.713
0.82 16.4 11.5 -33.5 -1.83 -0.21 -1.27 0 0 0 0.2493 0.5695 -1.2710 -0.002 0.249 0.690
0.85 16.0 11.8 -33.0 -1.44 0.00 -1.38 0 0 0 0.5899 -1.6573 -2.4679 -0.003 0.261 0.631
0.89 16.0 11.8 -33.0 -0.99 0.23 -1.48 0 0 0 -0.0805 -3.0446 -3.3550 -0.117 0.278 0.506
0.91 12.8 12.4 -33.3 0.01 0.51 -1.39 0 0 0 -0.6505 -0.0209 -4.2204 -0.119 0.280 0.434
0.94 12.8 12.4 -33.3 1.05 0.78 -1.45 0 0 0 -0.8452 0.7544 -4.8428 -0.009 0.254 0.253
0.97 4.6 13.1 -33.3 2.05 0.58 -1.26 0 0 0 0.3958 -3.2531 -3.9629 -0.038 0.256 0.132
1.01 4.6 13.1 -33.3 1.40 0.17 -0.97 0 0 0 0.1442 0.3202 -1.7993 -0.057 0.264 0.031
1.04 -4.4 13.0 -31.4 0.97 0.08 -0.68 0 0 0 0.6105 -0.6703 -0.4582 -0.052 0.279 0.007
1.07 -4.4 13.0 -31.4 1.08 0.07 -0.61 0 0 0 0.5043 -2.1846 -0.0653 -0.095 0.292 0.001
1.10 -8.6 12.7 -31.7 0.66 0.19 0.01 0 0 0 0.8373 -0.6934 1.2075 -0.189 0.327 0.040
1.13 -8.6 12.7 -31.7 0.33 0.03 0.23 0 0 0 -0.3416 0.1980 0.8137 -0.201 0.324 0.068
1.16 -11.6 11.8 -32.0 0.20 -0.17 0.38 0 0 0 -0.2905 0.0394 0.4146 -0.201 0.308 0.080
1.19 -11.6 11.8 -32.0 -0.18 0.07 0.56 0 0 0 0.5837 -0.2190 0.5764 -0.216 0.316 0.097
1.22 -11.5 11.9 -30.7 -0.47 0.08 -0.31 0 0 0 -1.0103 1.6505 -0.3463 -0.193 0.312 0.101
