iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:33:43 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.41 4.0 -18.5 -28.3 -0.35 0.46 -1.88 0 0 0 -0.5698 -0.1837 2.3920 0.055 0.044 1.985
1.44 3.2 -19.7 -27.1 -1.68 -0.14 -1.88 0 0 0 -1.4641 -0.5544 3.8334 0.044 0.016 2.066
1.47 3.2 -19.7 -27.1 -2.04 -0.26 -0.83 0 0 0 1.8374 0.8643 4.3151 0.048 0.035 2.226
1.50 0.5 -20.5 -27.0 -1.24 -0.21 -0.95 0 0 0 1.3081 0.3249 1.9693 0.059 0.086 2.302
1.54 0.5 -20.5 -27.0 -0.86 -0.12 -1.17 0 0 0 0.1606 0.2096 0.8165 0.065 0.101 2.332
1.57 -2.3 -21.8 -26.0 -0.38 -0.19 -0.95 0 0 0 0.8022 0.5150 0.7476 0.072 0.125 2.367
1.60 -2.3 -21.8 -26.0 -0.38 -0.19 -0.95 0 0 0 0.4780 0.1744 0.9155 0.077 0.143 2.387
1.63 -4.5 -23.0 -24.7 -0.44 -0.24 -0.71 0 0 0 0.6335 -1.1102 0.6257 0.047 0.166 2.414
1.66 -4.5 -23.0 -24.7 -0.32 -0.23 -0.85 0 0 0 0.2885 -0.3043 0.0763 0.030 0.180 2.420
1.69 -5.8 -23.8 -25.0 -0.12 -0.21 -0.86 0 0 0 -0.1495 0.1878 0.3893 0.029 0.178 2.425
1.72 -5.8 -23.8 -25.0 -0.17 -0.22 -0.82 0 0 0 0.2481 0.0050 0.6961 0.028 0.184 2.454
1.75 -7.3 -24.7 -24.5 -0.07 -0.23 -0.87 0 0 0 -0.0910 -0.4857 0.4733 0.015 0.188 2.469
1.79 -7.3 -24.7 -24.5 -0.09 -0.20 -1.10 0 0 0 0.3190 -0.0457 0.3316 -0.005 0.187 2.482
1.82 -8.0 -24.6 -23.8 -0.01 -0.19 -0.97 0 0 0 0.2545 0.3228 0.5861 -0.001 0.200 2.495
1.85 -8.0 -24.6 -23.8 0.01 -0.21 -0.92 0 0 0 -0.0888 0.2061 0.1587 0.005 0.201 2.504
1.88 -9.5 -25.2 -23.7 -0.03 -0.18 -1.11 0 0 0 -0.1987 0.0827 -0.1532 0.005 0.185 2.504
1.91 -9.5 -25.2 -23.7 0.04 -0.16 -0.98 0 0 0 0.4636 -0.1155 0.1973 0.005 0.191 2.500
