iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:27:53 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -19.6 -1.3 -32.7 0.25 -0.16 -1.32 0 0 0 -0.6380 0.0876 -0.3410 0.026 0.205 -1.044
0.07 -21.9 -1.8 -30.1 0.16 -0.12 -1.01 0 0 0 0.4465 -0.2084 0.7384 0.020 0.206 -1.041
0.10 -21.9 -1.8 -30.1 0.01 -0.13 -0.85 0 0 0 -0.5565 -0.1303 0.5702 0.013 0.205 -1.022
0.13 -24.4 -0.9 -28.2 -0.07 0.01 -1.07 0 0 0 -1.4309 -0.8315 -0.2653 -0.009 0.157 -1.018
0.16 -24.4 -0.9 -28.2 -0.00 0.06 -0.98 0 0 0 -0.6940 -0.8189 -0.1880 -0.031 0.129 -1.029
0.19 -25.4 2.5 -27.8 -0.01 -0.05 -0.88 0 0 0 -0.3930 -0.1457 -0.2326 -0.044 0.118 -1.032
0.22 -25.4 2.5 -27.8 0.19 0.01 -1.55 0 0 0 -2.6470 -0.6845 -0.5540 -0.025 0.038 -1.066
0.25 -25.2 4.1 -27.8 0.06 0.01 -1.99 0 0 0 -1.2945 -0.0794 0.7645 -0.044 -0.010 -1.061
0.28 -25.2 4.1 -27.8 0.31 0.21 -1.99 0 0 0 -2.5710 1.9141 0.0883 -0.011 -0.062 -1.048
0.31 -25.4 7.5 -27.3 0.39 0.68 -2.00 0 0 0 0.1995 0.1815 2.0770 0.010 -0.115 -1.024
0.35 -25.4 7.5 -27.3 -0.13 0.56 -1.78 0 0 0 2.7440 1.9885 3.3554 0.047 -0.059 -0.944
0.38 -23.6 9.4 -28.1 -0.33 0.56 -0.96 0 0 0 2.4489 1.7560 2.9759 0.099 0.014 -0.867
0.41 -23.6 9.4 -28.1 -0.32 0.35 0.60 0 0 0 6.3030 -0.2133 2.0973 0.120 0.231 -0.779
0.44 -20.4 6.7 -31.4 0.16 0.18 1.18 0 0 0 4.9127 -0.8122 0.9776 0.096 0.386 -0.759
0.47 -20.4 6.7 -31.4 -0.08 0.14 0.80 0 0 0 2.4038 -0.3960 1.2792 0.073 0.475 -0.737
0.50 -20.9 1.9 -32.6 -0.60 0.04 0.29 0 0 0 1.4012 -0.9072 1.2665 0.024 0.543 -0.685
0.53 -20.9 1.9 -32.6 -1.18 -0.16 -0.17 0 0 0 0.8149 -1.4007 0.7967 -0.026 0.570 -0.655
0.57 -22.2 -1.3 -32.0 -1.73 -0.31 -0.89 0 0 0 -0.3526 -1.0309 0.0753 -0.088 0.577 -0.634
0.60 -22.2 -1.3 -32.0 -2.04 -0.28 -1.08 0 0 0 -0.1882 -1.9149 -0.1059 -0.131 0.569 -0.635
0.63 -23.2 -1.0 -29.7 -1.80 -0.30 -1.13 0 0 0 0.0366 -1.9427 -0.9373 -0.174 0.572 -0.652
0.66 -23.2 -1.0 -29.7 -1.44 -0.09 -0.81 0 0 0 0.1645 -2.9884 -1.8407 -0.224 0.580 -0.718
0.69 -23.8 -1.4 -27.8 0.06 0.52 -1.15 0 0 0 -0.8496 -1.6210 -3.8984 -0.241 0.589 -0.808
0.72 -23.8 -1.4 -27.8 1.22 0.64 -1.11 0 0 0 -0.9566 -1.5054 -5.3139 -0.180 0.587 -0.976
0.75 -25.9 -1.5 -25.6 1.07 0.39 -1.28 0 0 0 -1.4798 -0.2969 -2.2543 -0.151 0.562 -1.159
0.78 -25.9 -1.5 -25.6 1.41 0.40 -0.98 0 0 0 -0.8957 -0.9801 -3.0391 -0.110 0.535 -1.252
0.81 -28.6 -2.1 -23.8 0.91 0.04 -0.60 0 0 0 -0.3777 -2.4580 -1.5570 -0.129 0.530 -1.325
0.85 -28.6 -2.1 -23.8 0.93 0.34 -0.56 0 0 0 -0.5053 -0.0057 -0.8341 -0.145 0.520 -1.367
0.88 -35.0 -3.0 -21.3 0.93 0.34 -0.56 0 0 0 -0.1568 -0.7789 -0.6459 -0.140 0.512 -1.397
0.91 -35.0 -3.0 -21.3 0.67 0.27 -0.18 0 0 0 0.2048 -1.2618 1.0079 -0.177 0.514 -1.387
0.94 -38.8 -1.6 -19.5 0.45 0.37 0.53 0 0 0 -0.4211 -1.4992 0.2751 -0.237 0.500 -1.349
0.97 -38.8 -1.6 -19.5 0.92 0.62 0.84 0 0 0 -1.9898 -2.6079 2.0178 -0.308 0.460 -1.326
1.00 -40.5 1.1 -15.7 0.47 0.34 0.39 0 0 0 -2.2269 -1.4846 2.8636 -0.380 0.375 -1.278
1.03 -40.5 1.1 -15.7 -0.32 0.50 0.90 0 0 0 -1.8447 0.4417 0.5850 -0.416 0.301 -1.232
1.07 -38.6 5.0 -9.2 0.17 0.84 -0.49 0 0 0 -4.5734 2.2434 -1.7695 -0.333 0.171 -1.354
1.10 -38.6 5.0 -9.2 0.11 0.73 -2.00 0 0 0 -3.4719 1.5755 0.2977 -0.265 0.076 -1.395
1.13 -35.0 3.2 -9.1 -0.79 -0.33 -2.00 0 0 0 -4.2876 -1.0617 -1.2921 -0.262 -0.018 -1.436
1.16 -35.0 3.2 -9.1 0.32 -0.49 -1.99 0 0 0 -2.1368 0.5801 -1.3849 -0.284 -0.091 -1.497
1.19 -29.0 -3.5 -10.7 0.47 -0.81 -1.98 0 0 0 -1.5943 0.1459 -0.7940 -0.255 -0.148 -1.556
1.22 -29.0 -3.5 -10.7 0.82 -0.51 -1.99 0 0 0 -0.1238 0.7356 0.3616 -0.254 -0.161 -1.561
1.25 -24.5 -6.5 -8.4 1.25 -0.30 -1.98 0 0 0 0.6271 1.9907 0.3111 -0.207 -0.155 -1.550
1.28 -24.5 -6.5 -8.4 2.03 0.12 -1.98 0 0 0 1.0907 0.7792 1.6271 -0.154 -0.120 -1.509
1.31 -23.1 -10.4 -3.1 1.71 0.39 -1.99 0 0 0 1.4586 2.7271 2.3916 -0.098 -0.092 -1.446
1.35 -23.1 -10.4 -3.1 0.61 0.72 -2.00 0 0 0 1.6103 1.5639 3.3903 -0.030 -0.056 -1.370
1.38 -24.6 -8.0 -7.3 -1.18 0.80 -1.94 0 0 0 2.2104 1.7319 4.7116 0.014 0.004 -1.213
1.41 -24.6 -8.0 -7.3 -2.06 0.78 -0.96 0 0 0 2.1603 1.1832 4.5417 0.056 0.069 -1.093
1.44 -20.8 -0.4 -20.0 -1.44 0.67 -1.16 0 0 0 1.0453 0.8766 1.4862 0.038 0.145 -0.974
1.47 -20.8 -0.4 -20.0 -1.10 0.61 -0.65 0 0 0 1.7312 0.8983 1.3731 0.067 0.186 -0.938
1.50 -16.2 2.2 -23.5 -0.76 0.36 -0.81 0 0 0 1.1483 -0.2570 1.6424 0.060 0.227 -0.901
1.53 -16.2 2.2 -23.5 -0.66 0.15 -0.59 0 0 0 1.1338 -0.6450 0.6820 0.043 0.270 -0.855
1.57 -14.7 3.3 -25.0 -0.26 0.03 -0.83 0 0 0 -0.0737 -0.6984 0.1964 0.010 0.280 -0.845
1.60 -14.7 3.3 -25.0 -0.25 -0.01 -0.92 0 0 0 -0.4331 -0.0615 0.1802 -0.017 0.247 -0.837
1.63 -15.5 3.2 -25.7 -0.16 -0.09 -0.83 0 0 0 0.5113 0.2787 0.2053 -0.055 0.223 -0.814
1.66 -15.5 3.2 -25.7 -0.02 -0.12 -0.72 0 0 0 0.2905 0.0585 0.1534 -0.053 0.234 -0.810
1.69 -15.8 2.8 -25.9 -0.14 -0.15 -0.78 0 0 0 -0.0175 -0.2306 0.4399 -0.059 0.237 -0.801
1.72 -15.8 2.8 -25.9 -0.02 -0.18 -0.84 0 0 0 -0.1926 0.2995 -0.0813 -0.061 0.227 -0.794
1.75 -16.9 2.1 -25.8 0.16 -0.20 -0.72 0 0 0 0.2151 0.2853 -0.4502 -0.051 0.227 -0.803
