iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:29:08 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.04 -19.8 0.9 -28.6 0.05 0.06 -1.13 0 0 0 -0.2374 -0.2267 0.2526 0.043 0.132 -1.332
0.07 -19.8 0.9 -28.6 0.10 0.02 -1.12 0 0 0 -0.2286 -0.1976 0.1177 0.036 0.125 -1.328
0.10 -19.1 1.2 -27.8 0.10 0.03 -1.01 0 0 0 -0.0472 0.1556 0.3178 0.043 0.101 -1.322
0.13 -19.1 1.2 -27.8 0.05 0.05 -1.02 0 0 0 0.0168 0.0137 0.6644 0.047 0.091 -1.308
0.16 -19.0 1.9 -27.1 0.04 0.05 -1.07 0 0 0 0.0434 0.0388 0.5679 0.040 0.091 -1.279
0.19 -19.0 1.9 -27.1 0.08 0.08 -1.16 0 0 0 -0.2644 -0.0705 0.2600 0.041 0.084 -1.269
0.23 -20.6 3.0 -26.4 -0.03 0.15 -1.48 0 0 0 -1.1757 -0.4943 0.1228 0.031 0.062 -1.265
0.26 -20.6 3.0 -26.4 -0.03 0.15 -1.48 0 0 0 -0.8218 -0.3120 0.2026 0.012 0.021 -1.258
0.29 -21.8 3.6 -26.3 0.10 0.03 -1.53 0 0 0 -0.8388 0.4916 0.1264 0.016 0.002 -1.254
0.32 -21.8 3.6 -26.3 0.10 0.06 -1.80 0 0 0 -1.5966 1.1207 0.2435 0.039 -0.030 -1.249
0.35 -20.6 5.9 -26.7 0.29 0.57 -2.00 0 0 0 -2.1852 1.7960 0.9410 0.099 -0.125 -1.222
0.38 -20.6 5.9 -26.7 0.53 0.72 -2.00 0 0 0 -0.1737 2.2139 2.1847 0.160 -0.151 -1.174
0.41 -18.1 8.0 -27.4 0.36 0.88 -2.00 0 0 0 -1.0529 6.5266 0.6885 0.294 -0.149 -1.132
0.44 -18.1 8.0 -27.4 0.69 0.77 -1.09 0 0 0 2.6393 0.2007 3.6105 0.371 -0.090 -1.096
0.48 -14.9 10.0 -29.1 -0.37 0.18 -0.29 0 0 0 1.6594 -1.5459 4.5314 0.348 0.006 -1.008
0.51 -14.9 10.0 -29.1 -0.46 -0.13 -0.04 0 0 0 2.3518 -1.2636 2.2962 0.302 0.081 -0.937
0.54 -13.8 8.9 -30.3 -0.34 -0.24 0.59 0 0 0 2.8056 -1.2174 1.0119 0.266 0.223 -0.920
0.57 -13.8 8.9 -30.3 -0.24 -0.18 0.39 0 0 0 1.3661 -1.5606 0.6569 0.224 0.278 -0.911
0.60 -14.8 6.5 -30.3 -0.36 -0.04 0.25 0 0 0 0.8957 -0.9607 0.2059 0.191 0.309 -0.910
0.63 -14.8 6.5 -30.3 -0.79 -0.15 -0.48 0 0 0 -0.3897 -1.2534 0.2900 0.152 0.315 -0.899
0.66 -18.7 3.5 -30.3 -1.25 -0.21 -0.70 0 0 0 -0.0859 -1.7947 0.0049 0.107 0.309 -0.894
0.69 -18.7 3.5 -30.3 -1.34 -0.29 -0.96 0 0 0 -0.1841 -1.0528 -0.7943 0.063 0.311 -0.914
0.73 -20.4 2.7 -29.7 -1.62 -0.17 -1.15 0 0 0 0.2494 -1.3068 -0.7604 0.040 0.313 -0.937
0.76 -20.4 2.7 -29.7 -1.00 -0.01 -0.88 0 0 0 0.2079 -3.5711 -1.6485 -0.018 0.313 -0.976
0.79 -23.8 0.3 -26.8 -0.98 0.02 -1.13 0 0 0 -0.1025 -3.2838 -0.9386 -0.137 0.325 -1.027
0.82 -23.8 0.3 -26.8 0.23 0.44 -1.15 0 0 0 0.1944 -1.1883 -2.2935 -0.176 0.328 -1.068
0.85 -27.4 -2.0 -24.8 0.24 0.63 -1.03 0 0 0 1.7013 -1.6575 -2.2143 -0.188 0.371 -1.137
0.88 -27.4 -2.0 -24.8 1.14 0.31 -1.61 0 0 0 -0.9298 0.1011 -4.3179 -0.126 0.377 -1.252
0.91 -29.7 -5.4 -22.7 1.66 0.37 -1.58 0 0 0 -0.7866 -3.4794 -4.6029 -0.135 0.380 -1.391
0.95 -29.7 -5.4 -22.7 1.35 -0.38 -1.65 0 0 0 -1.3982 -1.1167 -2.8128 -0.166 0.354 -1.519
0.98 -30.0 -9.1 -21.8 1.25 -0.29 -0.51 0 0 0 0.2920 -0.3621 -2.5898 -0.156 0.349 -1.601
1.01 -30.0 -9.1 -21.8 0.50 -0.17 0.24 0 0 0 1.1902 1.0910 -1.7984 -0.123 0.383 -1.657
1.04 -29.6 -12.5 -21.6 0.50 0.02 0.48 0 0 0 0.3784 0.0240 -0.6008 -0.084 0.416 -1.696
1.07 -29.6 -12.5 -21.6 0.11 0.38 0.62 0 0 0 -0.9620 -1.3100 -0.1763 -0.109 0.403 -1.712
1.10 -28.9 -16.3 -20.4 -0.17 0.38 0.82 0 0 0 -1.4407 -0.5224 -0.1738 -0.128 0.371 -1.720
1.13 -28.9 -16.3 -20.4 0.20 0.81 -0.19 0 0 0 -2.0260 -1.9178 -1.3916 -0.156 0.314 -1.759
1.16 -29.2 -16.4 -20.3 -0.02 0.55 -1.38 0 0 0 -2.9658 -1.5475 -1.7293 -0.190 0.255 -1.817
1.19 -29.2 -16.4 -20.3 -0.02 0.55 -1.38 0 0 0 -3.7568 -1.1975 -1.0982 -0.214 0.168 -1.875
1.23 -28.6 -14.4 -21.5 -0.26 0.26 -1.81 0 0 0 -2.2249 0.1109 -2.4402 -0.234 0.065 -1.986
1.26 -28.6 -14.4 -21.5 0.28 0.03 -1.99 0 0 0 -2.3982 0.3220 -1.4489 -0.223 0.017 -2.050
1.29 -28.4 -13.0 -22.7 0.08 -0.18 -1.99 0 0 0 -2.0472 0.2717 0.3942 -0.212 -0.058 -2.082
1.32 -28.4 -13.0 -22.7 -0.50 -0.09 -2.00 0 0 0 -1.7076 -0.1987 1.0992 -0.213 -0.111 -2.068
1.35 -27.3 -10.4 -25.4 -0.38 0.02 -1.80 0 0 0 -1.2947 0.7361 0.3299 -0.205 -0.154 -2.059
1.38 -27.3 -10.4 -25.4 0.17 0.10 -1.43 0 0 0 -0.9237 0.3303 0.5602 -0.170 -0.182 -2.065
1.41 -25.9 -8.1 -26.3 0.53 0.18 -1.64 0 0 0 -0.7337 -1.1640 1.5744 -0.180 -0.219 -2.033
1.44 -25.9 -8.1 -26.3 0.83 0.22 -1.90 0 0 0 0.2746 -0.2102 1.2277 -0.189 -0.233 -1.995
1.48 -25.5 -5.1 -27.3 1.46 0.81 -1.54 0 0 0 1.6579 2.3674 0.6189 -0.132 -0.192 -1.965
1.51 -25.5 -5.1 -27.3 0.87 0.81 -1.86 0 0 0 1.5655 0.9758 2.0703 -0.081 -0.154 -1.922
1.54 -24.8 -3.1 -28.3 -0.34 0.80 -1.80 0 0 0 1.9424 -0.5013 2.7313 -0.077 -0.111 -1.849
